
campaigncutscene_tooltip 				(Fai clic per avviare il prossimo capitolo della storia)
adviser_riot_assault01					Ci siamo: è giunto il momento di mettere la parola fine a questa storia.
adviser_riot_assault02 					La squadra è in posizione.
adviser_riot_assault03					Dov'è la mia auto? Oh, Wallace viene con noi. E se proverete a seguirci, ve lo ridaremo un pezzo per volta.
adviser_riot_assault2 					Ci siamo, amico mio: ora verrai a fare un giretto con noi. Non faranno mosse azzardate con te seduto dal lato del passeggero.
adviser_riot_assault3 					Nessuno di noi uscirà vivo da qui. Non è voi che vogliono.
adviser_riot_assault4 					Che diavolo stai dicendo?
adviser_riot_assault5					Io l'ho fatto per i soldi, ma lui lo ha fatto per questioni politiche: più aspre erano le pene, più voti riusciva a ottenere.
adviser_riot_assault6					Di chi stai parlando?
adviser_riot_assault7					Del sindaco Heller! Il piano era suo, io non ho fatto altro che seguire le sue disposizioni.
adviser_riot_assault7b 					Quei documenti potevano distruggere la sua carriera.
adviser_riot_assault8					Mi prendi per il culo…
adviser_riot_assault9 					Ma che cazzo…
adviser_riot_assault9b					Stanno arrivando, prepariamoci!
adviser_riot_assault10					IO TI HO AVVISATO!

# Riot Objectives and help text

adviser_name_negotiator 				Il negoziatore

adviser_riot_negotiator1 				La situazione è fuori controllo: ormai non c'è più nessuno al comando.
adviser_riot_negotiator2 				Abbiamo subito numerose perdite, e le guardie rimaste non hanno alcuna intenzione di fare irruzione nei blocchi in rivolta. Abbiamo dovuto rintanarci presso il perimetro.
adviser_riot_negotiator3 				Trova il modo di sedare la rivolta prima che sia troppo tardi.
adviser_riot_negotiator4 				Le squadre antisommossa dovrebbero arrivare a minuti.

adviser_riot_firstreinforcements1 		La prima squadra di soccorso è arrivata.
adviser_riot_firstreinforcements2 	 	Questi agenti sono in assetto antisommossa: serviti del loro aiuto per riconquistare le ali della prigione che sono in mano ai detenuti.
adviser_riot_firstreinforcements3 		Sono inoltre sopraggiunti dei paramedici dell'ospedale vicino.
adviser_riot_firstreinforcements4 		Ti consiglio di ordinare loro di fornire i primi soccorsi ai membri della squadra antisommossa mentre questi sono impegnati a fronteggiare la rivolta.

objective_Riot_StopTheRiot 				Ferma la rivolta
objective_Riot_StopTheRiot_description  Non c'è nessuno al comando. Spetta a te decidere il da farsi.

adviser_riot_helleradvice1				Sto parlando con il sostituto dell'amministratore delegato, dico bene?
adviser_riot_helleradvice2 				Quella che stiamo affrontando è una prova molto impegnativa, e ci tengo a dirti che sono a tua completa disposizione e che puoi servirti di tutte le risorse in mio possesso.
adviser_riot_deployguards1				Siamo riusciti a riconquistare parte della prigione, e la perdita che abbiamo subito è più che giustificabile.
adviser_riot_deployguards2				Prima di sferrare un nuovo attacco e riconquistare il resto della prigione, però, dovresti rendere sicure le aree appena liberate.
adviser_riot_deployguards3				Assumi delle guardie e inviale nei settori riconquistati attraverso la schermata Dispiegamento: si assicureranno che le aree liberate non cadano nuovamente preda dei ribelli.
adviser_riot_deployguards4 				Dopo di ciò, invia i tuoi uomini nelle zone ancora occupate e ordina loro di fare piazza pulita. Non si può trattare con questi animali: l'unica soluzione è abbatterli.
adviser_riot_deployguards5 				Sto tentando di ottenere un'autorizzazione per una risposta armata, così da porre fine a questa follia il più rapidamente possibile.

adviser_riot_infirmary1 				Ci sono un sacco di feriti sparsi per la prigione: non possiamo abbandonarli a se stessi, altrimenti moriranno dissanguati.
adviser_riot_infirmary2 				Costruisci un'infermeria e assumi dei dottori che si prendano cura dei feriti.
adviser_riot_infirmary3 				Abbiamo individuato anche alcuni cadaveri. Non possiamo privare quelle persone della loro dignità: dobbiamo costruire un obitorio.
adviser_riot_infirmary4					Dovrai assumere degli operai che si occupino dei lavori di costruzione. Assicurati che non gli accada nulla.

objective_Riot_ResecureWings 			Assumi delle guardie e schierale a protezione delle aree riconquistate
objective_riot_medicalneeds				(OPZIONALE) Costruisci le strutture mediche necessarie
objective_Riot_Infirmary				(Opzionale) Costruisci un'infermeria e cura i feriti
objective_Riot_Morgue 					(Opzionale) Costruisci un obitorio e raduna i cadaveri
objective_Riot_SecureGenPop				Riconquista l'ala riservata ai detenuti comuni (centrale)
objective_Riot_SecureSpecialWing		Riconquista l'ala riservata ai detenuti speciali (ovest)
objective_Riot_SecureMaxSec				Riconquista l'ala di massima sicurezza (sud)
objective_riot_putoutfires				Spegni l'incendio

adviser_riot_secondreinforcements1		Sono arrivati altri agenti in tenuta antisommossa.

adviser_riot_armedreinforcements1		Il sindaco ha inviato alcuni agenti armati dalla vicina stazione di polizia.
adviser_riot_armedreinforcements2		Fa' attenzione con questi tizi: lasciando loro troppa libertà di azione, c'è il rischio che compiano un vero e proprio massacro.
adviser_riot_armedreinforcements3		D'altro canto, vedendoli arrivare, i detenuti potrebbero decidere di arrendersi.

adviser_riot_reinforcementsunlocked1 	Gran parte dei rinforzi è arrivata.
adviser_riot_reinforcementsunlocked2 	Ora, tramite la barra degli strumenti delle emergenze, puoi schierare tutti gli agenti in tenuta antisommossa e i paramedici che desideri.

adviser_riot_cleanup1                   La struttura è sotto controllo e la rivolta è stata domata: questa storia avrebbe potuto avere un epilogo ben più tragico.
adviser_riot_cleanup2                   Ripulire la prigione non sarà un'impresa facile: il tuo aiuto sarebbe molto gradito.
adviser_riot_cleanup2b 					Non ci sono imprenditori edili nei paraggi, quindi la prima cosa da fare è assumere dei nuovi operai affinché riparino questo posto.
adviser_riot_cleanup3                   Ho sempre pensato che i detenuti avessero troppa libertà d'azione: da adesso in poi, le cose cambieranno radicalmente.
adviser_riot_cleanup4                   Voglio che tu costruisca una nuova armeria e che schieri delle guardie armate a protezione dei centri nevralgici della prigione: in questo modo, i detenuti ci penseranno due volte prima di fare di nuovo una sciocchezza simile.
adviser_riot_cleanup5                   Inoltre, ho accolto con piacere la notizia riguardante i fondi stanziati per dotare i nostri uomini di giubbotto antiproiettile e taser. Le nostre guardie devono essere in grado di proteggersi.
adviser_riot_cleanup6                   Questi prigionieri hanno bisogno di ordine e disciplina. Propongo di far loro ripulire l'intera prigione: ciò gli darà modo di riflettere su ciò che hanno fatto.
adviser_riot_cleanup7                   Avviamo un programma di riabilitazione per i nostri detenuti che preveda la pulizia della prigione e il lavaggio del bucato.
adviser_riot_cleanup7b                  Puoi mettere al lavoro i carcerati tramite la sezione Logistica della barra degli strumenti. Per maggiori informazioni, evidenzia l'obiettivo.
adviser_riot_cleanup8                   Non è tutto. Ci sono molti prigionieri che hanno bisogno di riflettere sui loro errori: costruisci una nuova ala dotata di varie celle di isolamento.
adviser_riot_cleanup8b                  Le nostre guardie provvederanno a condurre i detenuti nelle celle di isolamento: ciò darà a quegli animali il tempo di riflettere su ciò che hanno fatto e ricorderà loro chi comanda da queste parti.
adviser_riot_cleanup9                   E non dimentichiamoci dei membri del personale, che ci hanno accompagnato in questo incubo. Sono esausti.
adviser_riot_cleanup9b 					Costruisci una sala del personale per dare loro un posto dove riposarsi.
adviser_riot_cleanup10                  Infine, dobbiamo assicurarci che tutte queste operazioni rientrino nel nostro tetto di spesa, pertanto assicurati che il nostro saldo e il nostro flusso di cassa siano positivi.
adviser_riot_cleanup10b 				Impiegare i detenuti ti costerà molto meno che assumere degli operai, quindi cerca di fare in modo che siano loro a occuparsi di pulizia, bucato e faccende simili.
adviser_riot_cleanup11                  C'è un sacco di lavoro da fare: il tuo aiuto è davvero gradito.
adviser_riot_cleanup12                  Per procedere, fai clic sulla polaroid nei pressi delle porte anteriori.

adviser_riot_cleanup13 					Ottimo lavoro: ho l'impressione che questo posto sia molto più sicuro, ora.

objective_riot_solitary 				(OPZIONALE) Costruisci un'ala di isolamento e comincia a punire i ribelli
objective_riot_armoury 					(OPZIONALE) Attiva dei nuovi protocolli di sicurezza
objective_riot_armoury_research			Sblocca l'armeria tramite la sezione Burocrazia
objective_riot_armoury_build 			Costruisci un'armeria (in un luogo sicuro)
objective_riot_armoury_deploy			Schiera delle guardie nell'area di massima sicurezza
objective_riot_armoury_armour 			Sblocca il giubbotto antiproiettile per tutti i membri del personale
objective_riot_armoury_tazers 			Sblocca i taser per le tue guardie armate
objective_riot_staffroom 				(OPZIONALE) Costruisci una sala relax per i membri del personale
objective_riot_balancebooks 			(OPZIONALE) Bilancia i conti
objective_riot_balancebooks_balance 	Saldo positivo
objective_riot_balancebooks_cashflow 	Flusso di cassa positivo
objective_riot_prisonerwork				(OPZIONALE) Avvia un programma di lavoro forzato

objective_riot_cleaningcupboard			Costruisci una stanza delle pulizie
objective_riot_laundry					Costruisci una lavanderia
objective_riot_inmatesincleaning 		Ordina ai detenuti di fare le pulizie
objective_riot_inmatesinlaundry			Ordina ai detenuti di fare il bucato
objective_riot_cleanprison 				Pulisci la prigione
objective_riot_providelaundry			Fornisci ai detenuti dei vestiti puliti

objective_riot_armoury_research_description		L'icona dedicata alla burocrazia si trova al di sopra della lista degli incarichi. Fai clic qui per avviare i lavori all'armeria. Sarà il tuo capo a occuparsi delle scartoffie.
objective_riot_armoury_deploy_description       Per schierare delle guardie armate, accedi alla sezione Dispiegamento e fai clic su "Pattuglie armate". Trascina le pattuglie nella posizione desiderata e fai nuovamente clic su di esse per assegnarvi degli uomini.
objective_riot_armoury_guardtazers_description  Accedendo a Resoconti / Programmi, visualizzerai l'opzione "Addestramento taser".\n\nPer poter utilizzare dei taser, le tue guardie devono sottoporsi a una formazione adeguata. Costruisci un'aula in cui organizzare tale addestramento.
objective_riot_prisonerwork_description         Per fare lavorare i detenuti, accedi alla sezione Logistica e seleziona "Lavoro forzato". A questo punto, fai clic per aggiungere degli incarichi a qualunque stanza evidenziata in verde.\n\nDovrai inoltre stabilire gli orari di lavoro dei carcerati: accedi a Resoconti / Regime e seleziona gli orari in cui, se vi sono degli incarichi disponibili, i detenuti dovranno lavorare.

objective_Riot_PlayerExitsMap			Quando hai finito, fai clic sulla polaroid all'esterno dell'ingresso principale.


# =============================================================================
# Conviction
# =============================================================================

campaigncutscene_convictionheist        Rapina
campaigncutscene_convictionmorgan       Morgan
campaigncutscene_convictionvisitation   Visite
campaigncutscene_convictionsuicide      Suicidio

campaignchapter_conviction              Condanna
campaignchapter_conviction_description  Uno dei nostri detenuti è stato messo sotto sorveglianza. Henry Morgan, braccio destro di Benedict. Tredici mesi di una sentenza di cinque anni. Aiutaci a occuparci di questi uomini.

adviser_name_benedictarmed              Benedict
adviser_name_morgan                     Henry Morgan
adviser_name_morganarmed				Henry Morgan
adviser_name_morganhappy                Henry Morgan
adviser_name_senator                    Senatore Walter Hurst
adviser_name_detective                  Detective
adviser_name_kerry 						Kerry Morgan 
adviser_name_hurst 						Dottor Walter Hurst 
adviser_name_keane 						Agente Keane 

adviser_conviction_heist1               Prendi i soldi, stronzo.
adviser_conviction_heist2               Giù le armi, subito!
adviser_conviction_heist2b				Oh, merda!
adviser_conviction_heist3               Sparate, maledizione!
adviser_conviction_heist4               Che diavolo stai aspettando?! Spara, lurida checca!
adviser_conviction_heist6               Figli di puttana!
adviser_conviction_heist7               Non sparate! Non sparate!
adviser_conviction_heist8               MANI IN ALTO, FIGLI DI PUTTANA!
adviser_conviction_heist9               Fa' esattamente quel che ti dico, d'accordo?
adviser_conviction_heist10              Merda, merda!
adviser_conviction_heist11              Non sparate! NON SPARATE!

conviction_intro_1                      A seguito della recente tragedia consumatasi presso il carcere di Alchemico, gli occhi dell'opinione pubblica sono costantemente puntati su di noi.
conviction_intro_2                      Fino a che non troveremo un sostituto permanente per il posto di amministratore delegato, vorrei che fossi tu a svolgere le mansioni di cui si occupava il povero signor Wallace.
conviction_intro_3                      Il tasso di suicidi è aumentato vertiginosamente nell'ultimo periodo, e non è difficile comprenderne il motivo. Tuttavia, abbiamo un problema più urgente di cui occuparci.
conviction_intro_4                      Il governo ha deciso di inviarci un enorme carico di nuovi detenuti. I primi arriveranno già domani, ma non disponiamo delle strutture necessarie ad accoglierli.
conviction_intro_5                      Devi costruire un nuovo blocco di celle in grado di accogliere tutti i carcerati che arriveranno domani.
conviction_intro_5b 					Ho abbozzato un progetto che dovrebbe permetterci di realizzare un numero di celle sufficiente ad accogliere tutti i nuovi arrivati e anche una sala docce.
conviction_intro_5c 					Ma sta a te decidere se attenerti a questo progetto oppure realizzare qualcosa di completamente diverso.
conviction_intro_6                      Il mio scopo è quello di garantire il benessere di questi uomini. Costruisci quel nuovo blocco di celle, poi troveremo il modo di raggiungere tale obiettivo.

unused_conviction_intro_4                      Uno dei nostri detenuti è stato messo sotto sorveglianza. Henry Morgan, braccio destro di Benedict. Tredici mesi di una sentenza di cinque anni.
unused_conviction_intro_7						Voglio andare a parlarci: non possiamo permettere che un altro dei nostri detenuti la faccia finita.

conviction_workintro1                   Abbiamo trattato questi uomini a pesci in faccia per troppo tempo. D'ora in poi, le cose andranno diversamente.
conviction_workintro2                   Il vecchio amministratore delegato non era certo un amante delle riforme, ma, per come la vedo io, dobbiamo infondere in questi uomini un po' di speranza nel futuro.
conviction_workintro3                   Dobbiamo dare loro la possibilità di rifarsi una vita al di fuori di queste mura, fornendogli un'educazione di base e delle abilità manuali specifiche.
conviction_workintro4                   Dovremmo organizzare un programma di riabilitazione e insegnare a questi uomini un mestiere, così da dare loro la possibilità di tornare a condurre una vita normale.


conviction_hurst1 						Questo posto è invivibile: gli uomini vengono privati di ogni brandello di umanità.
conviction_hurst2 						Vengono trattati come bestie, senza che gli sia garantito il benché minimo rispetto: non sorprende che covino tanto rancore.
conviction_hurst3 						Questi animali non se lo meritano.
conviction_hurst4 						Invece sì, capitano. Nessun essere umano merita di essere trattato in questo modo. Se priviamo i detenuti di ogni brandello di umanità, come possiamo aspettarci che obbediscano alle nostre regole?
conviction_hurst4b 						Come possiamo pretendere che sottostiano alle nostre leggi? Così facendo, non faremo altro che alimentare il loro rancore.
conviction_hurst4c						Dobbiamo organizzare incontri, programmi di riabilitazione dalle tossicodipendenze, attività per fare sì che riacquistino fiducia nelle proprie abilità.
conviction_hurst6 						Non capisci, dottore: questi tizi non sono esseri umani.
conviction_hurst6b 						Detenuto Morgan! Sveglia!
conviction_hurst7 						In piedi, Morgan. Hai visite.
conviction_hurst8 						Riabilitazione? Tanto vale tentare di insegnare la matematica a una scimmia.

conviction_hurst10 						Come ti chiami, figliolo?
conviction_hurst10b                     Ti ha fatto una domanda.
conviction_hurst11 						Henry, signore.
conviction_hurst12 						Deve fare piuttosto freddo qui, Henry.
conviction_hurst13 						Pidocchi nel letto, signore. Mi mangiano vivo. E poi, i topi… I più grandi che abbia mai visto.
conviction_hurst14 						Chiamami Walter.
conviction_hurst15 						Dormi bene, Henry?
conviction_hurst16 						Non dormo mai. Penso, ho un sacco di tempo per pensare.
conviction_hurst16b                     A cosa pensi?
conviction_hurst16c                     Alla morte. E alla mia bambina.
conviction_hurst17 						Devi essere forte per lei, Henry. Ha bisogno di te.
conviction_hurst18 						Sono dietro le sbarre da prima che nascesse. Non sa nemmeno che esisto.
conviction_hurst19 						Non è mai troppo tardi per cambiare vita, Henry.
conviction_hurst19b 					Mi piacerebbe tornare a trovarti, se non ti dispiace.
conviction_hurst20 						Sì, signore. Grazie, signore.
conviction_hurst21 						Possiamo fare qualcosa per quei ratti? Non siamo nel terzo mondo.
conviction_hurst22 						Vedrò di trovare del veleno per topi.

conviction_visitationintro_1            Nonostante la sospensione delle visite, ho convinto il comandante a fare un'eccezione per la famiglia di Morgan.

conviction_visitation_0					Salve, sono Kerry Morgan. Sono qui per vedere Henry Morgan.
conviction_visitation_1					Dietro la linea.
conviction_visitation_2 				Mi dispiace, signore. Sono qui per vedere Henry, Henry Morgan. È mio marito.
conviction_visitation_3 				Non lo ripeterò un'altra volta: dietro la linea. Subito.
conviction_visitation_4 				Sì, signore. Mi scusi, signore.
conviction_visitation_5 				D'accordo, venga avanti. Non ho tutto il giorno.
conviction_visitation_6					Nome.
conviction_visitation_7					Kerry Morgan, signore. Sono qui per vedere Henry Morgan. E questa è la sua bambina.
conviction_visitation_8					Oh, ma certo… E lui se l'è bevuta? Passi pure.
conviction_visitation_8a                Kerry!
conviction_visitation_9					Temo ci sia stato un errore: Morgan non può più ricevere visite.
conviction_visitation_9b 				Che cosa?
conviction_visitation_9c 				Mi dispiace. Abbiamo trovato del liquore nella sua cella, questa mattina. Non posso farci nulla.
conviction_visitation_10				Ci ho messo due ore per arrivare qui, mia figlia sta piangendo… Non è giusto.
conviction_visitation_11				Nemmeno ciò che ha fatto suo marito è giusto, signora. Ora veda di andarsene: non abbiamo tempo da perdere, qui.
conviction_visitation_12				La prego, gli dia questo.
conviction_visitation_13                D'accordo. Non potrà ricevere visite per molto, molto tempo: vuole che gli lasci un messaggio?
conviction_visitation_14                No, nessun messaggio.

conviction_visitation_angrymorgan0		No!
conviction_visitation_angrymorgan1		Aspettate!
conviction_visitation_angrymorgan2		Non potete farmi questo!
conviction_visitation_angrymorgan3		Lasciatemi parlare con mia moglie!
conviction_visitation_angrymorgan4		Luridi bastardi!

conviction_helpinmates_1                Che delusione.
conviction_helpinmates_2                È così difficile trovare un modo per aiutare davvero i detenuti… Dobbiamo insegnare loro ad aiutarsi da soli.
conviction_helpinmates_3                Dobbiamo assolutamente occuparci della gestione delle visite: i familiari dei detenuti si stanno accalcando al di fuori della porta della struttura.
conviction_helpinmates_4                Costruisci una nuova struttura dedicata alle visite. Nonostante quel che è accaduto a Morgan, sono convinto che si tratti di una buona idea. E poi, anche gli altri detenuti hanno una famiglia.
conviction_helpinmates_5                Ho condotto alcune ricerche e ho scoperto che molti di questi detenuti sanno a malapena leggere e far di conto. Dobbiamo porre rimedio a questa situazione.
conviction_helpinmates_6                Costruisci una nuova aula e assumi degli insegnanti disposti a istruire i detenuti. Senza un minimo di educazione, queste persone non hanno alcuna possibilità di tornare a condurre una vita onesta.
conviction_helpinmates_7                Inoltre, dobbiamo tenere sotto controllo l'afflusso di detenuti e continuare ad espandere la nostra struttura per fare in modo che ogni carcerato sia alloggiato in una cella decente.

conviction_outro1                       Abbiamo dato a queste persone un obiettivo da raggiungere e una ragione per continuare ad andare avanti. Dobbiamo esserne fieri.
conviction_outro2                       Se ti va, puoi rimanere con noi per vedere come se la cavano i primi detenuti impegnati nei programmi di riabilitazione.
conviction_outro3                       Tuttavia, credo che riusciremo a cavarcela anche da soli. Per andartene, fai clic sulla polaroid nella cella di Morgan.

conviction_secondvisit_1                Speravo di vederti a uno dei miei incontri.
conviction_secondvisit_2                Non ce la faccio più. Sono stanco di restarmene a marcire in questo buco.
conviction_secondvisit_3                Cerca di vivere alla giornata.
conviction_secondvisit_4                Non la sopporto più questa fogna. Non mi lasciano nemmeno vedere la mia famiglia. Ho fatto un casino, signore, e ormai è troppo tardi per rimediare.
conviction_secondvisit_5                Andrà tutto bene, Henry. Ci sono io con te.
conviction_secondvisit_6                È buffo… Lui mi diceva queste stesse parole.
conviction_secondvisit_7                Chi, Henry? Coraggio, a me puoi dirlo.
conviction_secondvisit_8                Si prendeva cura di me.
conviction_secondvisit_9                Sin da quando eravamo bambini.
conviction_secondvisit_10               Qualunque cosa succeda, non ti buttare giù.
conviction_secondvisit_11               Ci sono io con te.
conviction_secondvisit_11b 				Beh…
conviction_secondvisit_12               Ora non c'è più.
conviction_secondvisit_13               Facciamo un patto: tu vieni al mio prossimo incontro e io tenterò di farti ottenere il permesso di ricevere visite.
conviction_secondvisit_14               Faresti questo per me, signore?
conviction_secondvisit_15               Non riguarda soltanto te, Henry.

conviction_suicide_1 					Mi dispiace disturbarla, signore, ma ho pensato che fosse giusto avvertirla: c'è stato un altro suicidio.
conviction_suicide_2					Sembra che un prigioniero abbia ingerito del veleno per topi.
conviction_suicide_3					Il dottor Hurst si sta recando nella sua cella per accertarsi dell'accaduto.
conviction_suicide_4					Non è la cosa più bella che tu abbia mai visto?
conviction_suicide_5					Sì, senza alcun dubbio.
conviction_suicide_6					Non è mai troppo tardi per cambiare vita, signore.

objective_conviction_expandcapacity50			Gestisci l'arrivo dei nuovi detenuti
objective_conviction_expandcapacity50_description	Puoi visualizzare un possibile progetto per il nuovo blocco di celle accedendo alla modalità Pianificazione tramite la barra degli strumenti.
objective_conviction_expandcapacity_cells	 	Costruisci le celle necessarie ad accogliere 40 detenuti
objective_conviction_expandcapacity_shower		Realizza una sala docce
objective_conviction_expandcapacity_yard		Allestisci un cortile
objective_conviction_expandcapacity_intake		Attendi l'arrivo dei prossimi detenuti

objective_conviction_workprogram 				Organizza un programma lavorativo di riabilitazione
objective_conviction_unlocklabour				Autorizza i lavori forzati tramite la sezione Burocrazia
objective_conviction_work_trainkitchen			(OPZIONALE) Istruisci 5 detenuti in sicurezza della cucina e igiene
objective_conviction_work_kitchen				Impiega i detenuti in cucina
objective_conviction_work_workshop				Costruisci un'officina
objective_conviction_work_trainworkshop			(OPZIONALE) Fai frequentare a 10 detenuti un corso di sicurezza sul lavoro
objective_conviction_work_assignworkshop		Impiega i detenuti nell'officina
objective_conviction_work_produceplates			(OPZIONALE) Produci 100 targhe
objective_conviction_work_exportszone			Stabilisci una zona di esportazione nei pressi della strada
objective_conviction_work_setintake             Imposta l'arrivo dei detenuti al livello 10

objective_conviction_unlocklabour_description	Puoi accedere alla schermata Burocrazia facendo clic sull'icona al di sopra della lista degli incarichi.
objective_conviction_work_kitchen_description	 Seleziona la cucina. Per fare lavorare i detenuti, accedi alla sezione Logistica e seleziona "Lavoro forzato". A questo punto, fai clic per aggiungere degli incarichi a qualunque stanza evidenziata in verde.
objective_conviction_work_assignworkshop_description 	Per impiegare i detenuti nell'officina, accedi alla sezione Logistica e fai clic su Lavori forzati.\n\nPer poter essere impiegati nell'officina, i tuoi detenuti devono prima aver superato il corso di sicurezza sul lavoro.
objective_conviction_work_trainkitchen_description 		Per organizzare dei programmi di riabilitazione, fai clic su Resoconti (in basso a destra) e poi su Programmi. I detenuti seguiranno questi corsi durante l'orario lavorativo stabilito.\n\nPer fornire ai detenuti il tempo necessario a frequentare i corsi, dovrai impostare un orario lavorativo pari a due ore nella schermata Regime.
objective_conviction_work_trainworkshop_description 	Per organizzare dei programmi di riabilitazione, fai clic su Resoconti (in basso a destra) e poi su Programmi. I detenuti seguiranno questi corsi durante l'orario lavorativo stabilito.\n\nPer fornire ai detenuti il tempo necessario a frequentare i corsi, dovrai impostare un orario lavorativo pari a due ore nella schermata Regime.
objective_conviction_work_setintake_description         Per evitare problemi di sovraffollamento, accedi alla sezione Resoconti (in basso a destra), seleziona Arrivi e usa il pulsante << per abbassare il livello corrispondente a 10.

objective_conviction_visitation				Migliora il sistema di gestione delle visite
objective_conviction_visitationroom	Costruisci una nuova struttura dedicata alle visite
objective_conviction_visitationcount		Agevola le visite dei familiari di 20 detenuti
objective_conviction_telephones	 			Colloca dei telefoni in tutti i cortili
objective_conviction_mailroom				Costruisci una stanza della posta
objective_conviction_mailroomwork			Impiega dei detenuti nella stanza della posta

objective_conviction_mailroomwork_description           Per impiegare dei detenuti nella stanza della posta, accedi alla sezione Logistica e fai clic su Lavori forzati.

objective_conviction_education				Comincia a istruire i tuoi detenuti
objective_conviction_unlockeducation		Autorizza l'educazione tramite la sezione Burocrazia
objective_conviction_education_classroom	Costruisci un'aula
objective_conviction_education_class 		Tieni un corso educativo di base
objective_conviction_education_learn		(OPZIONALE) Fai in modo che 5 detenuti superino il corso educativo di base
objective_conviction_education_library		Costruisci una biblioteca
objective_conviction_education_librarywork	Impiega dei detenuti nella biblioteca
objective_conviction_education_chapel		Costruisci una cappella
objective_conviction_education_spiritual	Organizza un corso di guida spirituale

objective_conviction_expandcapacity100			Aumenta la capacità della prigione
objective_conviction_expandcapacity_cells100	Fai in modo che la prigione arrivi a contare 80 celle
objective_conviction_expandcapacity_cells200	(OPZIONALE) Fai in modo che la prigione arrivi a contare 120 celle

objective_Conviction_PlayerExitsMap         Quando hai finito, fai clic sulla polaroid nella cella di Morgan.

 
# =============================================================================
# Epilogue
# =============================================================================

campaignchapter_epilogue                Tirando le somme
campaigncutscene_epilogueintro          Revisione
campaigncutscene_epilogueoutro          Epilogo

campaignchapter_epilogue_description    Una prigione storica sta per essere demolita: serviti di tutte le competenze che hai acquisito per realizzare la struttura che la sostituirà.

adviser_name_reporter 					Reporter

epilogue_newsintro1 					Quest'oggi, CNDC News vi mostrerà in che condizioni versano le nostre carceri.
epilogue_newsintro2 					Sono passati due anni da quando la tristemente nota rivolta di Alchemico ha mietuto una sproposistata quantità di vittime, tra cui l'amministratore delegato Charles Wallace.
epilogue_newsintro4 					Ci siamo rivolti a un team di esperti per tentare di comprendere se da quei tragici eventi sia cambiato qualcosa.
epilogue_newsintro5 					Ci colleghiamo in diretta con una delle prigioni più antiche dello stato, della quale è stata recentemente ordinata la demolizione.
epilogue_newsintro6						In esclusiva su CNDC News.

epilogue_reporter1						Grazie, Sarah. Questa prigione ha ospitato alcuni dei più noti criminali del nostro Paese.
epilogue_reporter2 						Tuttavia, a breve verrà demolita per lasciare spazio a un nuovo complesso carcerario all'avanguardia.
epilogue_reporter3 						Come potete vedere alle mie spalle, i lavori di demolizione sono già cominciati.
epilogue_reporter4 						Qui con me c'è Calvin Heller, sindaco della città. Signor Heller, la ringrazio per avere trovato il tempo di parlare con noi.
epilogue_reporter5 						È un piacere.

epilogue_reporter6 						In passato, lei ha sempre sostenuto la necessità di adottare misure restrittive più severe nei confronti dei detenuti.
epilogue_reporter6b 					Perché demolire una struttura che, per così tanto tempo, è stata il simbolo di quello che si può definire "carcere duro"?
epilogue_reporter7 						Sia la prigione che i meccanisimi da cui è regolata sono divenuti ormai obsoleti.
epilogue_reporter8 						Abbiamo preso la decisione di rimpiazzarla con una struttura all'avanguardia.
epilogue_reporter9						Qualche anno fa, la prigione è finita su tutti i giornali in quanto è una delle poche strutture in cui viene tuttora praticata la pena di morte.
epilogue_reporter10 					Molti attivisti si sono mobilitati al fine di abolire questa pratica. Ha intenzione di dare ascolto alle loro richieste?
epilogue_reporter12 					Ci stiamo ancora riflettendo: non sarà una decisione facile.

epilogue_reporterend1 					Grazie, sindaco Heller. A voi studio.
epilogue_newstransition1 				Qui CNDC News, in diretta da una delle più antiche prigioni dello stato per valutare l'efficienza del nostro sistema carcerario.
epilogue_newstransition2 				Dopo la pubblicità, avremo modo di fare quattro chiacchiere con il dottor Walter Hurst, specialista in psicologia criminale e riabilitazione.

epilogue_parole1 						Ancora niente? Quanto tempo è passato?
epilogue_parole2						Ho perso il conto. Nessuna telefonata, nessuna lettera…
epilogue_parole3 						Mi dispiace, Morgan. So quanto stai soffrendo, ma ti sta venendo data la possibilità di ricominciare: non sprecarla.
epilogue_parole4 						Henry… Buona fortuna.
epilogue_parole5 						Non cercare di dire loro ciò che credi vogliano sentire.
epilogue_parole6 						Devo andare: sarò in onda tra un minuto.
epilogue_parole7                        Sindaco Heller, lei che cosa ne pensa?
epilogue_parole10 						Che velocità!
epilogue_parole11 						Beh?
epilogue_parole12                       …

epilogue_outro_1 						Bentornati a questa edizione speciale di CNDC News. Siamo in diretta con il sindaco Calvin Heller.
epilogue_outro_2 						Ci ha raggiunto il dottor Walter Hurst, accusato di avere dilapidato ingenti somme di denaro per organizzare dei programmi di riabilitazione per i detenuti.
epilogue_outro_2b 						Dottor Hurst, crede di avere ottenuto dei buoni risultati?
epilogue_outro_3						No, non in generale.
epilogue_outro_4						Credo che tutti i detenuti abbiano il potenziale per poter migliorare, ed è nostro dovere offrire loro questa possibilità.
epilogue_outro_4b 						Posso affermare con assoluta certezza di avere riscontrato una maggiore fiducia nel futuro da parte di molti dei detenuti rinchiusi qui dentro.
epilogue_outro_5						Il carcere dovrebbe essere un deterrente, non un'opportunità di cambiamento o miglioramento.
epilogue_outro_6 						Punirli continuamente non fa altro che alimentare il loro odio.

