
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nou
codex_timelapse_interval_value          *X Minute În-Joc

codex_performance_running				Test De Performanță În Desfășurare
codex_performance_time					Timp Rămas: *Ts
codex_performance_current				Timp Cadru Curent: *Tms
codex_performance_min					Timp Cadru Minim: *Tms
codex_performance_avg					Timp Cadru Mediu: *Tms
codex_performance_max					Timp Cadru Maxim: *Tms
codex_performance_numframes				Număr De Cadre: *T

codex_last_modified						Ultima Modificare: *T
codex_sortbydesc						Sortează După Dată
codex_sortname							Nume
codex_sortdate							Dată
codex_apply								Aplică
codex_select                            Alege

codex_mods								Moduri
codex_mod_activetitle					Moduri Active
codex_mod_inactivetitle					Moduri Disponibile
codex_mod_deactivate					Dezactivează toate modurile
codex_mod_wiki							Găsește mai multe moduri (Wiki)
codex_mod_openmodsfolder				Deschide Dosarul Cu Moduri
codex_mod_moresteammods					Găsește mai multe moduri (Atelier Steam)
codex_mod_findsteamtranslations         Găsește mai multe traduceri (Atelier Steam)
codex_authortitle                       Autor
codex_versiontitle                      Versiune
codex_datetitle                         Dată
codex_urltitle                          URL
codex_typetitle							Tip
codex_mod_graphicsandsound				Grafică și Sunet
codex_mod_translation					Traducere
codex_mod_scenario						Scenariu
codex_mod_content						Conținut
codex_mod_load_scenario					Joacă Scenariu
codex_publishmod						Publică Acest Mod

codex_mod_update						Actualizează Acest Mod
codex_mod_published_good				Mod Publicat
codex_mod_published_good_msg			Modul tău a fost publicat cu succes.
codex_mod_published_bad					Publicare Mod Eșuată
codex_mod_published_bad_msg				Publicarea modului tău a eșuat.
codex_mod_modsupdated					Moduri Actualizate
codex_mod_modsupdated_msg				Câteva din modurile tale active au fost actualizate. Dă click pe OK penru a aplica modificările. Jocul tău va fi salvat automat.
codex_mod_translationcaption            Asta este o traducere în altă limbă?

codex_language                          Limbaj
codex_language_englishdefault           Engleză (Inițial)
codex_language_default                  Limba Inițială
codex_language_download                 Descarcă
codex_language_failed_download          Descărcarea Traducerii A Eșuat
codex_language_failed_download_msg      Descărcarea traducerii aleasă de tine a eșuat.
codex_language_searching_workshop       Căutare În Atelierul Steam În Desfășurare
codex_language_community                Aceste pachete de traducere sunt create și menținute de comunitate – Vă Mulțumim!

codex_save_confirm                      Ești sigur că dorești să suprascri *X cu închisoarea curentă?
codex_researtchapter_confirm            Ești sigur că dorești să repornești capitolul curent? Progresul care nu a fost salvat va fi pierdut.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message					Dorești să păstrezi aceste setări grafice? Se vor întoarce la valoarea anterioară în:
graphicschange_time						secunde.
graphicschange_accept					Accept
graphicschange_revert					Revino Acum

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title                    Script Debugger (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title                   Diferențe Găsite În Mod
modnotification_info                    Aceste moduri au fost folosite când a fost salvată închisoarea curentă. Recomandăm serios să fie descărcate și activate înainte să joci închisoarea asta.
modnotification_playnow                 Joacă Acum
modnotification_active                  Activă
modnotification_inactive                Inactivă
modnotification_new                     NOU
modnotification_unknown                 Necunoscut
modnotification_popup_title             Diferență Mod
modnotification_popup_active            Acest mod este activ. Dă click să îl dezactivezi.
modnotification_popup_inactive          Acest mod este inactiv. Dă click să îl activezi.
modnotification_popup_new_url           Acesta este un mod nou. Dă click să îi deschizi link-ul în browser-ul tău.
modnotification_popup_new_steam         Acesta este un mod nou de pe Steam. Dă click să te abonezi la el și să îl descarci acum.
modnotification_popup_unknown           Nu am putut să determinăm de unde a venit acest mod. Te rugăm să îl găsești și să îl instalezi tu.

# =============================================================================
# Biography
# =============================================================================

biography_search                        Oprește și Caută
biography_selected                      ALES
biography_prisoner_name                 *S, *F
biography_prisoner_number               Prizonier #*X
biography_prisoner_age                  Vârstă : *X
biography_prisoner_traits               Trăsături :
biography_prisoner_convicted            Condamnat pentru *C (a pledat *P)
biography_prisoner_sentenced            Condamnat la *X ani de închisoare
biography_parole_now                    Eligibil acum pentru eliberare condiționată
biography_parole_later                  Eligibil în *X ani pentru eliberare condiționată
biography_prisoner_served               A stat *X ani la închisoare
biography_prisoner_priors               Antecedente:


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age							Vârstă:
rapsheet_category						Categorie:
rapsheet_traits							Trăsătiri Cunoscute:
rapsheet_conviction_text				*C- *Y ani
rapsheet_found_text						(Pledoarie: *P)
rapsheet_convictions					Condamnări
rapsheet_misconductstitle				Abateri Recente
rapsheet_biography                      Biografie
rapsheet_guilty							Vinovat
rapsheet_notguilty						Nevinovat
rapsheet_served							Timp Petrecut În Închisoare
rapsheet_served_time					A stat *Y ani la închisoare
rapsheet_time							*Y ani
rapsheet_bio							Condamnat la *Y ani pentru *A.
rapsheet_bio_med						Condamnat la *Y ani pentru infracțiuni multiple, inclusiv *A și *B.
rapsheet_bio_long						Condamnat la *Y ani pentru infracțiuni multiple, inclusiv *A, *B și *C.
rapsheet_category_minsec				Minimă Securitate
rapsheet_category_normal				Securitate Normală
rapsheet_category_maxsec				Maximă Securitate
rapsheet_category_protected             Custodie
rapsheet_category_supermax              Super Maximă Securitate
rapsheet_category_deathrow              Condamnat La Moarte
rapsheet_tab_biography                  Biografie
rapsheet_tab_experience                 Experiență
rapsheet_tab_grading                    Evaluare
rapsheet_tab_character                  Personaj
rapsheet_punish                         Pedepsește
rapsheet_recruit                        Recrutează Ca Informant

rapsheet_timeinside                     *X zile în închisoarea ta
rapsheet_timeinside_hours               *X ore în închisoarea ta
rapsheet_mood                           Stare De Spirit
rapsheet_activity                       Activitate
rapsheet_condition                      Condiție
rapsheet_program                        Program
rapsheet_passchance                     Șansă De Reușită
rapsheet_reformhistory                  Istorie Cu Programul De Reformă

rapsheet_reform_success                 Succes
rapsheet_reform_successcount            Completat de *X ori
rapsheet_reform_failed                  Eșec
rapsheet_reform_failcount               Eșuat de *X ori

rapsheet_grading_punishment             Pedeapsă
rapsheet_grading_health                 Sănătate
rapsheet_grading_security               Securitate
rapsheet_grading_reform                 Reformă
rapsheet_grading_points                 *X puncte :
rapsheet_grading_penalties              *X penalizări :

rapsheet_scheduleexecution              Programează Execuție


punish_lockdown_6                       Închidere (6 ore)
punish_lockdown_12                      Închidere (12 ore)
punish_lockdown_24                      Închidere (24 ore)
punish_solitary_6                       Carceră (6 ore)
punish_solitary_12                      Carceră (12 ore)
punish_solitary_24                      Carceră (24 ore)
punish_solitary_perm                    Carceră (Permanent)
punish_lockdown_perm                    Închidere (Permanent)
punish_solitary                         Carceră
punish_lockdown                         Închidere Generală
punish_none                             Niciunul
punish_timer                            *X ore *Y minute
punish_timer_minutes                    *Xm
punish_active                           Activă
punish_permanent                        (Permanent)
punish_end                              Încheie Pedeapsa

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none                  Niciunul
misconduct_reporttype_complaint             Plângere
misconduct_reporttype_destruction           Distrugere
misconduct_reporttype_escapeattempt         Tentativă De Evadare
misconduct_reporttype_injuredprisoner       Prizonier Atacat
misconduct_reporttype_injuredstaff          Personal Atacat
misconduct_reporttype_seriousinjury         Răni Grave
misconduct_reporttype_murder                Crimă
misconduct_reporttype_contrabandweapons     Arme Găsite
misconduct_reporttype_contrabandtools       Unelte Găsite
misconduct_reporttype_contrabandnarcotics   Droguri Găsite
misconduct_reporttype_contrabandluxuries    Luxuri Găsite
misconduct_reporttype_intoxicated           Intoxicație
misconduct_title                             =[Abatere]=

misconduct_report_addiction                 Dependent de *X
misconduct_report_recoving                  În recuperare după dependență de *X
misconduct_report_alcoholic                 Alcoolic
misconduct_report_recovingalcoholic         Alcoolic în recuperare


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required                       Ai nevoie de *X pentru a pregăti acest raport.
research_requireunlock                  Este necesar să cercetezi '*X' pentru a debloca acest raport
research_approved                       APROBAT
research_cost                           Preț: *X
research_costperitem                    + *X pe obiect.
research_timetounlock                   Timp până la deblocare : *X ore
research_movementpenalty                Penalizare Mișcare : *X%
research_protectionbonus                Protecție: *X%
research_tap_to_authorise               APASĂ PENTRU A AUTORIZA

research_none                           Niciunul
research_warden                         Director
research_maintainance                   Mentenanță
research_security                       Securitate
research_legal                          Legal
research_mentalhealth                   Psihologie
research_finance                        Finanțe
research_landexpansion                  Extindere
research_cctv                           Supraveghere
research_riotguards                     Jandarm
research_health                         Sănătate
research_cleaning                       Curățenie
research_groundskeeping                 Grădinărit
research_clone                          Clonează
research_deployment                     Mobilizare
research_patrols                        Patrule
research_dogs                           Câini
research_prisonlabour                   Muncă
research_education                      Educație
research_contraband                     Informație
research_policy                         Politica Închisorii
research_armoury                        Armurărie
research_bodyarmour                     Armură
research_tazers                         Pistol Cu Electroșoc
research_tazersforeveryone              Pregătire Pistol Cu Electroșoc
research_bankloans                      Împrumut Bancar
research_lowertaxes1                    Scutire Taxe
research_lowertaxes2                    Cont În Afară
research_remoteaccess                   Acces De La Distanță
research_extragrant                     Subvenție În Plus
research_advancedmanagement             Micromanagement
research_deathrow                       Condamnat La Moarte
research_permanentpunishment            Pedepse Permanente
research_removemincellsize              Celule Mici
research_reduceexecutionliability       Reduce Răspunderea Pentru Execuții
research_legalprep                      Pregătire Juridică
research_legaldefense                   Apărare Juridică

researchtooltip_warden                  Deblochează Directorul și întregul sistem Birocratic. Angajează-l din bara utilitară de Personal.\n\nAre nevoie de un birou din care să lucreze, la fel ca și ceilalți Administratori.
researchtooltip_security                Deblochează Șeful Securității, care poate fi angajat din bara utilitară de Personal. El îți va da acces la ecranul de Mobilizare și un raport în timp real referitor la nivelul de pericol al închisorii tale, prezicând des probleme care vor avea loc în viitor.\n\nAre nevoie de un birou din care să lucreze, la fel ca și ceilalți Administratori.
researchtooltip_maintenance             Deblochează Șeful De Atelier. Agajează-l din bara utilitară de personal.\n\nAre nevoie de un birou din care să lucreze, la fel ca și ceilalți Administratori.
researchtooltip_legal                   Deblochează Avocatul, care poate fi angajat din bara utilitară de personal. Deblochează opțiuni multiple de cercetare, care îți vor da mai mult control asupra închisorii tale.\n\nAre nevoie de un birou din care să lucreze, la fel ca și ceilalți Administratori.
researchtooltip_deployment              Îți permite să staționezi permanent Paznici în sectore ale închisorii.
researchtooltip_patrols                 Îți permite să stabilești patrule prin zonele cruciale ale închisorii (ex: perimetrul) și să desemnezi paznici care să le urmeze.
researchtooltip_dogs                    Deblochează Dresorul De Câîni și Câinii De Pază. Excelează când vine vorba de găsirea mărfurilor de contrabandă împuțite și a tunelelor de evadare.\n\nCâinii sunt și foarte rapizi, ceea ce le permite să fugărească prizonierii cu ușurință.
researchtooltip_cctv                    Deblochează camerele CCTV și monitoarele de securitate. Folosește-le să stai cu ochii pe părțile nepăzite din închisoarea ta.\n\nDeblochează și sistemul de Monitorizare Convorbiri, care îți permite să asculți convorbirile telefonice ale prizonierilor și să obții informații vitale.
researchtooltip_remoteaccess            Deblochează echipament avansat de control la distanță și automatizare pentru uși. Ușile pot fi deschise de la distanță folosind Sistemul De Control al Ușilor (operat de un Paznic) sau cu ajutorul unui Cronometru Pentru Uși în anumite momente ale zilei.
researchtooltip_riotguards              (NU ARE SCOP MOMENTAN)\nDeblochează Jandarmii. Tipii ăștia sunt acoperiți de armură și pot rezolva mai bine situațiile violente.
researchtooltip_maintainance            Deblochează Șeful De Atelier. Îți va permite să faci alte cercetări, ca programul de Muncă și personal adițional cum ar fi Grădinarul.\n\nAre nevoie de un birou din care să lucreze, la fel ca și ceilalți Administratori.
researchtooltip_clone                   Deblochează unealta de Clonare din bara utilitară principală. Folosește această unealtă să copiezi rapid zone din închisoarea ta, cum ar fi celulele. Pentru a o folosi, ține apăsat click dreapta și trage mouseul peste o zonă pe care dorești să o copiezi, apoi dă click stânga unde dorești să pui copia.
researchtooltip_groundskeeping          Deblochează Grădinarul. El va avea grijă ca zonele exterioare să fie aranjate.
researchtooltip_cleaning                Deblochează Omul De Serviciu. El va face curat în toate zonele interioare ale închisorii și poate să ajute și la spălatul rufelor.
researchtooltip_health                  Deblochează Doctroul, alături de Infirmerie și Morgă. Prizonierii și angajații răniți for fi duși la Infirmerie unde vor fi îngrijiți de doctori.
researchtooltip_MentalHealth            Deblochează Psihologul, care îți va oferi în permanență informații valoroase despre starea psihologica a prizonierilor tăi.\n\nAre nevoie de un birou din care să lucreze, la fel ca și ceilalți Administratori.
researchtooltip_finance                 Deblochează Contabila, care îți va da acces la raportul financiar al închisorii tale.\n\nÎți va și permite să cheltui mai mult pe zi decât ți-ar da voie în mod normal venitul, asta presupunând că ai suficiente fonduri de rezervă.\n\nAre nevoie de un birou din care să lucreze, la fel ca și ceilalți Administratori.
researchtooltip_landexpansion           Autorizează achiziționarea pământului vecin, astfel crescând mărimea închisorii dincolo de limitele inițiale.
researchtooltip_prisonlabour            Îți permite să pui prizonierii la treabă prin închisoare (gătit, curățenie etc.), scutindu-te de plata salariilor unor angajați, crescându-ți venitul și ajutându-ți prizonierii să învețe niște abilități noi.\n\nTotodată deblochează Atelierul și Spălătoria.
researchtooltip_education               Deblochează abilitatea de a conduce programe de reformă educațională pentru prizonierii tăi, folosind profesori angajați din exterior.
researchtooltip_contraband              Pregătire pentru ca Paznicii tăi să devină mai buni în găsirea și recuperarea mărfurilor de contrabandă. Deblochează raportul de Cerere și Ofertă, stratul de Contrabandă (care arată toate posibilele locații unde pot avea loc furturi) și urmărește toate mărfurile de contrabandă recuperate până la punctul din care au fost introduse ilegal sau furate.\n\nDeblochează și abilitatea de a recruta prizonieri ca Informatori Confidențiali.\n\nDeblochează și vizualizarea informațiilor referitoare la găști.
researchtooltip_policy                  Deblochează Raportul De Politică, care îți permite să crești sau să reduci pedepsele pentru toate tipurile de abateri. Totodată activează percheziționearea automată a prizonierilor respectivi și a celulei lor.\n\nÎți permite să controlezi și politica nutriționistă, care afectează schimbările asupra cantității și varietății mâncărurilor servite prizonierilor.
researchtooltip_armoury                 Deblochează armurăria și îți permite să mobilizezi paznici înarmați prin închisoarea ta.
researchtooltip_bodyarmour              Echipează toți Paznicii, Paznicii Înarmați și Dresorii De Câini cu armură. Asta îi poate ajuta să reziste la mai multe lovituri într-o luptă, dar îi va și încetini.\n\nPaznicii trebuie să viziteze armurăria pentru a putea primi acest echipament, iar tu vei fi cel care va trebui să plătească pentru toate armurile achiziționate în acest fel.
researchtooltip_tazers                  Permite Paznicilor Înarmați să poarte Pistol Cu Electroșoc, o armă potentă care doboară majoritatea țintelor cu un singur foc. Aceste Pistoale necesită o re-încărcare de o oră, după fiecare foc tras.\n\nPaznicii Înarmați trebuie să viziteze armurăria pentru a putea primi acest echipament, iar tu vei fi cel care va trebui să plătească pentru toate pistoalele achiziționate în acest fel.
researchtooltip_tazersforeveryone       Extinde programul de antrenament pentru Pistoale Cu Șoc Electric, astfel încât să poată fi folosite și de Paznicii tăi obișnuiți.\n\nEi trebuie să viziteze armurăria pentru a putea primi acest echipament, iar tu vei fi cel care va trebui să plătească pentru toate pistoalele achiziționate în acest fel.
researchtooltip_bankloans               Îți permite să împrumuți sume mari de bani de la bancă, în schimbul plății unor dobânzi zilnice. Dacă plătești toată datoria, Credit Score-ul tău va crește, iar tu vei putea împrumuta sume mai mari în viitor.
researchtooltip_lowertaxes1             Profită de stimulentele oferite de stat și  reduce Taxa ta de Corporație până la 15%.\n\nVei economisi $1,500 în taxe pentru fiecare $10,000 din profitul tău zilnic.
researchtooltip_lowertaxes2             Contabila ta întinde coarda până la punctul de rupere, prin a-ți muta toate conturile oficiale și procesele de afacere într-o țară străină care beneficiază de taxe preferențiale. Taxa ta va coborâ până la 1%. \n\nVei economisi $3,000 în taxe pentru fiecare $10,000 din profitul tău zilnic.
researchtooltip_extragrant              Îți permite să accepți până la 3 subvenții deodată în loc de două.
researchtooltip_advancedmanagement      Îți dă uneltele necesare pentru a-ți administra închisoarea până îndeplinește condițiile tale exacte.\n\nDeblochează logistica Mâncării, permitându-ți să specifici ce bucătărie gătește pentru ce cantină și în care cantină vor mânca prizonierii tăi. În același fel, logistica Rufelor îți permite să suprascri ce bloc de celule va primi ce rufe.\n\nDeblochează și Planificatorul De Mobilizare, care îți permite să programezi mobilizarea paznicilor tăi în diferite momente ale zilei.\n\nDeblochează Planificatorul Programului De Reformă, care îți permite să suprascri orarul zilnic al programelor.
researchtooltip_permanentpunishment     Uneori nu este suficient să fi aruncat în închisoare. Avocatul tău poate să depună documentele necesare pentru ca tu să poți închide permanent prizonieri în celulele lor.
researchtooltip_removemincellsize       Celulele tale trebuie să fie de cel puțin o anumită dimensiune, pentru a îndeplini condițiile legale. Dar imaginează-ți câte celule ți-ar mai încăpea dacă ai ocoli acea lege. Scapă de cerințele minime pentru mărimea celulelor.
researchtooltip_reduceexecutionliability Avocatul tău cere o reducție a gravității faptelor necesare pentru ca un prizonier să poată fi condamnat la moarte. Practic, scade numărul de recursuri pe care un prizonier le poate face până să îl poți condamna la moarte, fără să îți asumi responsabilitatea.
researchtooltip_legalprep               Orice închisoare mai dă de probleme din când în când, iar unele din ele pot avea repercusiuni legale majore. Avocatul tău va începe să strângă documentele necesare să te apere de belele în caz că ceva merge prost, dar trebuie să faci asta în avans.
researchtooltip_legaldefense            Ești într-o situație nasoală – ceva a mers foarte prost și ai fost pus în preaviz. Dacă crezi că nu te vei putea descurca singur, avocatul tău te poate scăpa. Completează această cercetare. Iar orice avertizment pe care îl ai acum, care ar fi putut rezulta în concedierea ta, va fi anulat.

research_legaldefense_adviser1          Se pare că avocatul tău a depus niște acte care te protejează de consecințele acestui dezastru. Asta înseamnă că nu te pot concedia...de data asta.
research_legaldefense_adviser2          Fă ordine rapid în închisoarea ta și asigură-te că rămâne așa. Smecheria asta nu va funcționa din nou și nici nu te va proteja la nesfârșit.

research_missingadministrator           NECESAR:



# =============================================================================
# Room Requirements
# =============================================================================

roomrequirement_required                NECESAR:
roomrequirement_recommended             Recomandat:
roomrequirement_minimumsize             Dimensiuni Minime *W x *H
roomrequirement_minimumsize_short	Dimensiune *W x *H
roomrequirement_indoor                  În Interior
roomrequirement_outdoor                 Afară
roomrequirement_solidground             Pământ Solid
roomrequirement_secure                  În Siguranță (în spatele a cel puțin o ușă)
roomrequirement_secure_short		În Siguranță
roomrequirement_enclosed                Închis (înconjurat de pereți și uși)
roomrequirement_enclosed_short		Închis
requirement_entrance                    Necesită Intrare
roomrequirement_title                    =[Cerințe Cameră]=
roomrequirement_passed                  [TRECUT]
roomrequirement_failed                  [EȘUAT]
roomrequirement_adjacentobject          Adiacent cu Camera:

# =============================================================================
# Unlocks
# =============================================================================

unlock_title                            DEBLOCAT

unlock_special_electricity              Sisteme Electrice
unlock_special_food                     Prepararea Mâncării
unlock_special_officersafety            Siguranța Ofițerilor
unlock_special_misbehavior              Delict
unlock_special_accounting               Contabilitate
unlock_special_gangs                    Găști

unlock_electricity_caption              Permite construcția centralelor electrice și a cablurilor eletrice, care vor furniza curent electric tuturor dispozitivelor care le necesită.


# =============================================================================
# Advisers
# =============================================================================

click_to_continue                       Dă click pentru a Continua...
incoming_call                           Apel...

adviser_name_unknown                    Necunoscut
adviser_name_ceo                        Directorul General
adviser_name_warden                     Directorul Închisorii
adviser_name_governer                   Guvernatorul
adviser_name_chief                      Șeful Securității
adviser_name_doctor                     Doctorul
adviser_name_kingpin                    Boss
adviser_name_edwardshooter              Edward
adviser_name_edwardsinner               Edward
adviser_name_edwardinmate               Edward
adviser_name_edwardswife                Susan, Soția lui Edward
adviser_name_priest                     Preotul
adviser_name_newsreader                 Știrile CNDC
adviser_name_mayor 						Primarul Calvin Heller


# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff                            Personal
report_prisoners                        Prizonieri
report_jobs                             Locuri De Muncă
report_needs                            Nevoi
report_threats                          Amenințări
report_regime                           Regim
report_policy                           Politică
report_grants                           Subvenții
report_finance                          Finanțe
report_valuation                        Expertiză
report_contraband                       Contrabandă
report_programs                         Programează Execuție
report_schedule                         Planificator
report_intake                           Sosiri

report_grants_bankloan                  Împrumut Bancar
report_grants_bankloan_text             Poți să împrumuți o sumă mare de bani de la bancă. Va trebui să plătești zilnic dobândă din fluxul tău de numerar.\n\nPe măsură ce faci plata în mod regulat, credit score-ul tău va crește, iar banca îți va permite să împrumuți sume mai mari. Dar, dacă nu faci plățile la timp, credit score-ul tău va fi decimat, iar banca va refuza să te împrumute atunci când ai nevoie.\n\nNotiță: Datoria ta nu va fi niciodată achitată doar din plata dobânzilor.
report_grants_max1                      Nu poți accepta mai mult de o subvenție o dată.\nFolosește contabila ta să crești această limită.
report_grants_max2                      Nu poți accepta mai mult de două subvenții o dată.\nFolosește contabila ta să crești această limită.
report_grants_max3                      Nu poți accepta mai mult de trei subvenții o dată.
report_grants_bankloan_amount           Împrumut Bancar Curent: *X
report_grants_bankloan_interest         Dobândă: *X pe zi
report_grants_bankloan_max              Limită De Împrumut: *X
report_grants_creditrating              Credit Score-ul Tău: *X
report_grants_inprogress_tt             (ÎN DESFĂȘURARE)
report_grants_completed_tt              (TERMINAT)
report_grants_locked_tt                 (BLOCAT)
report_grants_advancepayment            *X Plăți în avans
report_grants_completionbonus           *X Bonus de completare
report_grants_objectives                [Obiective]
report_grants_prereqs                   [Cerințe]
report_grants_completed                 TERMINAT
report_grants_locked                    Blocat
report_grants_inprogress                În Desfășurare
report_grants_hidden                    (Încă *X ascunse)
report_grants_taptoaccept               APASĂ PENTRU A ACCEPTA
report_grants_cancelfee                 Const de anulare: *X

report_staff_title                      Număr Total De Angajați: *X
report_prisoners_title                  Număr Total De Prizonieri: *X
report_staff_group_builders             Muncitori
report_staff_group_guards               Paznici
report_staff_group_staff                Personal
report_staff_group_administrators       Administratori
report_staff_group_prisoners            Prizonieri
report_staff_group_prisoners_high       Risc Înalt
report_staff_group_prisoners_normal     Risc Normal
report_staff_group_prisoners_low        Risc Scăzut
report_staff_group_prisoners_protected  Custodie
report_staff_group_prisoners_supermax   Super Maximă Securitate
report_staff_group_prisoners_deathrow   Condamnat La Moarte

report_staff_fire                       CONCEDIAZĂ

report_intake_title                     Sosiri
report_intake_catheader_cat             Categorie
report_intake_catheader_pay             Plată
report_intake_catheader_available       Disponibil
report_intake_catheader_amount          Rată
report_intake_next_header               Următoarele Sosiri: *X
report_intake_cat_minsec                Minimă Securitate
report_intake_cat_normal                Securitate Medie
report_intake_cat_maxsec                Maximă Securitate
report_intake_cat_deathrow              Condamnat La Moarte
report_intake_slider_minsec             Ajustează rația de sosiri la Minimă Securitate
report_intake_slider_normal             Ajustează rația de sosiri la Securitate Medie
report_intake_slider_maxsec             Ajustează rația de sosiri la Maximă Securitate
report_intake_slider_deathrow           Ajustează rația de sosiri la Condamnări La Moarte
report_intake_closed                    ÎNCHIS
report_intake_locked                    ÎNCUIAT
report_intakemaxperdaydesc              Sosiri Zilnice
report_intakemaxperdaydesc_tooltip      Numărul total de prizonieri pe care îi vrei trimiși în următorul grup.
report_intakemaxperdaydecr              <<
report_intakemaxperdayincr              >>
report_intakemaxperdaynone              Niciunul
report_intakemaxperdayall               Toți
reports_intakedelivernow                Trimite Acum
report_intakepayment                    Plată
report_intakeall                        TOȚI
report_intake_list_tooltip_title        Categori Sosiri
report_intake_list_tooltip              O listă cu toate categoriile de oameni care pot fi trimiși în închisoarea ta.\n\nColectivul reprezintă numărul de prizonieri din fiecare categorie, care pot fi trimiși spre închisoarea ta. Acest număr va crește cu timpul, bazat pe rația stabilită de cursoare.\n\nPoți ajusta cursoarele ca să schimbi câți prizonieri din fiecare categorie, vor fi trimiși în următorul grup.
report_intake_list_tooltip_dr           \n\nPrizonierii Condamnați La Moarte au nevoie de o celulă specială înainte să poată fi transferați în închisoarea ta. Numărul de sosiri pentru Condamnați La Moarte crește mai lent decât cel al prizonierilor obișnuiți, iar colectivul pentru Condamnații La Moarte nu va crește mereu. Acești prizonieri sunt puțini și rari.
report_intake_buttons_tooltip_title     Următoarele Sosiri
report_intake_buttons_tooltip           Din această secțiune, poți crește sau reduce numărul de prizonieri pe care dorești să îi primești în grupul următor.\n\nDacă alegi ”Niciunul”, vei respinge orice prizonier nou, pe când dacă alegi ”Toți”, vei primi numărul total valabil de prizonieri.\n\nNumărul de prizonieri admiși din fiecare categorie este ajustat de cursoarele de mai sus.
report_intake_overview_tooltip_title    Supraveghere Sosiri
report_intake_overview_tooltip          Aici poți vedea următorul grup de prizonieri și plata pe care o vei primi. Numărul de prizonieri primiți și categoriile cărora le aparțin, pot fi schimbate prin cursoarele și butoanele de mai sus. Plata este bazată pe numărul de prizonieri din fiecare categorie.

valuation_categoryprison                Valoarea Închisorii
valuation_construction                  Cărămizi și Mortar
valuation_objects                       Obiecte Fixe și Instalații
valuation_stock                         Stoc Și Materiale
valuation_staff                         Personal
valuation_startupgrant                  Subvenție De Început
valuation_capacity                      Capacitate Prizonieri
valuation_cash                          Bani
valuation_debt                          Împrumuturi Bancare
valuation_categoryperformance           Siguranță și Securitate
valuation_bonustimewithoutincident      [Bonus] Timp fără incidente
valuation_finedeath                     [Penalizare] Decese în ultimele 24 de ore
valuation_fineescape                    [Penalizare] Evadări în ultimele 24 de ore
valuation_total                         TOTAL
valuation_sell                          VINDE
valuation_sellprison                    VINDE ÎNCHISOAREA
valuation_sell_tooltip                  Dacă vinzi închisoarea asta, vei putea lua profitul câștigat din ea și să începi una nouă cu fonduri de început mai mari.\n\nVei putea continua să conduci această închisoare, dar poți vinde o închisoare doar odată. Tot profitul din vânzare va fi transferat către închisoarea nouă.
valuation_sold                          Această închisoare a fost vândută cu: *X
valuation_donotown                      Nu poți vinde această închisoare deoarece nu o deții.
valuation_sellsome                      Vinde acțiuni
valuation_buysome                       Cumpără acțiuni
valuation_shares                        Cumpără și Vinde Acțiuni
valuation_shares_tooltip                Poți vinde până la 50% din închisoarea ta sub formă de acțiuni, investitorilor externi. Vei primi cash pe loc. În schimbul investiției lor, acționarii tăi vor primi fracțiunea lor din banii pe care îi câștigi când vei vinde închisoarea.\n\nEx: dacă vinzi 30% din închisoarea ta, vei primi doar 70% din valoarea finală de vânzare a închisorii. Poți să cumperi înapoi acțiunile vândute oricând dorești – dar prețul s-ar putea să fie mai mare decât era când ai vândut acțiunea.
valuation_ownership                     Îți aparține *X% din închisoare
valuation_saleprice                     Preț Vânzare: *X
valuation_title                          =[ESTIMARE]=
valuation_totalprisonvalue              Valoarea Totală A Închisorii : *X
valuation_subcashreserves               Minus Rezerve De Bani : *X
valuation_tenpercentprice               Preț Pentru 10% : *X
valuation_profit                        Profitul Tău : *X
valuation_tap_to_authorise              APASĂ PENTRU A AUTORIZA

salecondition_title                     CERINȚE PENTRU VÂNZARE
salecondition_cannotsell                Nu poți vinde acținui sau închisoarea cu totul, până când nu îndeplinești condițiile de mai jos.
salecondition_minimumvalue              Valoare minimă de $50,000
salecondition_cashflow                  Flux de numerar pozitiv
salecondition_accountant                Contabil la fața locului
salecondition_minprisoners              Cel puțin 20 de prizonieri
salecondition_recentdeaths              Nici un deces recent
salecondition_recentescapes             Nici o evadare recentă
salecondition_passed                    [TRECUT]
salecondition_failed                    [EȘUAT]

policy_title                            INCIDENT
policy_search                            - PERCHEZIȚIONEAZĂ -
policy_prisoner                         EL
policy_cell                             CELULA
policy_punishment                       PEDEAPSĂ
policy_quantity                         TIMP
policy_punishmenttime                   *X ore
policy_mealcost                         $*X / zi
policy_totalmealcost                    (TOTAL: $*X / zi)

job_construct                           Construiește *X
job_installobject                       Instalează *X
job_installobjectinroom                 Instalează *X în *Y
job_moveobject                          Mută *X
job_moveobjecttoroom                    Mută *X în *Y
job_loadobjectinto                      Încarcă *X în *Y
job_storeobject                         Depozitează *X în *Y
job_dismantleobject                     Demontează *X
