
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Νέο
# Rap Sheet
# =============================================================================

rapsheet_age							Ηλικία:
rapsheet_category						Κατηγορία:
rapsheet_traits							Γνωστά χαρακτηριστικά:
rapsheet_conviction_text				*C – *Y χρόνια
rapsheet_found_text						(Δήλωσε: *P)
rapsheet_convictions					Καταδίκες
rapsheet_misconductstitle				Πρόσφατα παραπτώματα
rapsheet_biography                      Βιογραφία
rapsheet_guilty							Ένοχος
rapsheet_notguilty						Αθώος
rapsheet_served							Εκτίθηκε
rapsheet_served_time					Εξέτισε *Y χρόνια
rapsheet_time							*Y χρόνια
rapsheet_bio							Καταδικάστηκε σε *Y χρόνια για το αδίκημα: *A.
rapsheet_bio_med						Καταδικάστηκε σε *Y χρόνια για πολλαπλά αδικήματα στα οποία περιλαμβάνονται: *A και *B.
rapsheet_bio_long						Καταδικάστηκε σε *Y χρόνια για πολλαπλά αδικήματα στα οποία περιλαμβάνονται: *A, *B and *C.
rapsheet_category_minsec				Χαμηλή ασφάλεια
rapsheet_category_normal				Κανονική ασφάλεια
rapsheet_category_maxsec				Ύψιστη ασφάλεια
rapsheet_category_protected             Υπό προστασία
rapsheet_category_supermax              Υπερύψιστη
rapsheet_category_deathrow              Θανατική ποινή
rapsheet_tab_biography                  Βιογραφία
rapsheet_tab_experience                 Εμπειρία
rapsheet_tab_grading                    Βαθμολογία
rapsheet_tab_character                  Χαρακτήρας
rapsheet_punish                         Τιμωρία
rapsheet_recruit                        Στρατολόγηση ως πληροφοριοδότη

rapsheet_timeinside                     *X ημέρες στη φυλακή σου
rapsheet_timeinside_hours               *X ώρες στη φυλακή σου
rapsheet_mood                           Διάθεση
rapsheet_activity                       Δραστηριότητα
rapsheet_condition                      Κατάσταση
rapsheet_program                        Πρόγραμμα
rapsheet_passchance                     Πιθανότητα επιτυχίας
rapsheet_reformhistory                  Ιστορικό προγραμμάτων αναμόρφωσης

rapsheet_reform_success                 Επιτυχία
rapsheet_reform_successcount            Πέρασε *X φορές
rapsheet_reform_failed                  Απέτυχε
rapsheet_reform_failcount               Απέτυχε *X φορές

rapsheet_grading_punishment             Τιμωρία
rapsheet_grading_health                 Υγεία
rapsheet_grading_security               Ασφάλεια
rapsheet_grading_reform                 Αναμόρφωση
rapsheet_grading_points                 *X πόντοι:  
rapsheet_grading_penalties              *X ποινές:  

rapsheet_scheduleexecution              Προγραμματισμός εκτέλεσης


punish_lockdown_6                       Αποκλεισμός (6ώ)
punish_lockdown_12                      Αποκλεισμός (12ώ)
punish_lockdown_24                      Αποκλεισμός (24ώ)
punish_solitary_6                       Απομόνωση (6ώ)
punish_solitary_12                      Απομόνωση (12ώ)
punish_solitary_24                      Απομόνωση (24ώ)
punish_solitary_perm                    Απομόνωση (μόνιμα)
punish_lockdown_perm                    Αποκλεισμός (μόνιμα)
punish_solitary                         Απομόνωση
punish_lockdown                         Αποκλεισμός
punish_none                             Καθόλου
punish_timer                            *X ώ. *Y λ.
punish_timer_minutes                    *X λ.
punish_active                           ΕΝΕΡΓΟ
punish_permanent                        (Μόνιμα)
punish_end                              Τέλος τιμωρίας

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none                  Καθόλου
misconduct_reporttype_complaint             Παράπονο
misconduct_reporttype_destruction           Καταστροφή
misconduct_reporttype_escapeattempt         Απόπειρα απόδρασης
misconduct_reporttype_injuredprisoner       Επίθεση σε κρατούμενο
misconduct_reporttype_injuredstaff          Επίθεση σε προσωπικό
misconduct_reporttype_seriousinjury         Σοβαρός τραυματισμός
misconduct_reporttype_murder                Ανθρωποκτονία
misconduct_reporttype_contrabandweapons     Εύρεση όπλων
misconduct_reporttype_contrabandtools       Εύρεση εργαλείων
misconduct_reporttype_contrabandnarcotics   Εύρεση ναρκωτικών
misconduct_reporttype_contrabandluxuries    Εύρεση ειδών πολυτελείας
misconduct_reporttype_intoxicated           Μέθη
misconduct_title                            =[Παράπτωμα]=

misconduct_report_addiction                 Εθισμένος σε: *X
misconduct_report_recoving                  Αναρρώνει από εθισμό σε: *X
misconduct_report_alcoholic                 Αλκοολικός
misconduct_report_recovingalcoholic         Αλκοολικός σε απεξάρτηση


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required                       Απαιτείται *X για να ετοιμάσει αυτή την αναφορά.
research_requireunlock                  Πρέπει να κάνεις την έρευνα «*X» για να ξεκλειδώσεις αυτή την αναφορά.
research_approved                       ΕΓΚΡΙΘΗΚΕ
research_cost                           Κόστος: *X
research_costperitem                    + *X ανά στοιχείο.
research_timetounlock                   Χρόνος ξεκλειδώματος: *X ώρες
research_movementpenalty                Ποινή κίνησης: *X%
research_protectionbonus                Προστασία: *X%
research_tap_to_authorise               ΚΛΙΚ ΓΙΑ ΕΞΟΥΣΙΟΔΟΤΗΣΗ

research_none                           Καθόλου
research_warden                         Διευθυντής
research_maintainance                   Συντήρηση
research_security                       Ασφάλεια
research_legal                          Νομικό τμήμα
research_mentalhealth                   Ψυχολογία
research_finance                        Λογιστήριο
research_landexpansion                  Επέκταση γης
research_cctv                           Παρακολούθηση
research_riotguards                     Φύλακες καταστολής
research_health                         Υγεία
research_cleaning                       Καθαριότητα
research_groundskeeping                 Κηπουρική
research_clone                          Κλωνοποίηση
research_deployment                     Τοποθέτηση
research_patrols                        Περιπολίες
research_dogs                           Σκύλοι
research_prisonlabour                   Εργασία κρατουμένων
research_education                      Εκπαίδευση
research_contraband                     Πληροφορίες
research_policy                         Πολιτική φυλακής
research_armoury                        Οπλοστάσιο
research_bodyarmour                     Θωράκιση
research_tazers                         Τέιζερ
research_tazersforeveryone              Επέκταση τέιζερ
research_bankloans                      Τραπεζικό δάνειο
research_lowertaxes1                    Φορολογική ελάφρυνση
research_lowertaxes2                    Offshore φορολόγηση
research_remoteaccess                   Απομακρυσμένη πρόσβαση
research_extragrant                     Έξτρα επιδότηση
research_advancedmanagement             Μικροδιαχείριση
research_deathrow                       Θανατική ποινή
research_permanentpunishment            Μόνιμες τιμωρίες
research_removemincellsize              Μικρά κελιά
research_reduceexecutionliability       Μείωση ευθύνης εκτέλεσης
research_legalprep                      Νομικές προεργασίες
research_legaldefense                   Νομική υπεράσπιση

researchtooltip_warden                  Ξεκλειδώνει τον Διευθυντή και ολόκληρο το σύστημα Γραφειοκρατίας. Προσέλαβέ τον από τη γραμμή εργαλείων Προσωπικού.\n\nΌπως όλοι οι Διοικητικοί υπάλληλοι, χρειάζεται ένα γραφείο όπου θα δουλεύει.    
researchtooltip_security                Ξεκλειδώνει τον Αρχιφύλακα, τον οποίο μπορείς να προσλάβεις από τη γραμμή εργαλείων Προσωπικού. Ο Αρχιφύλακας σού δίνει πρόσβαση στην οθόνη Τοποθέτησης, ενώ παράλληλα σου αναφέρει σε πραγματικό χρόνο τον βαθμό επικινδυνότητας της φυλακής σου. Έτσι μπορεί να προβλέπει συχνά μελλοντικούς μπελάδες.\n\nΌπως όλοι οι Διοικητικοί υπάλληλοι, χρειάζεται ένα γραφείο όπου θα δουλεύει.    
researchtooltip_maintenance             Ξεκλειδώνει τον Εργοδηγό. Προσέλαβέ τον από τη γραμμή εργαλείων Προσωπικού.\n\nΌπως όλοι οι Διοικητικοί υπάλληλοι, χρειάζεται ένα γραφείο όπου θα δουλεύει.    
researchtooltip_legal                   Ξεκλειδώνει τον Δικηγόρο, τον οποίο μπορείς να προσλάβεις από τη γραμμή εργαλείων Προσωπικού. Ξεκλειδώνει διάφορες επιλογές έρευνας που σου δίνουν μεγαλύτερο έλεγχο πάνω στην φυλακή σου.\n\nΌπως όλοι οι Διοικητικοί υπάλληλοι, χρειάζεται ένα γραφείο για να δουλεύει.    
researchtooltip_deployment              Σου επιτρέπει να τοποθετείς Φύλακες σε μόνιμα πόστα στους τομείς της Φυλακής σου.
researchtooltip_patrols                 Σου επιτρέπει να καθορίζεις περιπολίες γύρω από κρίσιμες περιοχές της φυλακής σου (π.χ. την περίμετρο) και να τις αναθέτεις σε φύλακες.
researchtooltip_dogs                    Ξεκλειδώνει τον Χειριστή σκύλων και τον Σκύλο-φύλακα. Έχουν τη δυνατότητα να μυρίζονται τα λαθραία είδη που έχουν χαρακτηριστική μυρωδιά στη φυλακή σου και να ανιχνεύουν σήραγγες απόδρασης.\n\nΕπίσης, οι Σκύλοι είναι πολύ γρήγοροι και αυτό τους επιτρέπει να κυνηγούν εύκολα κρατούμενους.  
researchtooltip_cctv                    Ξεκλειδώνει Κάμερες και Σταθμούς παρακολούθησης. Χρησιμοποίησε αυτές τις συσκευές σε σημεία της φυλακής σου όπου δεν υπάρχει προσωπικό.\n\nΞεκλειδώνει επίσης τον Κοριό, που σου επιτρέπει να υποκλέπτεις τηλεφωνήματα των κρατούμενων για να αποσπάς κρίσιμες πληροφορίες.
researchtooltip_remoteaccess            Ξεκλειδώνει εξοπλισμό υψηλής τεχνολογίας για τον απομακρυσμένο έλεγχο και την αυτοματοποίηση των πορτών. Οι πόρτες μπορούν να ανοίγονται από μακριά μέσω ενός Συστήματος ελέγχου πόρτας (που θα το χειρίζεται Φύλακας) ή από έναν Χρονοδιακόπτη πόρτας σε συγκεκριμένες ώρες της ημέρας.
researchtooltip_riotguards              (ΠΡΟΣ ΤΟ ΠΑΡΟΝ ΔΕΝ ΕΞΥΠΗΡΕΤΕΙ ΚΑΠΟΙΟΝ ΣΚΟΠΟ)\nΞεκλειδώνει τον Φύλακα καταστολής. Αυτοί οι τύποι είναι θωρακισμένοι και πιο ικανοί να αντιμετωπίζουν βίαιες καταστάσεις.
researchtooltip_maintainance            Ξεκλειδώνει τον Εργοδηγό. Σου επιτρέπει να κάνεις περαιτέρω έρευνα σε τομείς όπως η Εργασία κρατουμένων ή για επιπλέον μέλη προσωπικού όπως ο Κηπουρός.\n\nΌπως όλοι οι Διοικητικοί υπάλληλοι, χρειάζεται ένα γραφείο για να δουλεύει.    
researchtooltip_clone                   Ξεκλειδώνει το εργαλείο κλωνοποίησης από την κεντρική γραμμή εργαλείων. Χρησιμοποίησε αυτό το εργαλείο για να αντιγράψεις γρήγορα χώρους της φυλακής σου, όπως Κελιά. Για να το χρησιμοποιήσεις, διάλεξε τη ζώνη που θέλεις να αντιγραφεί κάνοντας πρώτα δεξί κλικ και μεταφορά, και μετά αριστερό κλικ για να φτιάξεις ένα αντίγραφο.
researchtooltip_groundskeeping          Ξεκλειδώνει τον Κηπουρό. Θα σε βοηθήσει να διατηρείς σε καλή κατάσταση τους εξωτερικούς σου χώρους.
researchtooltip_cleaning                Ξεκλειδώνει τον Επιστάτη. Θα καθαρίζει όλους τους εσωτερικούς χώρους της φυλακής σου και θα σε βοηθάει με την υπηρεσία καθαρισμού ρούχων της φυλακής.
researchtooltip_health                  Ξεκλειδώνει τον Γιατρό, μαζί με το Αναρρωτήριο και το Νεκροτομείο. Στο αναρρωτήριο θα μεταφέρονται τραυματισμένοι κρατούμενοι και μέλη του προσωπικού, για να τους φροντίζουν οι Γιατροί.
researchtooltip_MentalHealth            Ξεκλειδώνει τον Ψυχολόγο, που σου παρέχει κάθε στιγμή πολύτιμες πληροφορίες για την ψυχολογική κατάσταση των Κρατουμένων σου.\n\nΌπως όλοι οι Διοικητικοί υπάλληλοι, χρειάζεται ένα γραφείο για να δουλεύει.    
researchtooltip_finance                 Ξεκλειδώνει τη Λογίστρια, που σου παρέχει πρόσβαση στην οικονομική αναφορά για τη Φυλακή σου.\n\nΣου επιτρέπει επίσης να ξοδεύεις περισσότερα χρήματα από όσα θα σου επέτρεπαν κανονικά τα έσοδά σου, εφόσον έχεις αρκετά χρήματα αποταμιευμένα.\n\nΌπως όλοι οι Διοικητικοί υπάλληλοι, χρειάζεται ένα γραφείο για να δουλεύει.    
researchtooltip_landexpansion           Σου δίνει εξουσιοδότηση να αγοράζεις γειτονικά οικόπεδα, επεκτείνοντας έτσι το μέγεθος της φυλακής σου πέρα από τα αρχικά της όρια.
researchtooltip_prisonlabour            Σου επιτρέπει να βάζεις τους κρατουμένους σου να δουλεύουν σε διάφορους τομείς στη φυλακή σου (μαγειρική, καθαριότητα, κλπ.). Έτσι εξοικονομείς ταυτόχρονα μισθούς προσωπικού, κερδίζεις χρήματα και μαθαίνεις στους κρατουμένους σου νέες δεξιότητες.\n\nΞεκλειδώνει επίσης το Εργαστήρι και τον Χώρο πλυντηρίων.
researchtooltip_education               Ξεκλειδώνει τη δυνατότητα να διεξάγεις προγράμματα εκπαιδευτικής αναμόρφωσης για τους κρατουμένους σου, χρησιμοποιώντας δασκάλους που προσλαμβάνονται εξωτερικά.  
researchtooltip_contraband              Εκπαίδευση που βελτιώνει τις ικανότητες των Φυλάκων σου στην παρακολούθηση και την κατάσχεση λαθραίων ειδών. Ξεκλειδώνει την αναφορά Προσφοράς και ζήτησης λαθραίων, την επικάλυψη Λαθραίων ειδών (που εμφανίζει όλες τις τοποθεσίες πιθανής κλοπής στη φυλακή σου) και εντοπίζει την προέλευση όλων των λαθραίων ειδών, είτε κλάπηκαν είτε τα έφερε κάποιος κρυφά απέξω από την φυλακή.\n\nΞεκλειδώνει επίσης τη δυνατότητα να στρατολογείς κρατουμένους ως Εμπιστευτικούς πληροφοριοδότες.\n\nΞεκλειδώνει επίσης την προβολή πληροφοριών συμμοριών.
researchtooltip_policy                  Ξεκλειδώνει την αναφορά Πολιτικής, που σου επιτρέπει να αυξάνεις και να μειώνεις τις τιμωρίες για κάθε είδος παραπτώματος, καθώς και να προκαλείς αυτόματα ελέγχους των κρατουμένων που διαπράττουν παραπτώματα και των κελιών τους.\n\nΣου επιτρέπει επίσης να ελέγχεις τη διατροφική πολιτική, αλλάζοντας την ποσότητα και την ποικιλία του φαγητού που σερβίρεται στους κρατουμένους.  
researchtooltip_armoury                 Ξεκλειδώνει το Οπλοστάσιο και σου επιτρέπει να τοποθετείς Ένοπλους φύλακες στη φυλακή σου.
researchtooltip_bodyarmour              Εξοπλίζει τους Φύλακες, τους Ένοπλους φύλακες και τους Χειριστές σκύλων με θωράκιση. Έτσι, οι φύλακές σου μπορούν να απορροφήσουν περισσότερη ζημιά σε συμπλοκές, αλλά θα κινούνται πιο αργά.\n\nΟι φύλακες πρέπει να επισκέπτονται το οπλοστάσιο, για να παραλάβουν τον εξοπλισμό Θωράκισης και θα χρεώνεσαι για κάθε τέτοια παραλαβή.
researchtooltip_tazers                  Επιτρέπει στους Ένοπλους φύλακες να κουβαλούν Τέιζερ: ένα ισχυρό όπλο μίας βολής που ρίχνει αμέσως αναίσθητους τους περισσότερους στόχους. Τα Τέιζερ μπορούν να πυροδοτηθούν μόνο μία φορά και μετά χρειάζονται μία ολόκληρη ώρα για να επαναφορτιστούν.\n\nΟι Ένοπλοι φύλακες πρέπει να επισκέπτονται το οπλοστάσιο για να παραλάβουν τον εξοπλισμό Τέιζερ και θα χρεώνεσαι για κάθε τέτοια παραλαβή.
researchtooltip_tazersforeveryone       Επεκτείνει το πρόγραμμα Τέιζερ, ώστε να μπορούν να κουβαλούν και οι κανονικοί σου Φύλακες Τέιζερ για να αμύνονται.\n\nΠρέπει να επισκέπτονται το οπλοστάσιο για να παραλάβουν τον εξοπλισμό Τέιζερ και θα χρεώνεσαι για κάθε τέτοια παραλαβή.
researchtooltip_bankloans               Σου επιτρέπει να δανείζεσαι μεγάλα χρηματικά ποσά από την τράπεζα, με αντάλλαγμα την πληρωμή ενός ημερήσιου τόκου. Η αποπληρωμή των δανείων σου θα αυξάνει την πιστοληπτική σου ικανότητα και θα σου επιτρέπει να δανείζεσαι μεγαλύτερα ποσά αργότερα.
researchtooltip_lowertaxes1             Εκμεταλλεύεται φορολογικά κίνητρα που δίνει η κυβέρνηση και μειώνει τον ισχύοντα συντελεστή του Φόρου εταιρείας σου σε 15%.\n\nΘα εξοικονομείς φόρους 1.500 $ ανά 10.000 $ ημερήσιου κέρδους.
researchtooltip_lowertaxes2             Η λογίστριά σου είναι τσακάλι στο να βρίσκει και να εκμεταλλεύεται παραθυράκια της νομοθεσίας. Επίσης μπορεί να μετακινήσει όλα τα επίσημα λογιστικά στοιχεία και τις επιχειρηματικές σου διαδικασίες σε χώρα του εξωτερικού με πολύ ευνοϊκή φορολόγηση. Η ισχύουσα ευθύνη Φόρου εταιρείας σου θα πέσει περίπου στο 1%.\n\nΘα εξοικονομείς συνολικά φόρους 3.000 $ ανά 10.000 $ ημερήσιου κέρδους.
researchtooltip_extragrant              Σου επιτρέπει να δέχεσαι μέχρι και τρεις επιδοτήσεις, αντί για δύο.
researchtooltip_advancedmanagement      Σου δίνει τα εργαλεία να διαχειρίζεσαι σε μικροσκοπική κλίμακα ορισμένους τομείς της φυλακής σου, ώστε να ανταποκρίνονται τελείως στις απαιτήσεις σου.\n\nΞεκλειδώνει την Εφοδιαστική σίτισης, που σου επιτρέπει να καθορίζεις ποια Μαγειρεία θα μαγειρεύουν για ποιες Καντίνες και σε ποιες Καντίνες θα τρώνε οι κρατούμενοι. Παρομοίως, η Εφοδιαστική ρουχισμού σού επιτρέπει να ελέγχεις εσύ ποιοι Χώροι πλυντηρίων θα καλύπτουν ποιες πτέρυγες κράτησης.\n\nΞεκλειδώνει επίσης τον Προγραμματισμό τοποθέτησης, που σου επιτρέπει να προσαρμόζεις την τοποθέτηση των φυλάκων σου σε διάφορες ώρες της ημέρας.\n\nΞεκλειδώνει τον Προγραμματισμό προγραμμάτων αναμόρφωσης, επιτρέποντάς σου να παρακάμψεις τον ημερήσιο προγραμματισμό τους όπως επιθυμείς εσύ.
researchtooltip_permanentpunishment     Μερικές φορές, το να είναι κανείς κλεισμένος στη φυλακή δεν αρκεί. Ο δικηγόρος σου μπορεί να υποβάλει τα απαραίτητα έγγραφα που θα σου επιτρέψουν να περιορίζεις κρατουμένους στα κελιά τους μόνιμα.  
researchtooltip_removemincellsize       Τα κελιά της φυλακής σου έχουν ορισμένες προϋποθέσεις μεγέθους, ώστε να συμμορφώνονται με τις απαιτήσεις της νομοθεσίας. Φαντάσου όμως πόσα κελιά θα μπορούσες να χωρέσεις στη φυλακή, αν δεν ίσχυε αυτό!
researchtooltip_reduceexecutionliability Ο δικηγόρος σου ασκεί πιέσεις για μείωση στο απαιτούμενο σθένος καταδίκης που απαιτείται, για να ξεκινήσουν νόμιμα οι διαδικασίες της εκτέλεσης. Ουσιαστικά, μειώνει τον αριθμό των εφέσεων που δικαιούται ένας κρατούμενος, πριν μπορέσεις να προγραμματίσεις την εκτέλεσή του χωρίς να έχεις νομική ευθύνη.
researchtooltip_legalprep               Κάθε φυλακή συναντάει προβλήματα αργά ή γρήγορα. Ορισμένα από αυτά συνοδεύονται από σοβαρές νομικές συνέπειες. Ο δικηγόρος σου θα ξεκινήσει τις γραφειοκρατικές διαδικασίες, για να κρατήσει τα μάτια του νόμου μακριά σου αν κάτι πάει στραβά, αλλά αυτό πρέπει να γίνει εκ των προτέρων.
researchtooltip_legaldefense            Έμπλεξες. Κάτι πήγε πολύ στραβά και σου έκαναν επίσημη προειδοποίηση. Αν φαίνεται ότι δεν θα καταφέρεις να διαχειριστείς την κατάσταση, ο δικηγόρος σου μπορεί να σε βοηθήσει να γλιτώσεις. Όταν ολοκληρώσεις αυτή την έρευνα, θα αφαιρεθούν όλες οι τωρινές προειδοποιήσεις που διαφορετικά μπορεί να οδηγήσουν στην απόλυσή σου.

research_legaldefense_adviser1          Φαίνεται ότι ο δικηγόρος σου υπέβαλε κάποια έγγραφα που σε προστατεύουν από τις συνέπειες αυτού του φιάσκου. Αυτό σημαίνει ότι δεν μπορώ να σε απολύσω. Αυτή τη φορά, τουλάχιστον.
research_legaldefense_adviser2          Βάλε γρήγορα τη φυλακή σου σε τάξη και κοίτα να παραμείνει έτσι. Αυτό το κόλπο δεν θα δουλέψει ξανά και δεν θα σε προστατεύει για πάντα.

research_missingadministrator           ΑΠΑΙΤΕΙΤΑΙ:



# =============================================================================
# Room Requirements
# =============================================================================

roomrequirement_required                ΑΠΑΙΤΕΙΤΑΙ:
roomrequirement_recommended             Προτείνεται:  
roomrequirement_minimumsize             Ελάχιστο μέγεθος *W x *H
roomrequirement_minimumsize_short	Μέγεθος *W x *H
roomrequirement_indoor                  Εσωτερικός χώρος
roomrequirement_outdoor                 Εξωτερικός χώρος
roomrequirement_solidground             Στέρεο έδαφος
roomrequirement_secure                  Ασφαλές (πίσω από τουλάχιστον μία πόρτα)
roomrequirement_secure_short		Ασφαλές
roomrequirement_enclosed                Περίκλειστο (περιβάλλεται από τοίχους και πόρτες)
roomrequirement_enclosed_short		Περίκλειστο
requirement_entrance                    Απαιτεί είσοδο
roomrequirement_title                   =[Απαιτήσεις δωματίου]=
roomrequirement_passed                  [ΔΕΚΤΟ]  
roomrequirement_failed                  [ΜΗ ΔΕΚΤΟ]  
roomrequirement_adjacentobject          Δίπλα στο Δωμάτιο:  

# =============================================================================
# Unlocks
# =============================================================================

unlock_title                            ΞΕΚΛΕΙΔΩΘΗΚΕ

unlock_special_electricity              Ηλεκτρικά συστήματα
unlock_special_food                     Προετοιμασία φαγητού
unlock_special_officersafety            Ασφάλεια γραφείου
unlock_special_misbehavior              Κακή αγωγή
unlock_special_accounting               Λογιστικά
unlock_special_gangs                    Συμμορίες

unlock_electricity_caption              Επιτρέπει την κατασκευή σταθμών ενέργειας και ηλεκτρικών καλωδίων, που παρέχουν ηλεκτρικό ρεύμα σε όλες τις συσκευές που το χρειάζονται.


# =============================================================================
# Advisers
# =============================================================================

click_to_continue                       Κάνε κλικ για συνέχεια...
incoming_call                           Εισερχόμενη κλήση...

adviser_name_unknown                    Άγνωστο
adviser_name_ceo                        Διευθύνων Σύμβουλος
adviser_name_warden                     Διευθυντής
adviser_name_governer                   Κυβερνήτης
adviser_name_chief                      Αρχιφύλακας
adviser_name_doctor                     Γιατρός
adviser_name_kingpin                    Αρχιγκάνγκστερ
adviser_name_edwardshooter              Έντουαρντ
adviser_name_edwardsinner               Έντουαρντ
adviser_name_edwardinmate               Έντουαρντ
adviser_name_edwardswife                Σούζαν, η γυναίκα του Έντουαρντ
adviser_name_priest                     Ιερέας
adviser_name_newsreader                 Ειδήσεις του CNDC
adviser_name_mayor 						Δήμαρχος Κάλβιν Χέλερ


# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff                            Προσωπικό
report_prisoners                        Κρατούμενοι
report_jobs                             Εργασίες
report_needs                            Ανάγκες
report_threats                          Απειλές
report_regime                           Καθεστώς
report_policy                           Πολιτική
report_grants                           Επιδοτήσεις
report_finance                          Λογιστήριο
report_valuation                        Αποτίμηση
report_contraband                       Λαθραία είδη
report_programs                         Προγράμματα
report_schedule                         Προγραμματισμός
report_intake                           Εισδοχή

report_grants_bankloan                  Τραπεζικό δάνειο
report_grants_bankloan_text             Μπορείς να δανειστείς ένα μεγάλο χρηματικό ποσό από την τράπεζα. Σε αντάλλαγμα, η τράπεζα θα σε χρεώνει τόκο που πρέπει να ξεπληρώνεις από την Ταμειακή ροή σου.\n\nΗ τακτική αποπληρωμή των δανείων σου θα αυξάνει την πιστοληπτική σου ικανότητα και θα σου επιτρέπει να δανείζεσαι μεγαλύτερα ποσά. Αν όμως μείνεις πίσω στις πληρωμές σου, η πιστοληπτική σου ικανότητα θα καταρρεύσει και η τράπεζα θα αρνείται να σου δανείσει περισσότερα χρήματα, όταν τα χρειάζεσαι.\n\nΣημείωση: Το δάνειό σου δεν θα αποπληρωθεί ποτέ μονάχα από τις ημερήσιες πληρωμές τόκου.    
report_grants_max1                      Μπορείς να δεχτείς μόνο μία επιδότηση σε μια δεδομένη στιγμή.\nΧρησιμοποίησε τη λογίστριά σου για να αυξήσεις αυτό το όριο.
report_grants_max2                      Μπορείς να δεχτείς μόνο δύο επιδοτήσεις σε μια δεδομένη στιγμή.\nΧρησιμοποίησε τη λογίστριά σου για να αυξήσεις αυτό το όριο.
report_grants_max3                      Μπορείς να δεχτείς μόνο τρεις επιδοτήσεις σε μια δεδομένη στιγμή.
report_grants_bankloan_amount           Τρέχον τραπεζικό δάνειο: *X
report_grants_bankloan_interest         Τόκος: *X ανά ημέρα
report_grants_bankloan_max              Μέγιστο δάνειο: *X
report_grants_creditrating              Πιστοληπτική δυνατότητα: *X
report_grants_inprogress_tt             (ΣΕ ΕΞΕΛΙΞΗ)
report_grants_completed_tt              (ΟΛΟΚΛΗΡΩΘΗΚΕ)
report_grants_locked_tt                 (ΚΛΕΙΔΩΜΕΝΗ)
report_grants_advancepayment            *X προκαταβολή
report_grants_completionbonus           *X πριμ ολοκλήρωσης
report_grants_objectives                [Στόχοι]
report_grants_prereqs                   [Προαπαιτούμενα]
report_grants_completed                 ΟΛΟΚΛΗΡΩΘΗΚΕ
report_grants_locked                    Κλειδωμένη
report_grants_inprogress                Σε εξέλιξη
report_grants_hidden                    (*X ακόμα κρυμμένες)
report_grants_taptoaccept               ΚΛΙΚ ΓΙΑ ΑΠΟΔΟΧΗ
report_grants_cancelfee                 Κόστος ακύρωσης: *X

report_staff_title                      Συνολικό προσωπικό: *X
report_prisoners_title                  Συνολικοί κρατούμενοι: *X
report_staff_group_builders             Εργάτες
report_staff_group_guards               Φύλακες
report_staff_group_staff                Προσωπικό
report_staff_group_administrators       Διοικητικοί υπάλληλοι
report_staff_group_prisoners            Κρατούμενοι
report_staff_group_prisoners_high       Υψηλής επικινδυνότητας
report_staff_group_prisoners_normal     Κανονικής επικινδυνότητας
report_staff_group_prisoners_low        Χαμηλής επικινδυνότητας
report_staff_group_prisoners_protected  Υπό προστασία
report_staff_group_prisoners_supermax   Υπερύψιστη
report_staff_group_prisoners_deathrow   Θανατική ποινή

report_staff_fire                       ΦΩΤΙΑ

report_intake_title                     Εισδοχή
report_intake_catheader_cat             Κατηγορία
report_intake_catheader_pay             Πληρωμή
report_intake_catheader_available       Διαθέσιμοι
report_intake_catheader_amount          Αναλογία
report_intake_next_header               Επόμενη εισδοχή: *X
report_intake_cat_minsec                Χαμ. ασφ.
report_intake_cat_normal                Μεσαίας ασφ.
report_intake_cat_maxsec                Υψίστης ασφ.
report_intake_cat_deathrow              Θανατική ποινή
report_intake_slider_minsec             Προσαρμογή αναλογίας εισδοχής Χαμ. ασφ.
report_intake_slider_normal             Προσαρμογή αναλογίας εισδοχής Μεσαίας ασφ.
report_intake_slider_maxsec             Προσαρμογή αναλογίας εισδοχής Υψίστης ασφ.
report_intake_slider_deathrow           Προσαρμογή αναλογίας εισδοχής Θανατοποινιτών.
report_intake_closed                    ΚΛΕΙΣΤΗ
report_intake_locked                    ΚΛΕΙΔΩΜΕΝΗ
report_intakemaxperdaydesc              Καθημερινή εισδοχή
report_intakemaxperdaydesc_tooltip      Ο συνολικός αριθμός κρατουμένων που θέλεις να παραλάβεις στην επόμενη εισδοχή
report_intakemaxperdaydecr              <<
report_intakemaxperdayincr              >>
report_intakemaxperdaynone              Καθόλου
report_intakemaxperdayall               Όλους
reports_intakedelivernow                Παραλαβή τώρα
report_intakepayment                    Πληρωμή
report_intakeall                        ΟΛΟΥΣ
report_intake_list_tooltip_title        Κατηγορίες Εισδοχής
report_intake_list_tooltip              Μια λίστα όλων των κατηγοριών κρατουμένου που μπορείς να παραλάβεις στη φυλακή σου.\n\nΤο μέγεθος του διαθέσιμου συνόλου δείχνει τον αριθμό κρατουμένων που μπορείς να παραλάβεις σε κάθε κατηγορία. Αυτός ο αριθμός θα αυξάνεται με τον χρόνο, ανάλογα με την αναλογία των ρυθμιστικών.\n\nΜπορείς να προσαρμόσεις τα ρυθμιστικά, για να αλλάξεις την αναλογία της κάθε κατηγορίας κρατουμένων που θα λαμβάνεις στην επόμενη εισδοχή.
