
campaigncutscene_tooltip 				(Klicken, um das nächste Kapitel der Geschichte auszulösen)
adviser_riot_hostages4 					Wir wollen ein Zivilfahrzeug. Mit geschwärzten Scheiben. Voller Tank. Eine Stunde. Ich melde mich.
adviser_riot_hostages5 					Ok, wo waren wir?
adviser_riot_hostages5b					Was hast du in dem Büro gemacht?
adviser_riot_hostages6					Ich schwöre, ich weiß von nichts.
adviser_riot_hostages7					Ich kenn mein Spiegelbild gut genug, um zu wissen, wann sich einer die Finger schmutzig macht.
adviser_riot_hostages8					Was verbirgst du?
adviser_riot_hostages9					Ich gehöre hierher. Aber der Junge ... wer hat was davon, dass er länger sitzt?
adviser_riot_hostages10					Du weißt was und wenn du hier lebend raus willst, sagst du's mir besser.

adviser_riot_hostageheller1 			Das geht so gar nicht. Wir müssen sehen, was in der Kantine los ist, um uns einen Überblick zu verschaffen.
adviser_riot_hostageheller2 			Nördlich der Kantine gibt es einen kleinen Sicherheitsraum. Den brauchen wir. 
adviser_riot_hostageheller3 			Setzen Sie dort ein paar Wachen ein, um die Videoüberwachung zu bemannen, dann können wir den ganzen Zellenblock beobachten.

objective_Riot_MaxSecCameras			Nehmen Sie den Sicherheitsraum wieder ein! 

campaigncutscene_riotroulette			Roulette

adviser_riot_rouletteintro1             Wir haben eine Wache im Sicherheitsraum und bekommen jetzt Livebilder über die Videoüberwachung.
adviser_riot_rouletteintro2             Sehen wir uns mal die Geiselsituation an.
adviser_riot_click 						<klick>
adviser_riot_roulette1					Letzte Chance, hier rauszukommen, Boss. Schon mal Roulette mit zwei Kugeln gespielt?
adviser_riot_roulette2 					Zwei Kugeln. Vier leere Kammern. 
adviser_riot_roulette2b 				Haben wir früher mit Hasen gespielt. Denen flog immer gleich der ganze Kopf weg. 
adviser_riot_roulette3 					Aber mit dir geht's auch.
adviser_riot_roulette4 					Fangen wir mit einer einfachen Frage an. Was hast du in dem Büro gesucht?
adviser_riot_roulette5 					Ich schwöre, ich weiß von nichts.
adviser_riot_roulette5b 				Also wirklich.
adviser_riot_roulette6 					Also gut. Wer ist zuerst dran? Du? Ich? Wie wär's mit dem Kerl da?
adviser_riot_roulette7					Was weißt du? Genau wie ein Hase.
adviser_riot_roulette8 					WAS STAND IN DIESER DATEI?
adviser_riot_roulette9 					Ich schwöre, ich weiß von nichts ...
adviser_riot_roulette10 				Gleich ist deine Glückssträhne zu Ende. Nur noch eine Kugel. Und ich weiß, was ich gesehen habe.
adviser_riot_roulette11b 				Wollte meinen Augen nicht trauen.
adviser_riot_roulette11c 				Der große Boss höchstpersönlich hier in meinem Knast. Schuldig aussehend wie nur irgendwas. 
adviser_riot_roulette11d 				Ich schätze, da war mehr in diese Dateien, als nur mein Vorstrafenregister.
adviser_riot_roulette11					Bitte. Bitte nicht. 
adviser_riot_roulette11e 				Die Chancen werden schlechter, Wallace.
adviser_riot_roulette12 				Pass auf, ich mach's dir einfacher.
adviser_riot_roulette12b	 			Okay, Schluss mit dem Scheiß.
adviser_riot_roulette13 				Du bist als Nächster dran, Arschloch. Es sei denn, du sagst mir sofort, was du weißt.
adviser_riot_roulette14 				Ich kann nicht. Bitte.
adviser_riot_roulette15 				Okay. Bitte. Bitte. Nicht schießen. Es ging um Geld. Es ging nur um Geld.
adviser_riot_roulette16 				Das ist es?
adviser_riot_roulette17 				Ihr seid wertvolle Ware. Je länger ihr hier einsitzt, desto größer unser Gewinn. Wir haben die Regeln nur ein bisschen gebeugt. 
adviser_riot_roulette17b				Diese Datei war der Beweis.
adviser_riot_roulette18 				Und was sind wir wert? Was kriegt ihr dafür, dass ihr uns hier schmoren lasst?
adviser_riot_roulette19 				73.000 Dollar pro Jahr.
adviser_riot_roulette20					Für jeden? Du Wichser. Zeit, dass du deine Schulden zurückzahlst.

campaigncutscene_riotassault 			Die Bresche

adviser_riot_assault01					Das reicht. Wir müssen diese Sache beenden. 
adviser_riot_assault02 					Das Team ist in Stellung.
adviser_riot_assault03					Ich will jetzt meinen Wagen. Wallace kommt mit. Wenn uns jemand folgt, könnt ihr seine Gliedmaßen von der Straße kratzen.
adviser_riot_assault2 					Okay, großer Mann. Du kommst mit uns. Die werden keinen Unsinn machen, wenn du auf dem Beifahrersitz sitzt.
adviser_riot_assault3 					Keiner von uns kommt hier jemals raus. Sie wollen nicht dich.
adviser_riot_assault4 					Wovon sprichst du?
adviser_riot_assault5					Ich hab es wegen des Geldes getan. Aber ER hat es für den politischen Vorteil getan. Je höher das Strafmaß, desto mehr Stimmen hat er bekommen.
adviser_riot_assault6					Von wem zur Hölle redest du?
adviser_riot_assault7					Von Bürgermeister Heller. Das war sein Plan, ich hab nur das Getriebe geölt. 
adviser_riot_assault7b 					Diese Datei war der Beweis, der seine Karriere zerstören konnte.
adviser_riot_assault8					Du verarschst mich.
adviser_riot_assault9 					Was zur Hölle ...
adviser_riot_assault9b					Sie kommen, macht euch bereit!
adviser_riot_assault10					ICH HAB EUCH VERDAMMT NOCH MAL GEWARNT!

# Riot Objectives and help text

adviser_name_negotiator 				Der Verhandlungsführer

adviser_riot_negotiator1 				Die Sache ist außer Kontrolle. Niemand ist zuständig.
adviser_riot_negotiator2 				Wir haben mehrere Tote und die verbliebenen Wachen weigern sich, in die aufständischen Zellenblöcke zu gehen. Wir mussten uns an die Einzäunung zurückziehen.
adviser_riot_negotiator3 				Machen Sie einen Plan und beenden Sie die Sache, bevor sie uns völlig aus der Hand gleitet.
adviser_riot_negotiator4 				Die Bereitschaftspolizei wird in wenigen Minuten hier sein.

adviser_riot_firstreinforcements1 		Die ersten Angehörigen der Eingreifteams sind da. 
adviser_riot_firstreinforcements2 	 	Das ist die Bereitschaftspolizei, sie ist wesentlich schwerer bewaffnet. Schicken Sie diese Jungs los, um die verlorenen Gefängnistrakte zurückzunehmen. 
adviser_riot_firstreinforcements3 		Wir haben auch ein paar Sanitäter aus einem nahegelegenen Landeskrankenhaus dabei.  
adviser_riot_firstreinforcements4 		Mit denen sollten Sie Ihre Bereitschaftspolizei medizinisch versorgen, während sie das Gefängnis zurückerobert.

objective_Riot_StopTheRiot 				Beenden Sie den Aufstand
objective_Riot_StopTheRiot_description  Es gibt niemanden, der das Sagen hat. Sie müssen selbst herausfinden, was zu tun ist.

adviser_riot_helleradvice1				Ich vermute, ich spreche mit dem Stellvertreter des Geschäftsführers? 
adviser_riot_helleradvice2 				Wir befinden uns in einer äußerst komplizierten Lage und wir stehen alle unter immensem Druck. Ich möchte Ihnen meine volle Unterstützung versichern und werde Ihnen sämtliche Ressourcen bereitstellen, die Sie benötigen. 
adviser_riot_deployguards1				Wir haben einen Fuß in die Tür bekommen und Teile des Gefängnisses zurückgenommen. Und die Anzahl der Toten ist bisher vollkommen vertretbar.
adviser_riot_deployguards2				Aber bevor Sie weitermachen und den Rest des Gefängnisses einnehmen, sollten Sie die Trakte sichern, die sie bereits zurückerobert haben.
adviser_riot_deployguards3				Stellen Sie ein paar Wachen ein und teilen Sie sie über den Einsatzbildschirm den zurückeroberten Sektoren zu. Sie werden dafür sorgen, dass diese Trakte in unserer Hand bleiben.
adviser_riot_deployguards4 				Danach stoßen Sie in die restlichen Zonen vor und erledigen diese Monster. Diese Tiere sind nicht rehabilitierbar. Und verhandeln kann man mit ihnen auch nicht.
adviser_riot_deployguards5 				Ich bin gerade dabei, eine bewaffnete Eingreiftruppe zu bewilligen, die dieser Sache ein schnelles Ende bereitet.

adviser_riot_infirmary1 				Im ganzen Gefängnis gibt es Verwundete und es wird zweifellos noch mehr geben. Sie können sie nicht einfach verbluten lassen. 
adviser_riot_infirmary2 				Bauen Sie irgendwo auf dem Gelände eine Krankenstation und stellen Sie Ärzte ein, die die Verwundeten versorgen.
adviser_riot_infirmary3 				Einige Tote hat es auch gegeben. Um ihrer Würde willen müssen wir eine Leichenhalle bauen und damit anfangen, sie einzusammeln.
adviser_riot_infirmary4					Sie müssen für die Bauarbeiten Arbeiter einstellen. Sorgen Sie für ihre Sicherheit.

objective_Riot_ResecureWings 			Stellen Sie Wachen ein und weisen Sie sie den zurückeroberten Zonen zu.
objective_riot_medicalneeds				(OPTIONAL) Kümmern Sie sich um die medizinischen Bedürfnisse Ihres Gefängnisses!
objective_Riot_Infirmary				(Optional) Bauen Sie eine Krankenstation und versorgen Sie die Verwundeten!
objective_Riot_Morgue 					(Optional) Bauen Sie eine Leichenhalle und sammeln Sie die Toten ein!
objective_Riot_SecureGenPop				Erobern Sie den Haupttrakt zurück (Mitte)!
objective_Riot_SecureSpecialWing		Erobern Sie den Spezialtrakt zurück (Westen)!
objective_Riot_SecureMaxSec				Erobern Sie den Hochsicherheitstrakt zurück (Süden)!
objective_riot_putoutfires				Bringen Sie das Feuer unter Kontrolle!

adviser_riot_secondreinforcements1		Weitere Bereitschaftspolizei ist eingetroffen.

adviser_riot_armedreinforcements1		Der Bürgermeister hat bewaffnete Polizeieinheiten aus der nahegelegenen Polizeiwache beschafft.
adviser_riot_armedreinforcements2		Seien Sie vorsichtig mit diesen Kerlen. Wenn Sie Ihnen freie Hand lassen, bekommen wir hier noch ein Blutbad.
adviser_riot_armedreinforcements3		Andererseits könnte es auch sein, dass die Häftlinge sich ergeben, wenn sie sie anrücken sehen.

adviser_riot_reinforcementsunlocked1 	Der Hauptteil der Verstärkung ist eingetroffen.
adviser_riot_reinforcementsunlocked2 	Sie haben jetzt über die Werkzeugleiste "Notdienste" Zugriff auf so viele Trupps Bereitschaftswachen und Sanitäter, wie Sie brauchen.

adviser_riot_cleanup1                   Die Anstalt ist unter Kontrolle und die Aufständischen wurden überwältigt. Es hätte leicht viel schlimmer ausgehen können.
adviser_riot_cleanup2                   Uns steht einiges an Aufräumarbeiten bevor. Wenn Sie Zeit haben, würde ich mich sehr über Ihre Hilfe freuen.
adviser_riot_cleanup2b 					Wir haben keine Bauunternehmen auf dem Gelände. Als Erstes müssen sie also ein paar neue Arbeiter einstellen, die hier alles reparieren.
adviser_riot_cleanup3                   Ich fand schon immer, dass die Sicherheit hier zu lax gehandhabt wurde. Diese Sträflinge hatten zu lange viel zu viele Freiheiten. Das hat mit dem heutigen Tag ein Ende.
adviser_riot_cleanup4                   Ich möchte, dass Sie uns eine neue Waffenkammer bauen und dann bewaffnete Wachen an Schlüsselpositionen im gesamten Gefängnis verteilen. Ihr Anblick wird die Häftlinge bändigen und sie werden es sich zweimal überlegen, noch mal solchen Ärger zu machen.
adviser_riot_cleanup5                   Ich bewillige außerdem die Mittel, um Panzerwesten an alle Wachen auf dem Gelände auszugeben. Unsere Männer müssen sich selbst verteidigen können.
adviser_riot_cleanup6                   Diese Häftlinge brauchen Disziplin. Ordnung in ihrem Leben. Ich schlage vor, sie beseitigen selbst das Chaos, das sie angerichtet haben.
adviser_riot_cleanup7                   Starten wir ein Arbeitsprogramm für unsere Insassen. Lassen Sie sie das Gefängnis aufräumen und die Wäsche machen.
adviser_riot_cleanup7b                  Über die Werkzeugleiste unter "Logistik" können Sie den Häftlingen Arbeit zuteilen. Führen Sie die Maus über ein Ziel, um genauere Informationen hierzu zu erhalten.
adviser_riot_cleanup8                   Da wären noch ein paar andere Sachen, die erledigt werden müssen. Es gibt viele Häftlinge, denen die Falschheit ihres Handelns vor Augen geführt werden muss. Bauen Sie einen neuen Isolationstrakt.
adviser_riot_cleanup8b                  Unsere Wachen werden die Häftlinge je nach Bedarf in die Isolationshaft bringen. Dort haben sie Gelegenheit, über ihre Missetaten nachzudenken und außerdem wird ihnen vor Augen geführt, wer hier das Sagen hat.
adviser_riot_cleanup9                   Wir müssen uns auch um unser Personal kümmern. Die, dieses Martyrium überlebt haben, sind erschöpft.
adviser_riot_cleanup9b 					Bauen Sie irgendwo einen Personalraum, damit sie sich erholen können.
adviser_riot_cleanup10                  Und das Ganze darf unser Budget nicht überschreiten. Sorgen Sie für schwarze Zahlen und einen positiven Cashflow.
adviser_riot_cleanup10b 				Gefängnisarbeit ist wesentlich günstiger als die von Dienstleistern, wenn es um Dinge wie das Putzen, Hausmeisterdienste, Wäsche usw. geht.
adviser_riot_cleanup11                  Es gibt hier jede Menge zu tun. Wir sind für Ihre Hilfe wirklich sehr dankbar.
adviser_riot_cleanup12                  Wenn Sie denken, Sie haben Ihre Aufgabe erledigt und möchten gerne fortfahren, klicken Sie auf das Polaroid am Eingangstor.

adviser_riot_cleanup13 					Ausgezeichnete Arbeit. Diese Einrichtung ist jetzt wesentlich sicherer.

objective_riot_solitary 				(OPTIONAL) Bauen Sie einen Isolationstrakt und bestrafen Sie die Aufständischen!
objective_riot_armoury 					(OPTIONAL) Führen Sie neue Sicherheitsprotokolle ein!
objective_riot_armoury_research			Schalten Sie über "Bürokratie" die Waffenkammer frei!
objective_riot_armoury_build 			Bauen Sie eine Waffenkammer (an einem sicheren Ort)!
objective_riot_armoury_deploy			Setzen Sie im Hochsicherheitstrakt bewaffnete Wachen ein!
objective_riot_armoury_armour 			Schalten Sie Panzerwesten für alle Sicherheitsmitarbeiter frei!
objective_riot_armoury_tazers 			Schalten Sie Taser für Ihre bewaffneten Wachen frei! 
objective_riot_staffroom 				(OPTIONAL) Bauen Sie einen Personalraum für Ihr erschöpftes Personal! 
objective_riot_balancebooks 			(OPTIONAL) Sorgen Sie für einen ausgeglichenen Kontostand! 
objective_riot_balancebooks_balance 	Sorgen Sie für einen positiven Kontostand! 
objective_riot_balancebooks_cashflow 	Sorgen Sie für einen positiven Cashflow!
objective_riot_prisonerwork				(OPTIONAL) Richten Sie ein Strafarbeitsprogramm ein! 

objective_riot_cleaningcupboard			Bauen Sie einen Putzmittelschrank! 
objective_riot_laundry					Bauen Sie eine Wäscherei! 
objective_riot_inmatesincleaning 		Teilen Sie Häftlingen Putzarbeit zu!
objective_riot_inmatesinlaundry			Teilen Sie Häftlinge zur Arbeit in der Wäscherei zu!
objective_riot_cleanprison 				Räumen Sie das Gefängnis auf! 
objective_riot_providelaundry			Sorgen Sie für saubere Wäsche!

objective_riot_armoury_research_description		Das Bürokratiesymbol befindet sich direkt über dieser Aufgabenliste. Klicken Sie die "Waffenkammer" an, um mit den Arbeiten zu beginnen - Ihr Sicherheitschef erledigt den Papierkram.
objective_riot_armoury_deploy_description       Um bewaffnete Wachen einzusetzen, öffnen Sie unter "Einsatz" "Bewaffnete Patrouillen". Klicken und ziehen Sie, um Patrouillen dort zuzuweisen, wo Sie sie haben wollen und klicken Sie dann erneut die Patrouillen an, um ihnen bewaffnete Wachen zuzuteilen.
objective_riot_armoury_guardtazers_description  Öffnen Sie "Berichte"/"Programme" - dort sehen Sie "Taserausbildung für Wachen".\n\nIhre Wachen benötigen etwas Training, bevor sie Taser einsetzen können. Dafür müssen Sie einen Unterrichtsraum bauen, in dem das Training durchgeführt werden kann.
objective_riot_prisonerwork_description         Um Häftlingen Arbeit zuzuteilen, gehen zu "Logistik" und dann zu "Gefängnisarbeit". Klicken Sie, um den grün markierten Räumen Arbeiten zuzuteilen.\n\nSie müssen auch noch die Arbeitszeiten angeben. Gehen Sie zu "Berichte"/"Tagesordnung" und fügen Sie mehrere Arbeitsstunden in die Tagesordnung ein. In dieser Zeit werden die Häftlinge arbeiten, wenn Arbeiten verfügbar sind.

objective_Riot_PlayerExitsMap			Klicken Sie das Polaroid vor dem Haupteingang an, wenn Sie fertig sind.


# =============================================================================
# Conviction
# =============================================================================

campaigncutscene_convictionheist        Raubüberfall
campaigncutscene_convictionmorgan       Morgan
campaigncutscene_convictionvisitation   Besuch
campaigncutscene_convictionsuicide      Selbstmord

campaignchapter_conviction              Verurteilung
campaignchapter_conviction_description  Einer unser Häftlinge steht wegen Selbstmordgefahr unter Beobachtung. Henry Morgan, Benedicts Partner. Sein Strafmaß wurde von dreizehn Monaten auf fünf Jahre erhöht. Helfen Sie uns, uns dieser Männer anzunehmen.

adviser_name_benedictarmed              Benedict
adviser_name_morgan                     Henry Morgan
adviser_name_morganarmed				Henry Morgan
adviser_name_morganhappy                Henry Morgan
adviser_name_senator                    Senator Walter Hurst
adviser_name_detective                  Kriminalpolizist
adviser_name_kerry 						Kerry Morgan 
adviser_name_hurst 						Doktor Walter Hurst 
adviser_name_keane 						Officer Keane 

adviser_conviction_heist1               Nimm dir das Geld, Idiot.
adviser_conviction_heist2               Sofort die Waffen fallen lassen!
adviser_conviction_heist2b				Oh, Scheiße!
adviser_conviction_heist3               Schieß, verdammt noch mal!
adviser_conviction_heist4               Worauf zur Hölle wartest du? Schieß, du verdammter Feigling!
adviser_conviction_heist6               Hundesöhne!
adviser_conviction_heist7               Nicht schießen! Nicht schießen!
adviser_conviction_heist8               HÄNDE HOCH, IHR ARSCHLÖCHER!
adviser_conviction_heist9               Tut genau das, was ich sage, verstanden?
adviser_conviction_heist10              Scheiße, Scheiße, Scheiße!
adviser_conviction_heist11              Nicht schießen! NICHT SCHIESSEN!

conviction_intro_1                      Nach der kürzlichen Tragödie im Alchemico Staatsgefängnis stehen wir unter enormem politischen Druck.
conviction_intro_2                      Bis wir einen dauerhaften Ersatz für den Geschäftsführerposten gefunden haben, möchte ich, dass Sie die Zügel in die Hand nehmen.
conviction_intro_3                      In letzter Zeit gab es hier mehrere Selbstmorde und man sieht sofort, woran das liegt. Aber wir haben gerade dringendere Probleme.
conviction_intro_4                      Uns wurden von Behördenseite viele neue Häftlinge zugewiesen. Die ersten treffen bereits morgen ein und wir haben nicht genügend Unterkünfte.
conviction_intro_5                      Sie müssen einen brandneuen Zellenblock bauen, der groß genug ist, um die Neueingelieferten unterzubringen.
conviction_intro_5b 					Ich habe hier einen Entwurf fürt den neuen Zellenblock abgelegt. Der dürfte genug neuen Zellen für die Anlieferung haben und ich habe sogar einen eigenen Duschtrakt eingeplant.
conviction_intro_5c 					Aber Sie haben die Wahl, ob Sie diesen Entwurf annehmen möchten.
conviction_intro_6                      Meine Aufgabe ist, das Wohlergehen dieser Männer an oberste Stelle zu setzen. Bauen Sie den neuen Zellenblock, danach können wir darüber reden, wie wir Ersteres erreichen.

unused_conviction_intro_4                      Einer unser Häftlinge steht wegen Selbstmordgefahr unter Beobachtung. Henry Morgan, Benedicts Partner. Sein Strafmaß wurde von dreizehn Monaten auf fünf Jahre erhöht.
unused_conviction_intro_7						Ich will mit ihm reden. Wir können uns keinen weiteren Selbstmord erlauben.

conviction_workintro1                   Wir haben diese Männer zu lange wie Dreck behandelt. Das hat nun ein Ende.
conviction_workintro2                   Der vorherige Geschäftsführer war nie ein großer Anhänger von Gefängnisreformen. Aber wie ich das sehe, müssen wir diesen Männern Hoffnung auf eine bessere Zukunft geben.
conviction_workintro3                   Wir müssen ihnen alles beibringen, was sie nach ihrer Freilassung brauchen - eine Berufsausbildung, Allgemeinbildung.
conviction_workintro4                   Wir sollten einen Plan zur Berufsausbildung erstellen. Bringen Sie diesen Männern etwas bei, damit sie sich auf etwas freuen können.


conviction_hurst1 						Der Mangel an Engagement in dieser Strafanstalt ist schockierend. Die Männer sind jeden Funkens Menschlichkeit beraubt.
conviction_hurst2 						Ihnen wird kaum Mitgefühl oder Respekt entgegengebracht. Sie können nicht erwarten, dass sie anders als mit äußerster Feindseligkeit reagieren.
conviction_hurst3 						Das verdienen diese Männer nicht. 
conviction_hurst4 						Sie haben recht, Captain. So darf man Menschen nicht behandeln. Ihnen fehlt jeglicher Funken Menschlichkeit.
conviction_hurst4b 						Wieso sollten sie sich an unsere Regeln halten? Sie können von denen nur Feindseligkeiten erwarten.
conviction_hurst4c						Wir müssen diesen Männern helfen. Wir brauchen Unterrichtsräume, Drogenentzugsprogramme. Eine Werkstatt, damit sie Stolz auf ihre Fähigkeiten entwickeln können.
conviction_hurst6 						Sie missverstehen mich, Doktor. Diese Männer sind keine Menschen. Sehen Sie selbst.
conviction_hurst6b 						Häftling Morgan! Aufwachen!
conviction_hurst7 						Auf die Beine, Morgan. Du hast Besuch.
conviction_hurst8 						Rehabilitation? Da können wir doch gleich versuchen, Affen das Banjospielen beizubringen.

conviction_hurst10 						Wie heißt du, mein Sohn?
conviction_hurst10b                     Der Herr hat dich etwas gefragt.
conviction_hurst11 						Henry, Sir.
conviction_hurst12 						Muss kalt sein da unten, Henry.
conviction_hurst13 						Läuse im Bett, Sir. Fressen mich bei lebendigem Leibe auf. Das Hemd hält die Ratten fern. Die größten, die ich je gesehen habe.
conviction_hurst14 						Du kannst mich Walter nennen.
conviction_hurst15 						Wie schläfst du?
conviction_hurst16 						Ich schlafe nicht. Das einzige, was ich hier tue, ist nachdenken. Jede Menge Zeit zum Nachdenken.
conviction_hurst16b                     Und worüber denkst du nach?
conviction_hurst16c                     Meistens über den Tod. Und meine kleine Tochter.
conviction_hurst17 						Du musst stark sein für sie, Henry. Das ist auch für sie schwer.
conviction_hurst18 						Bin hinter Gittern, seitdem sie auf der Welt ist. Sie weiß nicht mal, dass es mich gibt.
conviction_hurst19 						Es ist nie zu spät, sein Leben zu ändern, Henry. 
conviction_hurst19b 					Ich würde gerne wiederkommen, wenn ich darf.
conviction_hurst20 						Ja, Sir. Danke, Sir.
conviction_hurst21 						Können wir etwas gegen diese Ratten unternehmen? Wir sind hier schließlich nicht in der Dritten Welt.
conviction_hurst22 						Ich werde etwas Rattengift verteilen.

conviction_visitationintro_1            Ich habe es geschafft, den Sicherheitschef dazu zu überreden, im Falle von Morgans Familienbesuch ein Ausnahme zu machen.

conviction_visitation_0					Guten Tag, Sir. Kerry Morgan, ich bin hier, um Henry Morgan zu besuchen.
conviction_visitation_1					Hinter die Linie.
conviction_visitation_2 				Tut mir leid. Ich möchte Henry besuchen. Henry Morgan. Er ist mein Mann, Sir.
conviction_visitation_3 				Zum letzten Mal. Hinter die Linie. Sofort.
conviction_visitation_4 				Ja, Sir. Entschuldung, Sir.
conviction_visitation_5 				Okay. Kommen Sie nach vorne. Ich hab nicht den ganzen Tag Zeit.
conviction_visitation_6					Name.
conviction_visitation_7					Kerry Morgan, Sir. Ich möchte Henry Morgan besuchen. Und das hier ist seine kleine Tochter.
conviction_visitation_8					Zumindest erzählen Sie ihm das, nicht wahr? Sie können durchgehen.
conviction_visitation_8a                Kerry!
conviction_visitation_9					Tut mir leid, da gab es einen Fehler. Morgan hat sein Besuchsrecht eingebüßt.
conviction_visitation_9b 				Was? 
conviction_visitation_9c 				Tut mir leid. Wir haben heute Morgen Schnaps in seiner Zelle gefunden. Da kann ich nichts machen.
conviction_visitation_10				Ich bin zwei Stunden hierher gefahren. Meine Tochter weint. Das ist nicht fair.
conviction_visitation_11				Wenn Sie Fairness wollen, fahren Sie nach Disneyland. Fair ist, wenn Sie Goldfische gewinnen und Hotdogs essen können. Das gibt es hier nicht.
conviction_visitation_12				Bitte geben Sie ihm das hier.
conviction_visitation_13                Mach ich. Er wird eine ganze Weile keine Besucher empfangen. Soll ich ihm irgendwas ausrichten?
conviction_visitation_14                Nein. Ich habe nichts auszurichten.

conviction_visitation_angrymorgan0		Nein!
conviction_visitation_angrymorgan1		Halt!
conviction_visitation_angrymorgan2		Das könnt ihr nicht machen!
conviction_visitation_angrymorgan3		Lasst mich mit ihr sprechen!
conviction_visitation_angrymorgan4		Ihr verdammten Bastarde!

conviction_helpinmates_1                Das ist sehr enttäuschend.
conviction_helpinmates_2                Es ist so schwer, Möglichkeiten zu finden, um diesen Männern wirklich zu helfen. Sie müssen etwas beigebracht bekommen, damit sie sich selbst helfen zu können.
conviction_helpinmates_3                Ich glaube, es ist eindeutig, das unser Besuchertrakt überarbeitet werden muss. Die Familien stehen bis vor die Tür Schlange und wir haben einfach nicht genug Platz, um mit diesem Andrang fertigzuwerden.
conviction_helpinmates_4                Bauen Sie einen brandneuen Besuchertrakt. Unabhängig von dem, was Morgen widerfahren ist, wird das sicher einen positiven Effekt haben. Und außerdem ist er nicht unser einziger Insasse mit Familie.
conviction_helpinmates_5                Ich habe etwas recherchiert und habe zu meinem Erstaunen herausgefunden, dass viele dieser Insassen nur die Grundlagen des Rechnens und des Schreibens beherrschen. Das müssen wir ändern.
conviction_helpinmates_6                Eröffnen Sie einen neuen Unterrichtstrakt mit Klassenräumen und stellen Sie externe Lehrer ein. Ohne Bildung bleibt diesen Häftlingen nur die kriminelle Laufbahn übrig.
conviction_helpinmates_7                Und wir müssen immer genug Platz für neuankommende Haftlinge zur Verfügung stellen. Bauen Sie unsere Kapazitäten weiter aus, damit jeder Häftling eine anständige Zelle erhält.

conviction_outro1                       Ich denke, wir haben hier viel erreicht. Wir haben den Häftlingen etwas gegeben, auf das sie hinarbeiten können und das sie antreibt, so weiterzumachen.
conviction_outro2                       Sie können hier bleiben und uns dabei helfen, die ersten Häftlinge durch die Bildungs- und Arbeitsprogramme zu schleusen, wenn Sie möchten.
conviction_outro3                       Ich glaube, ab sofort kommen wir alleine klar. Wenn Sie gehen möchten, klicken Sie das Polaroid in Morgans Zelle an.

conviction_secondvisit_1                Ich hatte gehofft, Sie bei einer meiner Sitzungen zu sehen.
conviction_secondvisit_2                Ich schaffe das nicht. Ich halte es in diesem Loch nicht mehr aus.
conviction_secondvisit_3                Nimm dir immer einen Tag nach dem anderen vor.
conviction_secondvisit_4                Ich meine, überall hier stinkt es. Drinnen. Draußen. Ich darf meine Familie nicht sehen. Ich hab's vermasselt, Sir, und daran lässt sich nichts mehr ändern.
conviction_secondvisit_5                Henry, alles wird gut. Ich bin bei dir.
conviction_secondvisit_6                Komisch. Er hat genau dasselbe gesagt.
conviction_secondvisit_7                Wer, Henry? Du kannst es mir ruhig sagen.
conviction_secondvisit_8                Er hat immer auf mich aufgepasst.
conviction_secondvisit_9                Schon als wir noch Kinder waren.
conviction_secondvisit_10               Reiß dich zusammen. Egal was passiert, Kleiner.
conviction_secondvisit_11               Ich bin bei dir.
conviction_secondvisit_11b 				Bei mir?
conviction_secondvisit_12               Er ist nicht mehr da.
conviction_secondvisit_13               Lass uns etwas abmachen. Du kommst zu meiner nächsten Gruppe und ich versuche, deine Besuchsprivilegien zu verbessern.
conviction_secondvisit_14               Das würden Sie für mich tun, Sir?
conviction_secondvisit_15               Nicht nur für dich, Henry.

conviction_suicide_1 					Entschuldigung, Sir. Dachte, Sie sollten davon erfahren. Es gab wieder einen Selbstmord. 
conviction_suicide_2					Sieht aus, als hätte einer der Häftlinge Rattengift gegessen.
conviction_suicide_3					Doktor Hurst ist bereits unterwegs, um das zu bestätigen.
conviction_suicide_4					Ist sie nicht das Schönste, was du je gesehen hast?
conviction_suicide_5					Könnte durchaus sein.
conviction_suicide_6					Es ist nie zu spät, sein Leben zu ändern, Sir.

objective_conviction_expandcapacity50			Bewältigen Sie die neue Einlieferung von Häftlingen!
objective_conviction_expandcapacity50_description	Wenn Sie den Modus "Planung" von der Hauptwerkzeugleiste aus aufrufen, wird Ihnen ein möglicher Grundriss des neuen Zellenblocks angezeigt.
objective_conviction_expandcapacity_cells	 	Schaffen Sie Zellen für 40 Häftlinge!
objective_conviction_expandcapacity_shower		Schaffen Sie einen Duschtrakt!
objective_conviction_expandcapacity_yard		Schaffen Sie einen Hof!
objective_conviction_expandcapacity_intake		Warten Sie auf die Ankunft der nächsten Einlieferung!

objective_conviction_workprogram 				Führen Sie ein Berufsausbildungsprogramm durch!
objective_conviction_unlocklabour				Genehmigen Sie "Gefängnisarbeit" über die Bürokratie!
objective_conviction_work_trainkitchen			(OPTIONAL) Bilden Sie 5 Häftlinge in Sicherheit und Hygiene in der Küche aus!
objective_conviction_work_kitchen				Weisen Sie Häftlinge der Arbeit in der Küche zu!
objective_conviction_work_workshop				Bauen Sie eine Werkstatt!
objective_conviction_work_trainworkshop			(OPTIONAL) Lassen Sie 10 Häftlinge eine Einführung in Werkstattsicherheit abschließen!
objective_conviction_work_assignworkshop		Weisen Sie Häftlinge der Arbeit in der Werkstatt zu.
