
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nowa gra
codex_timelapse_savesettings			Zapisz ustawienia

codex_timelapse_cam_zoom                Przybliżanie kamery
codex_timelapse_cam_fitmap              Dopasuj do mapy
codex_timelapse_cam_fitheight           Dopasuj do wysokości mapy
codex_timelapse_cam_fitwidth            Dopasuj do szerokości mapy
codex_timelapse_fps_value               *X klatek na sekundę
codex_timelapse_quality_high            Wys.
codex_timelapse_quality_med             Średnia
codex_timelapse_quality_low             Niska
codex_timelapse_interval_value          *X minut czasu gry

codex_performance_running				Test wydajności w toku
codex_performance_time					Pozostało czasu: *T s
codex_performance_current				Bieżący czas: *T ms
codex_performance_min					Minimalny czas: *T ms
codex_performance_avg					Średni czas: *T ms
codex_performance_max					Maksymalny czas: *T ms
codex_performance_numframes				Liczba klatek: *T

codex_last_modified						Ostatnio zmodyfikowano: *T
codex_sortbydesc						Sortuj według daty
codex_sortname							Imię
codex_sortdate							Data
codex_apply								Zastosuj
codex_select                            Wybierz

codex_mods								Modyfikacje
codex_mod_activetitle					Aktywuj modyfikacje
codex_mod_inactivetitle					Dostępne modyfikacje
codex_mod_deactivate					Dezaktywuj wszystkie modyfikacje
codex_mod_wiki							Znajdź więcej modyfikacji (Wiki)
codex_mod_openmodsfolder				Otwórz folder z modyfikacjami
codex_mod_moresteammods					Znajdź więcej modyfikacji (Steam Workshop)
codex_mod_findsteamtranslations         Znajdź więcej tłumaczeń (Steam Workshop)
codex_authortitle                       Autor
codex_versiontitle                      Wersja
codex_datetitle                         Data
codex_urltitle                          Adres URL
codex_typetitle							Typ
codex_mod_graphicsandsound				Grafika i dźwięki
codex_mod_translation					Tłumaczenie
codex_mod_scenario						Scenariusz
codex_mod_content						Zawartość
codex_mod_load_scenario					Uruchom scenariusz
codex_publishmod						Opublikuj tę modyfikację

codex_mod_update						Aktualizuj tę modyfikację
codex_mod_published_good				Opublikowano modyfikację
codex_mod_published_good_msg			Twoja modyfikacja została opublikowana.
codex_mod_published_bad					Nie można opublikować modyfikacji
codex_mod_published_bad_msg				Nie można opublikować twojej modyfikacji.
codex_mod_modsupdated					Modyfikacja zaktualizowana
codex_mod_modsupdated_msg				Niektóre aktywne modyfikacje zostały aktualizowane. Kliknij przycisk OK, aby zapisać zmiany. Gra zostanie automatycznie zapisana.
codex_mod_translationcaption            Czy to jest tłumaczenie na inny język?

codex_language                          Język
codex_language_englishdefault           Angielski (domyślny)
codex_language_default                  Domyślny język
codex_language_download                 Pobierz
codex_language_failed_download          Nie można pobrać tłumaczenia
codex_language_failed_download_msg      Nie można pobrać wybranego tłumaczenia.
codex_language_searching_workshop       Przeszukuje Steam Workshop...
codex_language_community                To tłumaczenie jest tworzone i aktualizowane przez społeczność – dziękujemy!

codex_save_confirm                      Czy na pewno chcesz nadpisać więzienie *X bieżącym więzieniem?
codex_researtchapter_confirm            Czy na pewno chcesz uruchomić ponownie bieżący rozdział? Niezapisane postępy zostaną utracone.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message					Czy chcesz zachować te ustawienia graficzne? Zmiany zostaną cofnięte w ciągu
graphicschange_time						sekund.
graphicschange_accept					Zgadzam się
graphicschange_revert					Cofnij

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title                    Narzędzie do debugowania skryptu (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title                   Wykryto rozbieżność modyfikacji
modnotification_info                    Te modyfikacje były używane, gdy zapisano bieżące więzienie. Zalecamy pobranie i aktywowanie ich przed przystąpieniem do gry.
modnotification_playnow                 Graj teraz
modnotification_active                  Aktywna
modnotification_inactive                Nieaktywna
modnotification_new                     Nowa
modnotification_unknown                 Nieznana
modnotification_popup_title             Rozbieżność modyfikacji
modnotification_popup_active            Ta modyfikacja jest aktywna. Kliknij, aby dezaktywować ją.
modnotification_popup_inactive          Ta modyfikacja jest nieaktywna. Kliknij, aby aktywować ją.
modnotification_popup_new_url           To jest nowa modyfikacja. Kliknij, aby otworzyć link do niej w przeglądarce internetowej.
modnotification_popup_new_steam         To jest nowa modyfikacja Steam. Kliknij, aby subskrybować i pobrać modyfikację.
modnotification_popup_unknown           Nie mogliśmy ustalić źródła modyfikacji. Znajdź i zainstaluj modyfikację ręcznie.

# =============================================================================
# Biography
# =============================================================================

biography_search                        Zatrzymaj i przeszukaj
biography_selected                      WYBRANO
biography_prisoner_name                 *S, *F
biography_prisoner_number               Więzień nr *X
biography_prisoner_age                  Wiek: *X
biography_prisoner_traits               Cechy:
biography_prisoner_convicted            Skazany za: *C (przyznał się do winy: *P)
biography_prisoner_sentenced            Skazany na: *X lat więzienia
biography_parole_now                    Prawo do zwolnienia warunkowego: teraz
biography_parole_later                  Prawo do zwolnienia warunkowego: po *X latach
biography_prisoner_served               Odbył: * lat
biography_prisoner_priors               Historia: 


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age							Wiek:
rapsheet_category						Kategoria:
rapsheet_traits							Znane cechy:
rapsheet_conviction_text				*C–*Y lat
rapsheet_found_text						(przyznał się do winy: *P)
rapsheet_convictions					Skazania
rapsheet_misconductstitle				Ostatnie wykroczenie
rapsheet_biography                      Biografia
rapsheet_guilty							tak
rapsheet_notguilty						nie
rapsheet_served							Odbyte lata
rapsheet_served_time					Odbył: *Y lat
rapsheet_time							*Y lat
rapsheet_bio							Skazany na *Y lat za *Y.
rapsheet_bio_med						Skazany na *Y lat za wielokrotne przestępstwa, w tym *A i *B.
rapsheet_bio_long						Skazany na *Y lat za wielokrotne przestępstwa, w tym *A, *B i *C.
rapsheet_category_minsec				Minimalny rygor
rapsheet_category_normal				Zwykły rygor
rapsheet_category_maxsec				Zaostrzony rygor
rapsheet_category_protected             Ochrona
rapsheet_category_supermax              Najwyższy rygor
rapsheet_category_deathrow              Wyrok śmierci
rapsheet_tab_biography                  Biografia
rapsheet_tab_experience                 Doświadczenie
rapsheet_tab_grading                    Klasyfikacja
rapsheet_tab_character                  Postać
rapsheet_punish                         Ukarz
rapsheet_recruit                        Rekrutuj informatora

rapsheet_timeinside                     *X dni w twoim więzieniu
rapsheet_timeinside_hours               *X godzin w twoim więzieniu
rapsheet_mood                           Humor
rapsheet_activity                       Aktywność
rapsheet_condition                      Stan
rapsheet_program                        Program
rapsheet_passchance                     Szansa powodzenia
rapsheet_reformhistory                  Programy resocjalizacyjne

rapsheet_reform_success                 Powodzenie
rapsheet_reform_successcount            Ukończono *X razy
rapsheet_reform_failed                  Niepowodzenie
rapsheet_reform_failcount               *X niepowodzeń

rapsheet_grading_punishment             Kara
rapsheet_grading_health                 Zdrowie
rapsheet_grading_security               Bezpieczeństwo
rapsheet_grading_reform                 Resocjalizacja
rapsheet_grading_points                 *X punktów: 
rapsheet_grading_penalties              *X kar: 

rapsheet_scheduleexecution              Zleć egzekucję


punish_lockdown_6                       Zamknięcie (6 h)
punish_lockdown_12                      Zamknięcie (12 h)
punish_lockdown_24                      Zamknięcie (24 h)
punish_solitary_6                       Izolatka (6 h)
punish_solitary_12                      Izolatka (12 h)
punish_solitary_24                      Izolatka (24 h)
punish_solitary_perm                    Izolatka (na stałe)
punish_lockdown_perm                    Zamknięcie (na stałe)
punish_solitary                         Izolatka
punish_lockdown                         Zamknięcie
punish_none                             Brak
punish_timer                            *X h *Y min
punish_timer_minutes                    *X min
punish_active                           AKTYWNA
punish_permanent                        (na stałe)
punish_end                              Zakończ karę

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none                  Brak
misconduct_reporttype_complaint             Skarga
misconduct_reporttype_destruction           Zniszczenie
misconduct_reporttype_escapeattempt         Próba ucieczki
misconduct_reporttype_injuredprisoner       Atak na więźnia
misconduct_reporttype_injuredstaff          Atak na pracownika
misconduct_reporttype_seriousinjury         Spowodowanie poważnych obrażeń
misconduct_reporttype_murder                Zabójstwo
misconduct_reporttype_contrabandweapons     Posiadanie broni
misconduct_reporttype_contrabandtools       Posiadanie narzędzi
misconduct_reporttype_contrabandnarcotics   Posiadanie narkotyków
misconduct_reporttype_contrabandluxuries    Posiadanie towarów luksusowych
misconduct_reporttype_intoxicated           Zażywanie środków odurzających
misconduct_title                            =[Przewinienia]=

misconduct_report_addiction                 Uzależniony od: *X
misconduct_report_recoving                  Walczy z uzależnieniem od: *X
misconduct_report_alcoholic                 Alkoholik
misconduct_report_recovingalcoholic         Trzeźwiejący alkoholik


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required                       Przygotowanie tego raportu wymaga: *X
research_requireunlock                  Odblokowanie tego raportu wymaga opracowania: „*X”
research_approved                       ZATWIERDZONO
research_cost                           Koszt: *X
research_costperitem                    + *X za sztukę.
research_timetounlock                   Czas wymagany na odblokowanie: *X h
research_movementpenalty                Kara do ruchu: *X%
research_protectionbonus                Ochrona: *X%
research_tap_to_authorise               WCIŚNIJ, ABY ZLECIĆ

research_none                           Brak
research_warden                         Naczelnik
research_maintainance                   Konserwacja
research_security                       Bezpieczeństwo
research_legal                          Prawnik
research_mentalhealth                   Psycholog
research_finance                        Finanse
research_landexpansion                  Rozbudowa terenu
research_cctv                           Monitoring
research_riotguards                     Strażnicy do tłumienia zamieszek
research_health                         Zdrowie
research_cleaning                       Czyszczenie
research_groundskeeping                 Ogrodnictwo
research_clone                          Kopiuj
research_deployment                     Rozmieszczenie
research_patrols                        Patrole
research_dogs                           Psy
research_prisonlabour                   Praca więzienna
research_education                      Kształcenie
research_contraband                     Wywiad
research_policy                         Polityka więzienna
research_armoury                        Zbrojownia
research_bodyarmour                     Kamizelka kuloodporna
research_tazers                         Paralizatory
research_tazersforeveryone              Paralizatory dla wszystkich strażników
research_bankloans                      Kredyt
research_lowertaxes1                    Ulga podatkowa
research_lowertaxes2                    Raj podatkowy
research_remoteaccess                   Zdalny dostęp
research_extragrant                     Dodatkowa dotacja
research_advancedmanagement             Mikrozarządzanie
research_deathrow                       Wyrok śmierci
research_permanentpunishment            Trwałe kary
research_removemincellsize              Małe cele
research_reduceexecutionliability       Ograniczona odpowiedzialność za egzekucje
research_legalprep                      Pomoc prawnicza
research_legaldefense                   Obrona prawnicza

researchtooltip_warden                  Odblokowuje naczelnika więzienia i cały system biurokracji.  Możesz zatrudnić go z poziomu paska narzędzi Personel.\n\nTak jak wszyscy pracownicy administracji, naczelnik wymaga biura do pracy.  
researchtooltip_security                Odblokowuje szefa ochrony, którego można zatrudnić z poziomu paska narzędzi Personel.  Szef ochrony odblokowuje ekran Rozmieszczenie, a także dostarcza aktualne raporty dotyczące zagrożeń w więzieniu.\n\nTak jak wszyscy pracownicy administracji, szef ochrony wymaga biura do pracy.  
researchtooltip_maintenance             Odblokowuje brygadzistę.  Możesz zatrudnić go z poziomu paska narzędzi Personel.\n\nTak jak wszyscy pracownicy administracji, brygadzista wymaga biura do pracy.  
researchtooltip_legal                   Odblokowuje prawnika, którego można zatrudnić z poziomu paska narzędzi Personel. Odblokowuje szereg opcji badań, które zwiększą twoją kontrolę nad więzieniem.\n\nTak jak wszyscy pracownicy administracji, prawnik wymaga biura do pracy.  
researchtooltip_deployment              Pozwala na stałe przydzielić strażników do określonych sektorów więzienia.
researchtooltip_patrols                 Pozwala wyznaczyć patrole w kluczowych obszarach więzienia (np. wzdłuż jego granic) i przydzielić do nich strażników.
researchtooltip_dogs                    Odblokowuje przewodnika psa i psa stróżującego.  Dzięki swojemu węchowi psy z łatwością wykrywają wonną kontrabandę na terenie więzienia, a także wykopane przez więźniów tunele.\n\nTe zwierzęta są również niezwykle szybkie i potrafią bez problemu dogonić uciekającego więźnia. 
researchtooltip_cctv                    Odblokowuje kamery i monitory.  Urządzenia te pozwalają obserwować niestrzeżone obszary więzienia.\n\nOdblokowuje również system podsłuchiwania, który pozwala podsłuchiwać rozmowy telefoniczne więźniów i zbierać ważne informacje.
researchtooltip_remoteaccess            Odblokowuje zaawansowane urządzenia umożliwiające zdalne sterowanie drzwiami oraz ich automatyzację. Drzwi mogą być otwierane zdalnie za pomocą systemu sterowania drzwiami (obsługiwanego przez strażnika) lub o określonych porach przy zastosowaniu włącznika czasowego.
researchtooltip_riotguards              (OBECNIE NIE SŁUŻY DO NICZEGO)\nOdblokowuje strażnika do tłumienia zamieszek.  Ci uzbrojeni po zęby jegomoście lepiej radzą sobie z agresywnymi więźniami.
researchtooltip_maintainance            Odblokowuje brygadzistę.  Pozwala on opracować technologie takie jak praca więzienna lub odblokować dodatkowych pracowników, np. ogrodnika.\n\nPodobnie jak wszyscy pracownicy administracji, brygadzista wymaga biura do pracy.  
researchtooltip_clone                   Odblokowuje narzędzie kopiowania na głównym pasku narzędzi.  Narzędzie to pozwala szybko powielać fragmenty więzienia, np. cele.  Aby go użyć, zaznacz obszar, który chcesz skopiować, przytrzymując prawy przycisk myszy i przeciągając. Następnie kliknij lewym przyciskiem, aby utworzyć kopię.
researchtooltip_groundskeeping          Odblokowuje ogrodnika.  Ogrodnik utrzyma tereny zielone w dobrym stanie.
researchtooltip_cleaning                Odblokowuje woźnego.  Woźny będzie czyścił wnętrza więzienia. Może także pomóc w pralni.
researchtooltip_health                  Odblokowuje lekarza, ambulatorium i kostnicę.  Ranni więźniowie i pracownicy będą przenoszeni do ambulatorium, gdzie opatrzą ich lekarze.
researchtooltip_MentalHealth            Odblokowuje psychologa, który dostarcza wartościowych informacji na temat stanu psychicznego więźniów.\n\nTak jak wszyscy pracownicy administracji, psycholog wymaga biura do pracy.  
researchtooltip_finance                 Odblokowuje księgowego, który dostarcza raportów finansowych na temat więzienia.\n\nUmożliwia także dzienne wydatki wykraczające poza dochody, pod warunkiem posiadania wystarczających rezerw.\n\nTak jak wszyscy pracownicy administracji, księgowy wymaga biura do pracy.  
researchtooltip_landexpansion           Pozwala kupować sąsiednie działki i rozbudowywać więzienie.
researchtooltip_prisonlabour            Pozwala przydzielić więźniom pracę na terenie placówki (gotowanie, sprzątanie itp.). Dzięki temu zaoszczędzisz na wynagrodzeniu dla personelu, zarobisz pieniądze, a zarazem nauczysz więźniów fachu.\n\nOdblokowuje również warsztat i pralnię.
researchtooltip_education               Odblokowuje programy resocjalizacyjne dla więźniów prowadzone przez zewnętrznych szkoleniowców. 
researchtooltip_contraband              Szkolenie dla strażników doskonalące ich umiejętności szukania i konfiskowania kontrabandy. Odblokowuje raport Popyt i podaż i nakładkę Kontrabanda (pokazującą wszystkie miejsca podatne na kradzież) oraz pozwala sprawdzić, w jakim miejscu skonfiskowana kontrabanda została przemycona lub ukradziona.\n\nPozwala werbować informatorów wśród więźniów.\n\nOdblokowuje widok z informacjami na temat gangów.
researchtooltip_policy                  Odblokowuje Raport dot. polityki, umożliwiając zaostrzanie i łagodzenie kar za wszystkie rodzaje przewinień i automatycznie wszczynając przeszukanie nieposłusznego więźnia oraz jego celi.\n\nPozwala także zarządzać polityką dot. żywności poprzez zmianę liczby i różnorodności posiłków serwowanych więźniom. 
researchtooltip_armoury                 Odblokowuje zbrojownię i pozwala rozmieszczać uzbrojonych strażników na terenie więzienia.
researchtooltip_bodyarmour              Wyposaża wszystkich strażników, uzbrojonych strażników i przewodników psów w kamizelki kuloodporne. Kamizelka kuloodporna pomaga uniknąć obrażeń w walce, ale za to spowalnia ruch.\n\nStrażnicy muszą odwiedzić zbrojownię, aby otrzymać ten element wyposażenia, a każda kamizelka zakupiona w ten sposób będzie kosztować więzienie.
researchtooltip_tazers                  Pozwala uzbrojonym strażnikom nosić paralizator: potężną broń jednorazowego użytku, która natychmiastowo obezwładnia większość osób. Po jednorazowym użyciu paralizator potrzebuje godziny, aby się naładować.\n\nUzbrojeni strażnicy muszą odwiedzić zbrojownię, aby otrzymać ten element wyposażenia, a każdy paralizator zakupiony w ten sposób będzie kosztować więzienie.
researchtooltip_tazersforeveryone       Pozwala nosić paralizatory również zwykłym strażnikom.\n\nStrażnicy muszą odwiedzić zbrojownię, aby zdobyć ten element wyposażenia, a każdy paralizator zakupiony w ten sposób będzie kosztować więzienie.
researchtooltip_bankloans               Pozwala zaciągać znaczne pożyczki w banku w zamian za płatne codziennie odsetki. Spłacanie pożyczek zwiększy twoją wiarygodność kredytową i pozwoli zaciągać większe pożyczki w przyszłości.
researchtooltip_lowertaxes1             Korzystając z ulg podatkowych, możesz obniżyć podatek dochodowy do 15%.\n\nZaoszczędzisz $1500 na każde $10 000 dziennych dochodów..
researchtooltip_lowertaxes2             Twój księgowy maksymalnie nagina zasady i przenosi wszystkie firmowe konta i operacje do innego kraju o znacznie korzystniejszych opłatach podatkowych. Twój efektywny podatek dochodowy spadnie do poziomu około 1%.\n\nZaoszczędzisz łącznie $3000 na każde $10 000 dziennych dochodów.
researchtooltip_extragrant              Pozwala korzystać z trzech dotacji jednocześnie zamiast dwóch.
researchtooltip_advancedmanagement      Dostarcza narzędzi do mikrozarządzania więzieniem.\n\nOdblokowuje logistykę żywności, umożliwiając powiązanie kuchni z określonymi stołówkami i określenie, w której stołówce mają jeść więźniowie. Analogicznie logistyka prania pozwala określić bloki więzienne, za które odpowiada dana pralnia.\n\nOdblokowuje także Harmonogram rozmieszczania, który pozwala modyfikować rozmieszczenie strażników o poszczególnych porach dnia.\n\nOdblokowuje Harmonogram programów resocjalizacyjnych, dzięki któremu możesz ręcznie określić dzienny harmonogram programów.
researchtooltip_permanentpunishment     Czasami sam pobyt w więzieniu nie wystarczy. Twój prawnik może przedłożyć dokumentację niezbędną, aby na stałe zamykać więźniów w celach. 
researchtooltip_removemincellsize       Cele w twoim więzieniu muszą spełnić określone wymogi prawne dotyczące ilości przestrzeni. Pomyśl tylko, ile celi zmieścisz, jeśli zniesiesz te przepisy! Znosi wymóg dotyczący minimalnej przestrzeni w standardowych celach.
researchtooltip_reduceexecutionliability Twój prawnik może obniżyć moc wyroku wymaganą do rozpoczęcia przygotowań do egzekucji. W praktyce obniża to liczbę odwołań, do jakich więzień ma prawo, zanim będzie można bezkarnie zlecić jego egzekucję.
researchtooltip_legalprep               Każde więzienie wpada czasami w tarapaty, a niektóre z nich niosą za sobą poważne konsekwencje prawne. Twój prawnik może złożyć dokumentację, która zwolni cię z odpowiedzialności, gdy coś pójdzie nie tak. Czynność tę należy jednak wykonać zawczasu.
researchtooltip_legaldefense            Jesteś w nieciekawej sytuacji. Coś poszło nie tak, a teraz znajdujesz się pod lupą. Jeśli uważasz, że nie poradzisz sobie, twój prawnik może wybawić cię z opresji. Opracowanie tej technologii spowoduje usunięcie wszystkich aktualnych ostrzeżeń, które mogłyby doprowadzić do twojej dymisji.

research_legaldefense_adviser1          Twój prawnik złożył dokumentację, która zwalnia cię z odpowiedzialności za ten bałagan. Oznacza to, że nie mogę cię zwolnić. Przynajmniej nie tym razem.
research_legaldefense_adviser2          Szybko przywróć wiezienie do ładu i zadbaj, aby to się nie powtórzyło. Ta sztuczka nie zadziała ponownie.

research_missingadministrator           WYMAGANE:



# =============================================================================
# Room Requirements
# =============================================================================

roomrequirement_required                WYMAGANE:
roomrequirement_recommended             Zalecane: 
roomrequirement_minimumsize             Minimalny rozmiar *W x *H
roomrequirement_minimumsize_short	Rozmiar *W x *H
roomrequirement_indoor                  Wewnątrz
roomrequirement_outdoor                 Na zewnątrz
roomrequirement_solidground             Solidny grunt
roomrequirement_secure                  Bezpieczne (za przynajmniej jednymi drzwiami)
roomrequirement_secure_short		Bezpieczne
roomrequirement_enclosed                Zamknięte (otoczone ścianami i drzwiami)
roomrequirement_enclosed_short		Zamknięte
requirement_entrance                    Wymaga wejścia
roomrequirement_title                   =[Wymagania pomieszczenia]=
roomrequirement_passed                  [SPEŁNIONE] 
roomrequirement_failed                  [NIESPEŁNIONE] 
roomrequirement_adjacentobject          Przylega do pomieszczenia: 

# =============================================================================
# Unlocks
# =============================================================================

unlock_title                            ODBLOKOWANO

unlock_special_electricity              Instalacje elektryczne
unlock_special_food                     Przygotowywanie posiłków
unlock_special_officersafety            Bezpieczeństwo pracowników
unlock_special_misbehavior              Złe zachowanie
unlock_special_accounting               Księgowość
unlock_special_gangs                    Gangi

unlock_electricity_caption              Umożliwia budowę stacji elektrycznej i kładzenie przewodów elektrycznych dostarczających prąd do wszystkich urządzeń.


# =============================================================================
# Advisers
# =============================================================================

click_to_continue                       Kliknij, aby kontynuować...
incoming_call                           Połączenie przychodzące...

adviser_name_unknown                    Nieznana
adviser_name_ceo                        Prezes
adviser_name_warden                     Naczelnik
adviser_name_governer                   Gubernator
adviser_name_chief                      Dyrektor
adviser_name_doctor                     Lekarz
adviser_name_kingpin                    KingPin
adviser_name_edwardshooter              Edward
adviser_name_edwardsinner               Edward
adviser_name_edwardinmate               Edward
adviser_name_edwardswife                Susan, żona Edwarda
adviser_name_priest                     Ksiądz
adviser_name_newsreader                 Wiadomośći CNDC
adviser_name_mayor 						Burmistrz Calvin Heller


# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff                            Personel
report_prisoners                        Więźniowie
report_jobs                             Zadania
report_needs                            Potrzeby
report_threats                          Zagrożenia
report_regime                           Harmonogram
report_policy                           Polityka
report_grants                           Dotacje
report_finance                          Finanse
report_valuation                        Wycena
report_contraband                       Kontrabanda
report_programs                         Programy
report_schedule                         Harmonogram
report_intake                           Transport

report_grants_bankloan                  Kredyt
report_grants_bankloan_text             Możesz zaciągać duże pożyczki w banku. W zamian za tę usługę bank będzie codziennie pobierał odsetki, które należy spłacać z przepływów pieniężnych.\n\nW miarę regularnego spłacania twoja wiarygodność kredytowa będzie rosnąć, a wraz z nią maksymalna wysokość pożyczki, którą możesz zaciągnąć. Jeśli jednak spóźnisz się z płatnością, twoja wiarygodność kredytowa drastycznie spadnie, a bank odmówi udzielenia kolejnej pożyczki, gdy będziesz jej potrzebować.\n\nUwaga: Pożyczki nie można spłacić poprzez same odsetki.  
report_grants_max1                      Możesz otrzymywać tylko jedną dotację naraz.\nSkorzystaj z usług księgowego, aby podnieść ten próg.
report_grants_max2                      Możesz otrzymywać maksymalnie dwie dotacje naraz.\nSkorzystaj z usług księgowego, aby podnieść ten próg.
report_grants_max3                      Możesz otrzymywać maksymalnie trzy dotacje naraz.
report_grants_bankloan_amount           Bieżąca pożyczka bankowa: *X
report_grants_bankloan_interest         Odsetki: *X dziennie
report_grants_bankloan_max              Maksymalna pożyczka: *X
report_grants_creditrating              Twoja wiarygodność kredytowa: *X
report_grants_inprogress_tt             (W TOKU)
report_grants_completed_tt              (UKOŃCZONO)
report_grants_locked_tt                 (ZABLOKOWANO)
report_grants_advancepayment            Zaliczka: *X
report_grants_completionbonus           Premia za ukończenie: *X
report_grants_objectives                [Cele]
report_grants_prereqs                   [Wymagania]
report_grants_completed                 UKOŃCZONO
report_grants_locked                    Zablokowano
report_grants_inprogress                W toku
report_grants_hidden                    (*X więcej ukrytych)
report_grants_taptoaccept               KLIKNIJ, ABY PRZYJĄĆ
report_grants_cancelfee                 Koszt anulowania: *X

report_staff_title                      Liczba pracowników: *X
report_prisoners_title                  Liczba więźniów: *X
report_staff_group_builders             Robotnicy
report_staff_group_guards               Strażnicy
report_staff_group_staff                Personel
report_staff_group_administrators       Administratorzy
report_staff_group_prisoners            Więźniowie
report_staff_group_prisoners_high       Wysokie ryzyko
report_staff_group_prisoners_normal     Normalne ryzyko
report_staff_group_prisoners_low        Niskiego ryzyka
report_staff_group_prisoners_protected  Ochrona
report_staff_group_prisoners_supermax   Najwyższy rygor
report_staff_group_prisoners_deathrow   Wyrok śmierci

report_staff_fire                       ZWOLNIJ

report_intake_title                     Transport
report_intake_catheader_cat             Kategoria
report_intake_catheader_pay             Wynagrodzenie
report_intake_catheader_available       Dostępność
report_intake_catheader_amount          Współczynnik
report_intake_next_header               W kolejnym transporcie: *X
report_intake_cat_minsec                Niskiego ryzyka
report_intake_cat_normal                Średniego ryzyka
report_intake_cat_maxsec                Wysokiego ryzyka
report_intake_cat_deathrow              Wyrok śmierci
report_intake_slider_minsec             Dostosuj współczynnik więźniów niskiego ryzyka w następnym transporcie
report_intake_slider_normal             Dostosuj współczynnik więźniów średniego ryzyka w następnym transporcie
report_intake_slider_maxsec             Dostosuj współczynnik więźniów wysokiego ryzyka w następnym transporcie
report_intake_slider_deathrow           Dostosuj współczynnik więźniów skazanych na śmierć w kolejnym transporcie
report_intake_closed                    ZAMKNIĘTO
report_intake_locked                    ZABLOKOWANO
report_intakemaxperdaydesc              Dzienny napływ
report_intakemaxperdaydesc_tooltip      Liczba więźniów, których chcesz dopuścić w kolejnym transporcie
report_intakemaxperdaydecr              <<
report_intakemaxperdayincr              >>
report_intakemaxperdaynone              Brak
report_intakemaxperdayall               Wszyscy
reports_intakedelivernow                Przywieź teraz
report_intakepayment                    Wynagrodzenie
report_intakeall                        WSZYSCY
report_intake_list_tooltip_title        Kategorie więźniów w transporcie
report_intake_list_tooltip              Lista kategorii więźniów, których możesz dopuścić w następnym transporcie.\n\nRozmiar puli wskazuje łączną liczbę więźniów dostępnych w każdej kategorii. Liczba ta będzie rosnąć z czasem, zależnie od ustawień suwaków.\n\nMożesz dostosować suwaki, aby zmienić współczynnik poszczególnych kategorii więźniów w kolejnym transporcie.
report_intake_list_tooltip_dr           \n\nZanim do twojego więzienia zostaną dopuszczeni więźniowie skazani na śmierć, musisz zbudować dla nich specjalną celę. Z reguły do więzienia przybywa mniej skazanych na śmierć niż zwykłych więźniów, a pula więźniów tej kategorii nie zawsze rośnie. To rzadki gatunek, chciałoby się rzec – na wymarciu.
report_intake_buttons_tooltip_title     Kolejny transport
report_intake_buttons_tooltip           W tej sekcji możesz zwiększać lub zmniejszać liczbę więźniów, którą chcesz przyjąć w kolejnym transporcie.\n\nWybór opcji „Brak” zamknie napływ nowych więźniów, zaś opcja „Wszyscy” spowoduje przyjęcie całej puli dostępnych więźniów.\n\nLiczbę więźniów w poszczególnych kategoriach można dostosować za pomocą powyższych suwaków.
report_intake_overview_tooltip_title    Podsumowanie transportu
report_intake_overview_tooltip          Tutaj możesz zobaczyć podgląd kolejnego transportu więźniów i wynagrodzenie, jakie za niego otrzymasz. Liczbę więźniów w transporcie oraz ich kategorię można zmienić za pomocą suwaków i przycisków powyżej. Wynagrodzenie zależy od liczby więźniów w poszczególnych kategoriach.

valuation_categoryprison                Wartość więzienia
valuation_construction                  Cegły i zaprawa
valuation_objects                       Armatura i wyposażenie
valuation_stock                         Surowce i materiały
valuation_staff                         Personel
valuation_startupgrant                  Dotacja początkowa
valuation_capacity                      Maks. liczba więźniów
valuation_cash                          Środki pieniężne
valuation_debt                          Kredyty
valuation_categoryperformance           Bezpieczeństwo i ochrona
valuation_bonustimewithoutincident      [Premia] Czas bez incydentów
valuation_finedeath                     [Kara] Śmierci w ciągu ostatnich 24 h
valuation_fineescape                    [Kara] Ucieczki w ciągu ostatnich 24 h
valuation_total                         SUMA
valuation_sell                          SPRZEDAJ
valuation_sellprison                    SPRZEDAJ WIĘZIENIE
valuation_sell_tooltip                  Dochody ze sprzedaży więzienia możesz przeznaczyć na budowę nowego, zaczynając ze znacznie większym saldem bankowym.\n\nPo sprzedaży zachowasz kontrolę nad więzieniem. Pamiętaj jednak, że możesz sprzedać je tylko raz. Wszelkie dochody ze sprzedaży możesz przeznaczyć na nową placówkę.
valuation_sold                          To więzienie zostało sprzedane za: *X
valuation_donotown                      Nie możesz sprzedać tego więzienia, ponieważ nie jesteś jego właścicielem.
valuation_sellsome                      Sprzedaj udziały
valuation_buysome                       Kup udziały
valuation_shares                        Pozwala kupować i sprzedawać udziały
