
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nová hra
codex_authortitle                       Autor
codex_versiontitle                      Verze
codex_datetitle                         Datum
codex_urltitle                          URL
codex_typetitle							Typ
codex_mod_graphicsandsound				Grafika a zvuk
codex_mod_translation					Překlad
codex_mod_scenario						Scénář
codex_mod_content						Obsah
codex_mod_load_scenario					Spustit scénář
codex_publishmod						Zveřejnit tuto modifikaci

codex_mod_update						Aktualizovat tuto modifikaci
codex_mod_published_good				Modifikace byla zveřejněna
codex_mod_published_good_msg			Zveřejnění tvé modifikace se podařilo.
codex_mod_published_bad					Zveřejnění modifikace se nezdařilo
codex_mod_published_bad_msg				Zveřejnění tvé modifikace se nezdařilo.
codex_mod_modsupdated					Modifikace byly aktualizovány
codex_mod_modsupdated_msg				Některé modifikace, které používáš, byly aktualizovány. Kliknutím na tlačítko OK tyto změny použiješ. Hra se automaticky uloží.
codex_mod_translationcaption            Jedná se o překlad hry do jiného jazyka?

codex_language                          Jazyk
codex_language_englishdefault           Angličtina (výchozí)
codex_language_default                  Výchozí jazyk
codex_language_download                 Stáhnout
codex_language_failed_download          Stažení překladu se nezdařilo
codex_language_failed_download_msg      Stažení zvoleného překladu se nezdařilo.
codex_language_searching_workshop       Prohledávání sekce Steam Workshop
codex_language_community                Tento překlad vytvořila a spravuje komunita – patří vám náš dík!

codex_save_confirm                      Opravdu se má *X přepsat aktuální věznicí?
codex_researtchapter_confirm            Opravdu chceš spustit aktuální kapitolu od začátku? Přijdeš tím o veškerý neuložený postup hrou.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message					Chceš uložit tato grafická nastavení? Původní nastavení se obnoví za
graphicschange_time						sek.
graphicschange_accept					Přijmout
graphicschange_revert					Zrušit

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title                    Debug skriptů (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title                   Byly nalezeny rozdíly v modifikacích
modnotification_info                    Tyto modifikace byly při ukládání aktuální věznice aktivní. Než si tuto věznici spustíš, důrazně doporučujeme zmíněné modifikace stáhnout a aktivovat.
modnotification_playnow                 Spustit
modnotification_active                  Aktivní
modnotification_inactive                Neaktivní
modnotification_new                     Nová
modnotification_unknown                 Neznámá
modnotification_popup_title             Rozdíl v modifikaci
modnotification_popup_active            Tato modifikace je momentálně aktivní. Kliknutím ji deaktivuješ.
modnotification_popup_inactive          Tato modifikace je momentálně neaktivní. Kliknutím ji aktivuješ.
modnotification_popup_new_url           Tato modifikace je nová. Kliknutím otevřeš její odkaz ve webovém prohlížeči.
modnotification_popup_new_steam         Tato modifikace je nová modifikace ze Steamu. Kliknutím tuto novinku stáhneš a přihlásíš se k jejímu odběru.
modnotification_popup_unknown           Nedokázali jsme zjistit, odkud tato modifikace pochází. Budeš ji muset vyhledat a nainstalovat bez naší pomoci.

# =============================================================================
# Biography
# =============================================================================

biography_search                        Zastavit a prohledat
biography_selected                      ZVOLENO
biography_prisoner_name                 *S, *F
biography_prisoner_number               Vězeň č. *X
biography_prisoner_age                  Věk: *X
biography_prisoner_traits               Vlastnosti:
biography_prisoner_convicted            Zločin: *C (*P)
biography_prisoner_sentenced            Odsouzen k *X letům vězení
biography_parole_now                    Může požádat o podmínečné propuštění
biography_parole_later                  Může požádat o podmínečné propuštění po *X letech
biography_prisoner_served               Let ve vězení: *X
biography_prisoner_priors               Záznamy: 


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age							Věk:
rapsheet_category						Kategorie:
rapsheet_traits							Známé vlastnosti:
rapsheet_conviction_text				*C – *Y let
rapsheet_found_text						(přiznání: *P)
rapsheet_convictions					Obvinění
rapsheet_misconductstitle				Nedávná provinění
rapsheet_biography                      Životopis
rapsheet_guilty							vinu přiznal
rapsheet_notguilty						vinu odmítá
rapsheet_served							Pobyt ve vězení
rapsheet_served_time					Let ve vězení: *Y
rapsheet_time							*Y let
rapsheet_bio							Odsouzen k *Y letům (*A).
rapsheet_bio_med						Odsouzen k *Y letům za různé zločiny jako *A a *B.
rapsheet_bio_long						Odsouzen k *Y letům za různé zločiny jako *A, *B a *C.
rapsheet_category_minsec				Minimální ostraha
rapsheet_category_normal				Střední ostraha
rapsheet_category_maxsec				Maximální ostraha
rapsheet_category_protected             Ochranná vazba
rapsheet_category_supermax              Supermax. ostraha
rapsheet_category_deathrow              Cela smrti
rapsheet_tab_biography                  Životopis
rapsheet_tab_experience                 Pobyt
rapsheet_tab_grading                    Hodnocení
rapsheet_tab_character                  Charakter
rapsheet_punish                         Potrestat
rapsheet_recruit                        Najmout informátora

rapsheet_timeinside                     *X dní ve tvé věznici
rapsheet_timeinside_hours               *X hodin ve tvé věznici
rapsheet_mood                           Nálada
rapsheet_activity                       Aktivita
rapsheet_condition                      Stav
rapsheet_program                        Program
rapsheet_passchance                     Šance na úspěch
rapsheet_reformhistory                  Historie nápravných programů

rapsheet_reform_success                 Úspěch
rapsheet_reform_successcount            Dokončeno *Xkrát
rapsheet_reform_failed                  Neúspěch
rapsheet_reform_failcount               Bez úspěchu *Xkrát

rapsheet_grading_punishment             Trest
rapsheet_grading_health                 Zdraví
rapsheet_grading_security               Zabezpečení
rapsheet_grading_reform                 Náprava
rapsheet_grading_points                 *X bodů: 
rapsheet_grading_penalties              *X trestných bodů: 

rapsheet_scheduleexecution              Naplánovat popravu


punish_lockdown_6                       Pobyt na cele (6 hod.)
punish_lockdown_12                      Pobyt na cele (12 hod.)
punish_lockdown_24                      Pobyt na cele (24 hod.)
punish_solitary_6                       Samotka (6 hod.)
punish_solitary_12                      Samotka (12 hod.)
punish_solitary_24                      Samotka (24 hod.)
punish_solitary_perm                    Samotka (trvalá)
punish_lockdown_perm                    Pobyt na cele (trvalý)
punish_solitary                         Samotka
punish_lockdown                         Pobyt na cele
punish_none                             Nic
punish_timer                            *X hod. *Y min.
punish_timer_minutes                    *X min.
punish_active                           AKTIVNÍ
punish_permanent                        (trvale)
punish_end                              Ukončit trest

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none                  Nic
misconduct_reporttype_complaint             Stížnost
misconduct_reporttype_destruction           Ničení zařízení
misconduct_reporttype_escapeattempt         Pokus o útěk
misconduct_reporttype_injuredprisoner       Napadení vězně
misconduct_reporttype_injuredstaff          Napadení zaměstnance
misconduct_reporttype_seriousinjury         Vážné ublížení na zdraví
misconduct_reporttype_murder                Vražda
misconduct_reporttype_contrabandweapons     Přechovávání zbraní
misconduct_reporttype_contrabandtools       Přechovávání nástrojů
misconduct_reporttype_contrabandnarcotics   Přechovávání drog
misconduct_reporttype_contrabandluxuries    Přechovávání luxusního zboží
misconduct_reporttype_intoxicated           Intoxikace
misconduct_title                            =[Provinění]=

misconduct_report_addiction                 Závislý (*X)
misconduct_report_recoving                  Léčí se ze závislosti (*X)
misconduct_report_alcoholic                 Alkoholik
misconduct_report_recovingalcoholic         Léčí se ze závislosti na alkoholu


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required                       Toto hlášení ti může připravit pouze *X.
research_requireunlock                  K sestavení tohoto hlášení musíš provést výzkum „*X“.
research_approved                       SCHVÁLENO
research_cost                           Cena: *X
research_costperitem                    + *X za položku
research_timetounlock                   Čas do zpřístupnění: *X hod.
research_movementpenalty                Postih k pohyblivosti: *X %
research_protectionbonus                Ochrana: *X %
research_tap_to_authorise               KLEPNUTÍM VYDEJ POVOLENÍ

research_none                           Nic
research_warden                         Správce
research_maintainance                   Údržba
research_security                       Zabezpečení
research_legal                          Právní služby
research_mentalhealth                   Psychologie
research_finance                        Finance
research_landexpansion                  Rozšíření území
research_cctv                           Sledování
research_riotguards                     Speciální jednotky
research_health                         Zdraví
research_cleaning                       Úklid
research_groundskeeping                 Venkovní úklid
research_clone                          Klonování
research_deployment                     Rozmístění
research_patrols                        Hlídky
research_dogs                           Psi
research_prisonlabour                   Práce vězňů
research_education                      Vzdělávání
research_contraband                     Prohledávání
research_policy                         Pravidla věznice
research_armoury                        Zbrojnice
research_bodyarmour                     Neprůstřelné vesty
research_tazers                         Tazery
research_tazersforeveryone              Vydávání tazerů
research_bankloans                      Úvěr
research_lowertaxes1                    Daňová úleva
research_lowertaxes2                    Daňový ráj
research_remoteaccess                   Dálkové ovládání
research_extragrant                     Další grant
research_advancedmanagement             Detailní správa
research_deathrow                       Cela smrti
research_permanentpunishment            Trvalé tresty
research_removemincellsize              Menší cely
research_reduceexecutionliability       Zjednodušení poprav
research_legalprep                      Právní příprava
research_legaldefense                   Právní obrana

researchtooltip_warden                  Zpřístupňuje správce věznice a s ním celý systém Správa věznice.  Můžeš jej najmout na liště nástrojů v sekci Zaměstnanci.\n\nStejně jako všichni administrativní pracovníci potřebuje ke své práci kancelář.  
researchtooltip_security                Zpřístupňuje šéfa ostrahy, kterého lze najmout na liště nástrojů v sekci Zaměstnanci.  Jeho prostřednictvím získáš přístup k obrazovce Rozmístění, bude ti poskytovat okamžitá hlášení o úrovni nebezpečí ve tvé věznici a navíc dokáže často předpovědět blížící se potíže.\n\nStejně jako všichni administrativní pracovníci potřebuje ke své práci kancelář.  
researchtooltip_maintenance             Zpřístupňuje předáka.  Můžeš jej najmout na liště nástrojů v sekci Zaměstnanci.\n\nStejně jako všichni administrativní pracovníci potřebuje ke své práci kancelář.  
researchtooltip_legal                   Zpřístupňuje právníka, kterého lze najmout na liště nástrojů v sekci Zaměstnanci. Ten poskytuje přístup k dalším možnostem výzkumu, díky kterým získáš lepší kontrolu nad svou věznicí.\n\nStejně jako všichni administrativní pracovníci potřebuje ke své práci kancelář.  
researchtooltip_deployment              Umožňuje ti trvale rozmístit stráže do vybraných sektorů věznice.
researchtooltip_patrols                 Umožňuje ti vytvářet hlídkové trasy klíčovými oblastmi tvé věznice (např. kolem zdi) a přiřazovat k nim strážné.
researchtooltip_dogs                    Zpřístupňuje psovoda a služebního psa.  Vynikají ve vyhledávání kontrabandu poschovávaného ve věznici a objevování únikových tunelů.\n\nPsi jsou navíc velice rychlí, takže mohou snadno pronásledovat vězně. 
researchtooltip_cctv                    Zpřístupňuje bezpečnostní kamery a monitory.  Jejich prostřednictvím můžeš dohlížet i na ty oblasti věznice, v nichž se nenachází žádný tvůj pracovník.\n\nNavíc zpřístupňuje možnost odposlouchávání, díky níž můžeš nahrávat telefonáty vězňů a získávat tak cenné informace.
researchtooltip_remoteaccess            Zpřístupňuje dálkové a automatické ovládání dveří. Dveře lze otevírat na dálku pomocí systému pro ovládání dveří (spravovaném nějakým dozorcem) nebo časovým spínačem v určenou denní dobu.
researchtooltip_riotguards              (MOMENTÁLNĚ BEZ UPLATNĚNÍ)\nZpřístupňuje členy speciálních jednotek.  Tito drsní hoši jsou lépe vybavení a vycvičení pro zvládání krizových situací.
researchtooltip_maintainance            Zpřístupňuje předáka.  Ten umožňuje provádět další výzkum (například Práci vězňů) nebo najímat různé zaměstnance, jako třeba zahradníka.\n\nStejně jako všichni administrativní pracovníci potřebuje ke své práci kancelář.  
researchtooltip_clone                   Zpřístupňuje na hlavní liště nástrojů možnost klonování.  Díky této pomůcce můžeš rychle vytvářet kopie různých částí věznice, například cel.  Chceš-li tento nástroj použít, podrž stisknuté pravé tlačítko, označ kopírovanou oblast a kliknutím levého tlačítka ji umísti na požadovanou pozici.
researchtooltip_groundskeeping          Zpřístupňuje zahradníka.  Ten bude udržovat pořádek kolem budov.
researchtooltip_cleaning                Zpřístupňuje uklízeče.  Ten bude udržovat pořádek v budovách a navíc může pomáhat i v prádelně.
researchtooltip_health                  Zpřístupňuje doktora a společně s ním i ošetřovnu a márnici.  Zranění vězni a zaměstnanci budou odnášeni na ošetřovnu, kde je doktoři postaví opět na nohy.
researchtooltip_MentalHealth            Zpřístupňuje psychologa, který ti je připraven kdykoliv poskytnout cenné informace o pocitech a duševním rozpoložení tvých vězňů.\n\nStejně jako všichni administrativní pracovníci potřebuje ke své práci kancelář.  
researchtooltip_finance                 Zpřístupňuje účetní, která ti zajišťuje přístup k finančním zprávám o stavu tvé věznice.\n\nNavíc díky ní můžeš za den utratit více než ti umožňují tvé příjmy, samozřejmě za předpokladu, že máš na účtu dostatečnou rezervu.\n\nStejně jako všichni administrativní pracovníci potřebuje ke své práci kancelář.  
researchtooltip_landexpansion           Umožňuje ti zakoupit sousední pozemek a tím pádem rozšířit svou věznici za její původní hranice.
researchtooltip_prisonlabour            Umožňuje ti využívat vězně na různé práce v areálu (vaření, uklízení apod.), díky čemuž ušetříš za výplaty zaměstnanců. Nejen, že budeš moci své peníze využít na něco jiného, ale tví vězni se tak navíc naučí novým dovednostem.\n\nSoučasně se ti zpřístupní také dílna a prádelna.
researchtooltip_education               Umožňuje najmout učitele a spustit pro vězně různé nápravně-vzdělávací programy. 
researchtooltip_contraband              Naučí tvé dozorce efektivněji odhalovat a zajišťovat kontraband. Zpřístupňuje hlášení o poptávce a nabídce kontrabandu, informační vrstvu Kontraband (zobrazuje všechny možné lokace ve vězení, kde lze provádět krádeže) a dokáže vystopovat kontraband až k místu, kde byl ukraden nebo propašován do vězení.\n\nNavíc přidává možnost najímat vězně jako informátory.\n\nDále zpřístupňuje přehled gangů.
researchtooltip_policy                  Zpřístupňuje hlášení o stávajících pravidlech, umožňuje zvyšovat a snižovat tresty za všechny typy prohřešků, a pokud nějaký vězeň poruší pravidla, dojde automaticky k jeho osobní prohlídce a prohlídce jeho cely.\n\nNavíc ti poskytuje kontrolu nad jídelníčkem vězňů, můžeš tedy měnit četnost a rozmanitost podávaných jídel. 
researchtooltip_armoury                 Zpřístupňuje zbrojnici a umožňuje rozmisťovat po věznici ozbrojené stráže.
researchtooltip_bodyarmour              Vybaví všechny tvé stráže, ozbrojené stráže a psovody neprůstřelnými vestami. Díky nim jsou odolnější v boji, ovšem za cenu nižší rychlosti pohybu.\n\nStráže získají toto vybavení po návštěvě zbrojnice, za každou tímto způsobem zakoupenou vestu budeš muset zaplatit.
researchtooltip_tazers                  Umožňuje vybavit ozbrojené stráže tazery – silnými jednorannými zbraněmi, po jejichž zásahu většina cílů okamžitě upadne do bezvědomí. Z tazeru lze vystřelit jen jednou, poté se musí hodinu nabíjet.\n\nStráže získají toto vybavení po návštěvě zbrojnice, za každý tímto způsobem zakoupený tazer budeš muset zaplatit.
researchtooltip_tazersforeveryone       Rozšiřuje využití tazerů, takže je mohou nosit k obranným účelům i běžní strážní.\n\nStráže získají toto vybavení po návštěvě zbrojnice, za každý tímto způsobem zakoupený tazer budeš muset zaplatit.
researchtooltip_bankloans               Umožňuje ti půjčit si od banky velkou částku peněz výměnou za každodenní splátky úroků. Splacením půjčky se zvýší tvůj úvěrový limit, později si tedy budeš moci půjčit větší částku.
researchtooltip_lowertaxes1             Využívá vládní daňové pobídky a snižuje daň právnických osob na pouhých 15 %.\n\nZa každých $10 000 denního zisku ušetříš na daních $1500.
researchtooltip_lowertaxes2             Tvá účetní se bude pohybovat na samotné hranici pravidel a převede všechny tvé oficiální účty a obchodní aktivity do země s velice výhodnou daňovou sazbou. Tvé efektivní daňové zatížení klesne zhruba na 1 %.\n\nZa každých $10 000 denního zisku ušetříš na daních $3000.
researchtooltip_extragrant              Umožňuje ti přijmout až tři granty najednou místo dvou.
researchtooltip_advancedmanagement      Poskytuje ti nástroje pro detailní správu věznice, aby všechny její prvky přesně odpovídaly tvým požadavkům.\n\nZpřístupňuje ti funkci Logistika potravin, pomocí níž můžeš určit, která kuchyň vaří pro kterou jídelnu a ve které jídelně se budou vězni stravovat. Logistika prádla ti obdobným způsobem umožňuje ovlivnit, kterým konkrétním blokům jsou vyhrazeny jednotlivé prádelny.\n\nZpřístupní se ti také časový rozpis služeb, jehož prostřednictvím lze upravit rozmístění strážných v různou denní dobu.\n\nDále zpřístupňuje harmonogram nápravného programu, pomocí kterého můžeš ručně změnit denní rozvržení programů.
researchtooltip_permanentpunishment     Být ve vězení někdy není samo o sobě dostatečným trestem. Tvůj právník může zajistit potřebná povolení, aby vězni nemohli opouštět své cely. 
researchtooltip_removemincellsize       Cely ve tvé věznici musí svými rozměry splňovat jisté zákonné normy. Představ si ovšem, kolik dalších cel by bylo možné postavit, kdyby tě tato pravidla nesvazovala! Odstraňuje požadavek na minimální velikost běžných cel.
researchtooltip_reduceexecutionliability Tvůj právník lobbuje za snížení požadované míry usvědčení, jež je zapotřebí, aby bylo možné zahájit přípravu na vykonání trestu smrti. V zásadě se sníží počet odvolání, jež má vězeň k dispozici, než budeš moci bez žádných následků naplánovat jeho popravu.
researchtooltip_legalprep               V každé věznici dojde tu a tam k nějakým problémům a některé z nich mají poměrně vážné právní důsledky. Tvůj právník začne vyřizovat různé dokumenty, díky nimž nebude případná pohroma tak hrozná, tuto práci je ovšem zapotřebí udělat v předstihu.
researchtooltip_legaldefense            Máš velký problém – něco se šeredně zvrtlo a tobě hrozí propuštění. Pokud to bude vypadat, že si s nastalou situací nedokážeš poradit, tvůj právník tě z toho může vysekat. Dokončení tohoto výzkumu tě zbaví veškerých varování, jež by jinak mohla vyústit ve tvé propuštění.

research_legaldefense_adviser1          Jak se zdá, tvůj právník předložil dokumenty, které tě chrání před následky této pohromy. Nemohu tě tedy vyhodit. Alespoň tentokrát ne.
research_legaldefense_adviser2          Dej svou věznici rychle do pořádku a ať už se to neopakuje. Ten trik ti příště nepomůže a neochrání tě navěky.

research_missingadministrator           ZAPOTŘEBÍ:



# =============================================================================
# Room Requirements
# =============================================================================

roomrequirement_required                ZAPOTŘEBÍ:
roomrequirement_recommended             Doporučeno: 
roomrequirement_minimumsize             Minimální velikost *W x *H
roomrequirement_minimumsize_short	Velikost *W x *H
roomrequirement_indoor                  Pod střechou
roomrequirement_outdoor                 Venku
roomrequirement_solidground             Pevný povrch
roomrequirement_secure                  Zabezpečení (alespoň za jedněmi dveřmi)
roomrequirement_secure_short		Zabezpečení
roomrequirement_enclosed                Uzavřený prostor (ohraničeno zdmi a dveřmi)
roomrequirement_enclosed_short		Uzavřený prostor
requirement_entrance                    Vyžaduje vchod
roomrequirement_title                   =[Požadavky místnosti]=
roomrequirement_passed                  [SPLNĚNO] 
roomrequirement_failed                  [NESPLNĚNO] 
roomrequirement_adjacentobject          Sousedící místnost: 

# =============================================================================
# Unlocks
# =============================================================================

unlock_title                            ODEMČENO

unlock_special_electricity              Elektrické systémy
unlock_special_food                     Příprava jídel
unlock_special_officersafety            Bezpečí stráží
unlock_special_misbehavior              Přečin
unlock_special_accounting               Účetnictví
unlock_special_gangs                    Gangy

unlock_electricity_caption              Umožňuje výstavbu trafostanic a elektrického vedení, jež dodává proud všem zařízením, jež jej potřebují.


# =============================================================================
# Advisers
# =============================================================================

click_to_continue                       Pokračuj kliknutím...
incoming_call                           Příchozí hovor...

adviser_name_unknown                    Neznámé číslo
adviser_name_ceo                        Ředitel
adviser_name_warden                     Správce věznice
adviser_name_governer                   Guvernér
adviser_name_chief                      Šéf ostrahy
adviser_name_doctor                     Doktor
adviser_name_kingpin                    Mafiánský boss
adviser_name_edwardshooter              Edward
adviser_name_edwardsinner               Edward
adviser_name_edwardinmate               Edward
adviser_name_edwardswife                Edwardova žena Susan
adviser_name_priest                     Kněz
adviser_name_newsreader                 Zprávy CNDC
adviser_name_mayor 						Starosta Calvin Heller


# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff                            Zaměstnanci
report_prisoners                        Vězni
report_jobs                             Práce
report_needs                            Potřeby
report_threats                          Hrozby
report_regime                           Režim
report_policy                           Pravidla
report_grants                           Granty
report_finance                          Finance
report_valuation                        Odhad ceny
report_contraband                       Kontraband
report_programs                         Programy
report_schedule                         Harmonogram
report_intake                           Příjem

report_grants_bankloan                  Úvěr
report_grants_bankloan_text             Můžeš si půjčit od banky velký finanční obnos. Na oplátku si bude banka účtovat každý den úroky, jež se budou strhávat přímo z tvého cashflow.\n\nOdváděním pravidelných splátek se bude zvyšovat tvá úvěrová důvěryhodnost, takže si pak budeš moci půjčovat od banky i větší částky. Pakliže ovšem termín splátek propásneš, půjde tvé hodnocení ke dnu a žádný finanční ústav ti již v nouzi nevypomůže.\n\nPoznámka: Půjčku nemůžeš splatit jen ze samotných denních úroků.  
report_grants_max1                      V jeden okamžik lze přijmout pouze jeden grant.\nProstřednictvím své účetní můžeš tento limit zvýšit.
report_grants_max2                      V jeden okamžik lze přijmout maximálně dva granty.\nProstřednictvím své účetní můžeš tento limit zvýšit.
report_grants_max3                      V jeden okamžik lze přijmout maximálně tři granty.
report_grants_bankloan_amount           Aktuální úvěr: *X
report_grants_bankloan_interest         Splátky: *X denně
report_grants_bankloan_max              Maximální výše půjčky: *X
report_grants_creditrating              Úvěrové hodnocení: *X
report_grants_inprogress_tt             (PROBÍHÁ)
report_grants_completed_tt              (DOKONČENO)
report_grants_locked_tt                 (ZAMČENO)
report_grants_advancepayment            Platba předem: *X
report_grants_completionbonus           Bonus za splnění: *X
report_grants_objectives                [Úkoly]
report_grants_prereqs                   [Požadavky]
report_grants_completed                 DOKONČENO
report_grants_locked                    Zamčeno
report_grants_inprogress                Probíhá
report_grants_hidden                    (další skryté: *X)
report_grants_taptoaccept               KLEPNUTÍM MOŽNOST PŘIJMEŠ
report_grants_cancelfee                 Poplatek za zrušení: *X

report_staff_title                      Celkem zaměstnanců: *X
report_prisoners_title                  Celkem vězňů: *X
report_staff_group_builders             Dělníci
report_staff_group_guards               Stráže
report_staff_group_staff                Zaměstnanci
report_staff_group_administrators       Administrativa
report_staff_group_prisoners            Vězni
report_staff_group_prisoners_high       Vysoké riziko
report_staff_group_prisoners_normal     Běžné riziko
report_staff_group_prisoners_low        Nízké riziko
report_staff_group_prisoners_protected  Ochranná vazba
report_staff_group_prisoners_supermax   Supermax. ostraha
report_staff_group_prisoners_deathrow   Cela smrti

report_staff_fire                       PROPUSTIT

report_intake_title                     Příjem vězňů
report_intake_catheader_cat             Kategorie
report_intake_catheader_pay             Platba
report_intake_catheader_available       K dispozici
report_intake_catheader_amount          Poměr
report_intake_next_header               Další příjem: *X
report_intake_cat_minsec                Min. ostraha
report_intake_cat_normal                Stř. ostraha
report_intake_cat_maxsec                Max. ostraha
report_intake_cat_deathrow              Cela smrti
report_intake_slider_minsec             Upravit poměr příjmu vězňů s minimální ostrahou
report_intake_slider_normal             Upravit poměr příjmu vězňů se střední ostrahou
report_intake_slider_maxsec             Upravit poměr příjmu vězňů s maximální ostrahou
report_intake_slider_deathrow           Upravit poměr příjmu vězňů pro celu smrti
report_intake_closed                    ZAVŘENO
report_intake_locked                    ZAMČENO
report_intakemaxperdaydesc              Denní příjem
report_intakemaxperdaydesc_tooltip      Celkový počet vězňů, který chceš obdržet při příštím příjmu
report_intakemaxperdaydecr              <<
report_intakemaxperdayincr              >>
report_intakemaxperdaynone              Nikdo
report_intakemaxperdayall               Všichni
reports_intakedelivernow                Přivézt ihned
report_intakepayment                    Platba
report_intakeall                        VŠICHNI
report_intake_list_tooltip_title        Kategorie příjmu
report_intake_list_tooltip              Přehled všech kategorií vězňů, kteří mohou být do tvého nápravného zařízení posláni.\n\nVelikost jednotlivých kategorií ukazuje, kolik vězňů daného typu ti může být doručeno. Tento počet se postupně zvyšuje podle toho, jaký poměr na posuvnících nastavíš.\n\nNastavením posuvníků můžeš změnit poměr vězňů z daných kategorií, kteří ti budou zasláni v příští várce.
report_intake_list_tooltip_dr           \n\nAby ti mohli být doručeni vězni z kategorie Cela smrti, musíš jim ještě před přijetím zajistit volnou „celu smrti“. Příjem těchto vězňů je navíc mnohem pomalejší než v běžných případech a ne vždy vězeň z této kategorie skutečně dorazí. Takovýchto odsouzených je jen velice málo.
report_intake_buttons_tooltip_title     Další příjem
report_intake_buttons_tooltip           V této sekci můžeš zvýšit nebo snížit počet vězňů, které chceš přijmout v příští várce.\n\nZvolíš-li možnost „Nikdo“, příjem věznice tím uzavřeš, naopak nastavíš-li příjem na „Všichni“, přijede maximální možný počet nových vězňů.\n\nPočet vězňů spadajících do jednotlivých kategorií můžeš upravit pomocí výše zobrazených posuvníků.
report_intake_overview_tooltip_title    Přehled příjmu
report_intake_overview_tooltip          Zde vidíš, jací vězni ti budou doručeni v příští várce a jakou platbu za ně obdržíš. Počet vězňů a kategorie, do kterých spadají, si můžeš změnit pomocí výše zobrazených posuvníků a tlačítek. Platba se odvíjí od počtu vězňů v každé z kategorií.

valuation_categoryprison                Hodnota věznice
valuation_construction                  Cena nemovitosti
valuation_objects                       Vybavení
valuation_stock                         Zásoby a materiál
valuation_staff                         Zaměstnanci
valuation_startupgrant                  Úvodní grant
valuation_capacity                      Kapacita věznice
valuation_cash                          Hotovost
valuation_debt                          Úvěry
valuation_categoryperformance           Ostraha a zabezpečení
valuation_bonustimewithoutincident      [Bonus] Doba bez incidentu
valuation_finedeath                     [Postih] Úmrtí za posledních 24 hod.
valuation_fineescape                    [Postih] Útěky za posledních 24 hod.
valuation_total                         CELKEM
valuation_sell                          PRODAT
valuation_sellprison                    PRODAT VĚZENÍ
valuation_sell_tooltip                  Když vězení prodáš, získáš tak další prostředky a do stavby své nové věznice se budeš moci pustit s mnohem větším zůstatkem na kontě.\n\nVěznici budeš moct řídit i nadále, každou však lze prodat pouze jednou. Veškerý zisk z prodeje bude přesunut do nové věznice.
valuation_sold                          Tato věznice byla prodána za: *X
valuation_donotown                      Tuto věznici nemůžeš prodat, protože ji nevlastníš.
valuation_sellsome                      Prodat akcie
valuation_buysome                       Koupit akcie
valuation_shares                        Nákup a prodej akcií
valuation_shares_tooltip                Až 50 % své věznice můžeš prodat cizím investorům ve formě akcií. Takto získané prostředky obdržíš okamžitě. Akcionáři výměnou za svou investici obdrží část prodejní ceny, když se rozhodneš věznici prodat.\n\nPokud například rozdáš 30 % akcií svého vězení, dostaneš později jen 70 % celkové prodejní ceny. Dříve vydané akcie můžeš kdykoliv opět odkoupit, ovšem může se stát, že za ně zaplatíš víc, než kolik byla jejich původní prodejní cena.
valuation_ownership                     Vlastníš *X % své věznice
valuation_saleprice                     Prodejní cena: *X
valuation_title                         =[ODHAD CENY]=
valuation_totalprisonvalue              Celková hodnota věznice: *X
valuation_subcashreserves               Minus finanční rezervy: *X
valuation_tenpercentprice               Cena za 10 %: *X
valuation_profit                        Tvůj zisk: *X
valuation_tap_to_authorise              KLEPNUTÍM ODSOUHLAS TRANSAKCI

salecondition_title                     POŽADAVKY PRODEJE
salecondition_cannotsell                Nemůžeš prodat svou věznici nebo její akcie, dokud nesplníš následující podmínky.
salecondition_minimumvalue              Minimální hodnota – $50 000
salecondition_cashflow                  Kladné cashflow
salecondition_accountant                Vlastní účetní
salecondition_minprisoners              Alespoň 20 vězňů
salecondition_recentdeaths              Žádná nedávná úmrtí
salecondition_recentescapes             Žádné nedávné útěky
salecondition_passed                    [SPLNĚNO] 
salecondition_failed                    [NESPLNĚNO] 

policy_title                            INCIDENT
policy_search                            - PROHLEDAT -
policy_prisoner                         VĚZNĚ
policy_cell                             CELU
policy_punishment                       TREST
policy_quantity                         ČAS
policy_punishmenttime                   *X hod.
policy_mealcost                         $*X / den
policy_totalmealcost                    (CELKEM: $*X / den)

job_construct                           Postavit *X
job_installobject                       Namontovat *X
job_installobjectinroom                 Namontovat *X (cíl: *Y)
job_moveobject                          Přenést *X
job_moveobjecttoroom                    Přenést *X (cíl: *Y)
job_loadobjectinto                      Naložit *X (*Y)
job_storeobject                         Uskladnit *X (cíl: *Y)
job_dismantleobject                     Demontovat *X
job_dumpobject                          Vyhodit *X
job_repairobject                        Opravit *X
job_operateequipment                    Ovládat *X
job_escortprisoner                      Eskortovat vězně (cíl: *X)
job_punishprisoner                      Zpracovat vězně
job_searchobject                        Prohledat *X 
job_searchentity                        Prohledat vězně
job_searchingentity						Prohledává vězně
job_searchcell                          Prohledat celu
