
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              새로시작

codex_performance_running				성능 시험기 작동
codex_performance_time					남은 시간: *Ts
codex_performance_current				현재 프레임 시간: *Tms
codex_performance_min					최소 프레임: *Tms
codex_performance_avg					평균 프레임: *Tms
codex_performance_max					최대 프레임: *Tms
codex_performance_numframes				프레임 숫자: *T

codex_last_modified						최근 수정된 날짜: *T
codex_sortbydesc						날짜별
codex_sortname							이름
codex_sortdate							날짜
codex_apply								적용
codex_select                            선택

codex_mods								모드
codex_mod_activetitle					모드 활성화
codex_mod_inactivetitle					사용가능모드
codex_mod_deactivate					사용불가모드
codex_mod_wiki							더 많은 모드 찾기(Wiki)
codex_mod_openmodsfolder				모드 폴더 열기
codex_mod_moresteammods					더 많은 모드 찾기(스팀 창작마당)
codex_mod_findsteamtranslations         더 많은 번역 찾기(스팀 창작마당)
codex_authortitle                       제작자
codex_versiontitle                      버전
codex_datetitle                         날짜
codex_urltitle                          URL
codex_typetitle							유형
codex_mod_graphicsandsound				그래픽과 사운드
codex_mod_translation					번역
codex_mod_scenario						시나리오
codex_mod_content						내용
codex_mod_load_scenario					시나리오 플레이
codex_publishmod						이 모드 올리기

codex_mod_update						이 모드 업데이트
codex_mod_published_good				모드 올림
codex_mod_published_good_msg			모드를 성공적으로 올림.
codex_mod_published_bad					모드 올리기 실패
codex_mod_published_bad_msg				모드 올리기에 실패했습니다.
codex_mod_modsupdated					모드 업데이트됨
codex_mod_modsupdated_msg				활성화된 모드가 업데이트 되었습니다. OK를 누르면 변경사항이 적용됩니다. 진행 중인 게임이 자동 저장됩니다.
codex_mod_translationcaption            다른 언어로 번역한 것입니까?

codex_language                          언어
codex_language_englishdefault           영어(기본)
codex_language_default                  기본 언어
codex_language_download                 다운로드
codex_language_failed_download          다운로드 실패
codex_language_failed_download_msg      선택하신 번역의 다운로드에 실패했습니다.
codex_language_searching_workshop       스팀 창작마당 검색 중
codex_language_community                이 번역 팩은 커뮤니티에 의해 제작 및 운영됩니다 - 감사합니다!

codex_save_confirm                      *X를 현재 교도소로 덮어쓰기 하시겠습니까?
codex_researtchapter_confirm            현재 챕터를 다시 시작하시겠습니까? 저장되지 않은 부분은 사라집니다.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message					그래픽 설정을 바꾸시겠습니까?
graphicschange_time						초 뒤에 원래 설정으로 돌아갑니다.
graphicschange_accept					수락
graphicschange_revert					돌아가기

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title                    스크립트 디버거(F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title                   모드 변경 확인됨
modnotification_info                    현재 교도소가 저장될 때 이 모드를 사용했습니다. 이 교도소를 플레이하기 전에 먼저 이 모드를 다운로드해서 활성화하실 것을 권장합니다.
modnotification_playnow                 시작하기
modnotification_active                  활성화
modnotification_inactive                비활성화
modnotification_new                     새모드
modnotification_unknown                 알 수 없음
modnotification_popup_title             모드 차이점
modnotification_popup_active            이 모드는 현재 활성화되었습니다. 비활성화 하려면 클릭하세요.
modnotification_popup_inactive          이 모드는 현재 비활성화되었습니다. 활성화 하려면 클릭하세요.
modnotification_popup_new_url           새 모드입니다. 웹브라우저에서 링크를 열려면 클릭하세요.
modnotification_popup_new_steam         새 스팀 모드입니다. 이 모드를 구독하고 다운로드하려면 클릭하세요.
modnotification_popup_unknown           어디서 만든지 알 수 없는 모드입니다. 직접 찾아서 설치해야 합니다.

# =============================================================================
# Biography
# =============================================================================

biography_search                        정지하고 수색 
biography_selected                      선택됨
biography_prisoner_name                 *S, *F
biography_prisoner_number               죄수번호 *X
biography_prisoner_age                  나이: *X
biography_prisoner_traits               특성 :
biography_prisoner_convicted            *C로 유죄 판결받음(*P)
biography_prisoner_sentenced            *X년형 선고받음
biography_parole_now                    현재 가석방 대상
biography_parole_later                  *X년 후 가석방 대상
biography_prisoner_served               *X년 복역함
biography_prisoner_priors               우선: 


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age							나이:
rapsheet_category						범주:
rapsheet_traits							알려진 특징:
rapsheet_conviction_text				*C - *Y년
rapsheet_found_text						(*P)
rapsheet_convictions					유죄판결
rapsheet_misconductstitle				최근 불법행위
rapsheet_biography                      약력
rapsheet_guilty							유죄 인정
rapsheet_notguilty						무죄 주장
rapsheet_served							복역함
rapsheet_served_time					*Y년 복역
rapsheet_time							총 *Y년
rapsheet_bio							*A(으)로 *Y년형 선고받음.
rapsheet_bio_med						*A와 *B의 복합 범죄로 *Y년형 선고받음.
rapsheet_bio_long						*A 와 *B 와 *C 의 복합 범죄로 *Y 년형 선고받음.
rapsheet_category_minsec				저위험도
rapsheet_category_normal				중위험도
rapsheet_category_maxsec				고위험도
rapsheet_category_protected             보호감호
rapsheet_category_supermax              초고위험도
rapsheet_category_deathrow              사형수
rapsheet_tab_biography                  약력
rapsheet_tab_experience                 경험
rapsheet_tab_grading                    등급
rapsheet_tab_character                  성격
rapsheet_punish                         처벌
rapsheet_recruit                        정보원 고용

rapsheet_timeinside                     현 교도소에서 *X일 복역
rapsheet_timeinside_hours               현 교도소에서 *X시간 복역
rapsheet_mood                           기분
rapsheet_activity                       활동
rapsheet_condition                      상태
rapsheet_program                        교정 프로그램
rapsheet_passchance                     성공 가능성
rapsheet_reformhistory                  교정 프로그램 기록

rapsheet_reform_success                 성공
rapsheet_reform_successcount            *X회 완료
rapsheet_reform_failed                  실패
rapsheet_reform_failcount               *X회 실패

rapsheet_grading_punishment             처벌
rapsheet_grading_health                 건강
rapsheet_grading_security               보안
rapsheet_grading_reform                 교정
rapsheet_grading_points                 *X점 : 
rapsheet_grading_penalties              *X 패널티 : 

rapsheet_scheduleexecution              사형집행 예정


punish_lockdown_6                       감금(6시간)
punish_lockdown_12                      감금(12시간)
punish_lockdown_24                      감금(24시간)
punish_solitary_6                       독방(6시간)
punish_solitary_12                      독방(12시간)
punish_solitary_24                      독방(24시간)
punish_solitary_perm                    독방(종신)
punish_lockdown_perm                    감금(종신)
punish_solitary                         독방
punish_lockdown                         전체잠금
punish_none                             없음
punish_timer                            *X시간 *Y분
punish_timer_minutes                    *X분
punish_active                           진행중
punish_permanent                        (종신)
punish_end                              처벌 종료

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none                  없음
misconduct_reporttype_complaint             불만
misconduct_reporttype_destruction           파괴
misconduct_reporttype_escapeattempt         탈옥 시도
misconduct_reporttype_injuredprisoner       죄수 공격
misconduct_reporttype_injuredstaff          직원 공격
misconduct_reporttype_seriousinjury         중상
misconduct_reporttype_murder                살인
misconduct_reporttype_contrabandweapons     무기 발견
misconduct_reporttype_contrabandtools       도구 발견
misconduct_reporttype_contrabandnarcotics   마약 발견
misconduct_reporttype_contrabandluxuries    사치품 발견
misconduct_reporttype_intoxicated           약물 중독
misconduct_title                             =[불법행위]=

misconduct_report_addiction                 *X 에 중독됨
misconduct_report_recoving                  *X 중독 치료됨
misconduct_report_alcoholic                 알콜중독
misconduct_report_recovingalcoholic         알콜중독 치료됨


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required                       보고서를 작성하려면 *X이 필요합니다.
research_requireunlock                  보고서를 잠금해제하려면 '*X' 연구가 필요합니다.
research_approved                       승인됨
research_cost                           비용: *X
research_costperitem                     + 항목당 *X
research_timetounlock                   잠금해제에 필요한 시간: *X시간
research_movementpenalty                이동 패널티: *X%
research_protectionbonus                보호: *X%
research_tap_to_authorise               승인하려면 클릭하세요.

research_none                           없음
research_warden                         교도소장
research_maintainance                   유지관리
research_security                       보안
research_legal                          법률
research_mentalhealth                   심리학
research_finance                        재정
research_landexpansion                  토지 확장
research_cctv                           감시장비
research_riotguards                     폭동진압대
research_health                         건강
research_cleaning                       청소
research_groundskeeping                 정원관리
research_clone                          복사
research_deployment                     배치
research_patrols                        순찰
research_dogs                           경비견
research_prisonlabour                   수감자 노역
research_education                      교육
research_contraband                     정보수집
research_policy                         교도소 정책
research_armoury                        무기고
research_bodyarmour                     방탄복
research_tazers                         테이저
research_tazersforeveryone              테이저 보급확대
research_bankloans                      은행 대출
research_lowertaxes1                    세금 경감
research_lowertaxes2                    역외 조세 피난처
research_remoteaccess                   원격 조종
research_extragrant                     추가 보조금
research_advancedmanagement             세부 관리
research_deathrow                       사형수
research_permanentpunishment            종신형
research_removemincellsize              소형 감방
research_reduceexecutionliability       사형집행 책임 경감
research_legalprep                      법적 절차
research_legaldefense                   법적 방어

researchtooltip_warden                  교도소장과 업무결재시스템을 잠금해제합니다. 교도소장은 직원 툴바에서 고용할 수 있습니다.\n\n다른 관리자처럼 사무실이 필요합니다.
researchtooltip_security                교도대장을 잠금해제합니다. 직원 툴바에서 고용할 수 있습니다. 교도대장은 교도관 배치 화면에 접근할 수 있게 해주며 교도소의 위험수준을 실시간으로 알려주고, 때로는 미래에 일어날 수 있는 문제를 예측합니다.\n\n다른 관리자처럼 사무실이 필요합니다.
researchtooltip_maintenance             현장감독을 잠금해제합니다. 직원 툴바에서 고용할 수 있습니다.\n\n다른 관리자처럼 사무실이 필요합니다.
researchtooltip_legal                   변호사를 잠금해제합니다. 직원 툴바에서 고용할 수 있습니다. 교도소를 통제하는데 도움을 주는 여러 연구들을 잠금해제할 수 있습니다.\n\n다른 관리자처럼 사무실이 필요합니다.
researchtooltip_deployment              교도소의 특정 구역에 교도관을 배치해 영구적으로 감시합니다.
researchtooltip_patrols                 교도소 경계와 같이 중요한 구역에 순찰 구역을 지정하고 교도관이 순찰을 돌게 할 수 있습니다.
researchtooltip_dogs                    경비견과 조련사를 잠금해제합니다. 이들은 밀반입품의 냄새를 맡고, 땅굴을 발견합니다.\n\n경비견은 아주 빨라서 도주하는 죄수들을 쉽게 잡을 수 있습니다.
researchtooltip_cctv                    CCTV 카메라와 보안 모니터를 잠금해제합니다. 이것을 이용해 사람이 없는 곳도 감시할 수 있습니다.\n\n도청장치도 잠금해제하여 죄수의 통화를 엿들을 수 있고 중요한 정보를 얻을 수 있습니다.
researchtooltip_remoteaccess            원격조종과 자동으로 열리는 문을 열 수 있는 고급 장비를 잠금해제합니다. 문 통제시스템을 이용해 원격으로 문을 열 수도 있고(교도관이 작동), 문 타이머로 특정 시간에 열리게 만들 수도 있습니다.
researchtooltip_riotguards              (현재 소용없음)\n폭동진압대를 잠금해제합니다. 이들은 무장을 하고 있어서 폭력 사태를 처리하는데 유리합니다.
researchtooltip_maintainance            현장감독을 잠금해제합니다. 수감자 노역같은 연구를 할 수 있게 하고 정원사같은 직원을 고용할 수 있게 해줍니다.\n\n다른 관리자처럼 사무실이 필요합니다.
researchtooltip_clone                   메인 툴바에서 복사 툴을 잠금해제합니다. 감방과 같은 교도소 시설을 빠르게 지을 수 있습니다. 마우스 오른쪽 버튼으로 드래그해서 복사할 구역을 선택한 다음 왼쪽 버튼으로 복사합니다.
researchtooltip_groundskeeping          정원사를 잠금해제합니다. 정원사는 실외를 정리정돈 합니다.
researchtooltip_cleaning                청소부를 잠금해제합니다. 청소부는 교도소의 모든 실내 구역을 청소하며 빨래를 도와줄 수 있습니다.
researchtooltip_health                  의사와 의무실, 영안실을 잠금해제합니다. 부상당한 죄수와 직원을 의무실로 보내 의사가 치료하도록 합니다.
researchtooltip_MentalHealth            심리학자를 잠금해제합니다. 심리학자는 항상 죄수들의 정신상태를 파악해서 당신에게 가치있는 통찰력을 제공합니다.\n\n다른 관리자처럼 사무실이 필요합니다.
researchtooltip_finance                 회계사를 잠금해제해서 재정 보고서를 볼 수 있게 합니다.\n\n비축되어 있는 자금을 추정하여 수입을 초과하는 금액도 지출할 수 있게 합니다.\n\n다른 관리자처럼 사무실이 필요합니다.
researchtooltip_landexpansion           근처의 토지를 매입하여 최초의 경계를 넘어서 교도소 규모를 확장할 수 있도록 승인합니다.
researchtooltip_prisonlabour            죄수들을 교도소에서 일하게 해서 (요리, 청소 등) 직원 임금도 줄이고 돈도 벌고 죄수들에게 새로운 기술도 가르칩니다.\n\n작업장과 세탁실도 잠금해제합니다.
researchtooltip_education               교육 교정 프로그램을 잠금해제하여 외부에서 선생님을 고용해 죄수들을 교육합니다.
researchtooltip_contraband              교도관들이 밀반입품을 더 잘 찾고 추적할 수 있도록 훈련합니다. 밀반입품 수요공급 보고서와 밀반입품 오버레이(교도소 내의 모든 가능한 절도 위치를 보여줌)를 잠금해제하고, 찾아낸 모든 밀반입품을 어디에서 몰래 들여오거나 훔쳤는지 추적합니다.\n\n죄수를 비밀정보원으로 고용할 수 있는 능력도 잠금해제합니다.\n\n또한 갱단 정보수집 보기도 잠금해제합니다.
researchtooltip_policy                  정책 보고서를 잠금해제하여 모든 종류의 불법행위에 대한 처벌을 늘리거나 줄일 수 있고 부정행위를 하는 죄수와 그의 감방을 자동으로 수색할 수 있습니다.\n\n급식 정책을 통제하여 죄수들에게 공급되는 음식의 양과 식단을 조정 할 수 있습니다.
researchtooltip_armoury                 무기고를 잠금해제하여 교도소에 무장교도관을 배치 할 수 있게 됩니다.
researchtooltip_bodyarmour              모든 교도관, 무장교도관, 경비견 조련사에게 방탄복을 지급합니다. 싸우는 동안 피해를 줄여주지만 속도가 느려집니다.\n\n교도관이 무기고에 가서 이 장비를 가져와야 하고, 방탄복을 구입할 때마다 비용이 듭니다.
researchtooltip_tazers                  무장교도관이 죄수를 한번에 제압하는 테이저를 소지하도록 합니다. 테이저는 사용하기 전에 충전되어야 하며 충전하는데 한 시간이 걸립니다.\n\n무장교도관이 무기고에 가서 이 장비를 가져와야 하고, 테이저를 구입할 때마다 비용이 듭니다.
researchtooltip_tazersforeveryone       일반 교도관도 방어를 위해 테이저를 소지할 수 있도록 테이저 프로그램을 확대합니다.\n\n교도관이 무기고에 가서 이 장비를 가져와야 하고, 테이저를 구입할 때마다 비용이 듭니다.
researchtooltip_bankloans               은행에서 매일 이자를 지급하는 조건으로 돈을 빌릴 수 있게 합니다. 빚을 갚으면 신용등급이 올라가 나중에 더 큰 돈을 빌릴 수 있게 됩니다.
researchtooltip_lowertaxes1             정부의 세금 감면을 받아 법인세가 15% 줄어듭니다.\n\n일일 수익금이 $10,000라면 $1,500의 세금이 절약됩니다.
researchtooltip_lowertaxes2             회계사가 규칙을 확대적용해서 모든 공식 계좌를 세금이 적은 외국으로 옮깁니다. 법인세율이 1%로 떨어집니다.\n\n일일 수익금 $10,000 중 $3,000의 세금이 절약됩니다.
researchtooltip_extragrant              한번에 최대 3개까지 보조금을 받을 수 있게 됩니다.
researchtooltip_advancedmanagement      당신의 요구사항을 정확하게 준수하도록 교도소의 세부 관리 방법을 제공합니다.\n\n음식 물류를 잠금해제합니다. 어떤 주방이 어떤 식당을 위해 조리하는지, 재소자가 어떤 식장에서 먹는지 설정이 가능합니다. 세탁 물류도 마찬가지로 어떤 구역에 어떤 빨랫감을 놓는지 설정이 가능합니다.\n\n추가적으로 배치 스케줄을 잠금해제하면 시간에 따라 교도관을 다르게 배치할 수 있습니다.\n\n교정 프로그램 스케줄을 잠금해제하면 프로그램 일정을 조정할 수 있습니다.
researchtooltip_permanentpunishment     때로는 교도소에 있는 것만으로 충분하지 않습니다. 당신의 변호사가 원하는 죄수를 영원히 감방에 가두는데 필요한 서류를 준비할 수 있습니다.
researchtooltip_removemincellsize       감방은 법적으로 정해진 크기로 만들어야만 합니다. 하지만 제한이 없다면 얼마나 많은 감방을 만들 수 있을지 생각해보시죠! 일반적인 감방의 최소 크기 제한을 없애줍니다.
researchtooltip_reduceexecutionliability 사형집행 절차를 정당하게 진행하기에 앞서 당신의 변호사가 필요한 판결확신도 축소를 위해 로비를 합니다. 사형수가 재심 청구할 회수를 줄여서 그전에 법적 책임 부담없이 사형집행을 계획할 수 있습니다. 
researchtooltip_legalprep               모든 교도소는 크고 작은 문제를 안고 운영됩니다. 그 중에는 법적인 절차가 필요한 것들도 있습니다. 당신의 변호사는 당신이 저지른 실수를 수습하기 위해 서류 작업을 시작할 것입니다. 그러나 먼저 이것이 완료되어야 합니다.
researchtooltip_legaldefense            당신은 현재 좋지 않은 상황에 놓여있습니다. 잘못된 행동으로 주목을 받고 있습니다. 당신이 해결하기는 힘들어 보이지만 당신의 변호사가 도와줄 수 있습니다. 이 연구를 마치면 당신이 해고될 수도 있는 잘못에서 벗어나게 해줍니다.

research_legaldefense_adviser1          자네의 변호사가 엉망진창인 상황으로부터 자네를 보호해준 것 같군. 자네를 해고할 수 없겠어. 이번에는 말이지.
research_legaldefense_adviser2          교도소를 어서 통제하게. 그런 수법이 영원히 자네를 보호해주는 건 아니야.

research_missingadministrator           필요함:



# =============================================================================
# Room Requirements
# =============================================================================

roomrequirement_required                필요함:
roomrequirement_recommended             권장사항: 
roomrequirement_minimumsize             최소 크기 *W x *H
roomrequirement_minimumsize_short	크기 *W x *H
roomrequirement_indoor                  실내
roomrequirement_outdoor                 실외
roomrequirement_solidground             단단한 지면
roomrequirement_secure                  안전(최소 하나의 문 필요)
roomrequirement_secure_short		안전
roomrequirement_enclosed                둘러막힘(벽과 문으로 에워싸야함)
roomrequirement_enclosed_short		둘러막힘
requirement_entrance                    입구 필요
roomrequirement_title                   =[방 필요조건]=
roomrequirement_passed                  [통과] 
roomrequirement_failed                  [실패] 
roomrequirement_adjacentobject          방 옆에 있어야함: 

# =============================================================================
# Unlocks
# =============================================================================

unlock_title                            잠금해제됨

unlock_special_electricity              전기 시스템
unlock_special_food                     음식 준비
unlock_special_officersafety            교도관 안전
unlock_special_misbehavior              부정행위
unlock_special_accounting               회계
unlock_special_gangs                    갱단

unlock_electricity_caption              발전기와 전력케이블을 설치해 전기가 필요한 곳에 전기를 공급할 수 있습니다.


# =============================================================================
# Advisers
# =============================================================================

click_to_continue                       계속하려면 클릭하십시오...
incoming_call                           전화 오는중...

adviser_name_unknown                    알 수 없음
adviser_name_ceo                        CEO
adviser_name_warden                     교도소장
adviser_name_governer                   주지사
adviser_name_chief                      교도대장
adviser_name_doctor                     의사
adviser_name_kingpin                    대부
adviser_name_edwardshooter              에드워드
adviser_name_edwardsinner               에드워드
adviser_name_edwardinmate               에드워드
adviser_name_edwardswife                에드워드의 아내 수잔
adviser_name_priest                     신부
adviser_name_newsreader                 CNDC 뉴스
adviser_name_mayor 						캘빈 헬러 시장


# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff                            직원
report_prisoners                        죄수
report_jobs                             작업
report_needs                            욕구
report_threats                          위협
report_regime                           시간표
report_policy                           정책
report_grants                           보조금
report_finance                          재정
report_valuation                        평가액
report_contraband                       밀반입
report_programs                         프로그램
report_schedule                         일정표
report_intake                           입소

report_grants_bankloan                  은행 대출
report_grants_bankloan_text             은행에서 자금을 빌릴 수 있습니다. 그대신 매일 이자를 갚아야 합니다.\n\n규칙적으로 이자를 납입하면 신용 등급이 올라가 더 많은 돈을 대출 할 수 있게 됩니다. 하지만 이자를 납입하지 않으면 신용 등급이 떨어져 돈이 필요할 때 은행이 대출을 거부하게 됩니다.\n\n참고: 매일 이자만 내도 대출금은 그대로 남아있습니다.
report_grants_max1                      한 번에 한 개의 보조금만 받을 수 있습니다.\n회계사를 통해 이 제한을 늘릴 수 있습니다.
report_grants_max2                      한 번에 두 개까지 보조금을 받을 수 있습니다.\n회계사를 통해 이 제한을 늘릴 수 있습니다.
report_grants_max3                      한 번에 세 개까지 보조금을 받을 수 있습니다.
report_grants_bankloan_amount           현재 은행 대출: *X
report_grants_bankloan_interest         하루 이자: *X
report_grants_bankloan_max              최대 대출 한도: *X
report_grants_creditrating              신용 등급: *X
report_grants_inprogress_tt             (진행 중)
report_grants_completed_tt              (완료)
report_grants_locked_tt                 (잠김)
report_grants_advancepayment            보조금 선불: *X
report_grants_completionbonus           보조금 잔금: *X
report_grants_objectives                [목표]
report_grants_prereqs                   [선결조건]
report_grants_completed                 완료
report_grants_locked                    잠김
report_grants_inprogress                진행 중
report_grants_hidden                    (*X 개 숨겨짐)
report_grants_taptoaccept               수용하려면 탭을 누르세요
report_grants_cancelfee                 취소 비용: *X

report_staff_title                      전체 직원: *X
report_prisoners_title                  전체 죄수: *X
report_staff_group_builders             인부
report_staff_group_guards               교도관
report_staff_group_staff                직원
report_staff_group_administrators       관리자
report_staff_group_prisoners            죄수
report_staff_group_prisoners_high       고위험
report_staff_group_prisoners_normal     중위험
report_staff_group_prisoners_low        저위험
report_staff_group_prisoners_protected  보호감호
report_staff_group_prisoners_supermax   초고위험도
report_staff_group_prisoners_deathrow   사형수

report_staff_fire                       해고

report_intake_title                     입소
report_intake_catheader_cat             죄수등급
report_intake_catheader_pay             지원금
report_intake_catheader_available       가능인원
report_intake_catheader_amount          비율
report_intake_next_header               다음 입소: *X
report_intake_cat_minsec                저위험자
report_intake_cat_normal                중위험자
report_intake_cat_maxsec                고위험자
report_intake_cat_deathrow              사형수
report_intake_slider_minsec             저위험자 비율 조정
report_intake_slider_normal             중위험자 비율 조정
report_intake_slider_maxsec             고위험자 비율 조정
report_intake_slider_deathrow           사형수 비율 조정
report_intake_closed                    닫힘
report_intake_locked                    잠김
report_intakemaxperdaydesc              일일 입소
report_intakemaxperdaydesc_tooltip      다음 번 입소에서 받을 전체 죄수의 수
report_intakemaxperdaydecr              <<
report_intakemaxperdayincr              >>
report_intakemaxperdaynone              없음
report_intakemaxperdayall               모두
reports_intakedelivernow                바로 받기
report_intakepayment                    지원금
report_intakeall                        모두
report_intake_list_tooltip_title        입소자 등급
report_intake_list_tooltip              교도소에서 받을 수 있는 모든 죄수 등급을 보여줍니다.\n\n풀 사이즈는 각 등급별로 받을 수 있는 죄수의 총 숫자를 표시합니다. 이 숫자는 슬라이더 비율에 따라 시간이 지나면서 증가하게 됩니다.\n\n다음에 받을 죄수 등급의 비율을 슬라이더로 조정할 수 있습니다.
report_intake_list_tooltip_dr           \n\n사형수를 수감하려면 교도소에 특별히 설치된 사형수 수감시설이 필요합니다. 사형수 입소는 일반 재소자 입소에 비해 훨씬 느리며, 사형수 규모도 증가하지 않습니다. 사형수 입소는 수도 적고 간격도 깁니다.
report_intake_buttons_tooltip_title     다음 입소
report_intake_buttons_tooltip           이곳을 이용해서 다음에 받을 죄수의 수를 늘리거나 줄일 수 있습니다.\n\n"없음"을 선택하면 새로운 죄수가 들어오지 않으며, "모두"를 선택하면 받을 수 있는 모든 수의 죄수가 옵니다.\n\n각 등급별 죄수 숫자는 위에 있는 슬라이더로 조정할 수 있습니다.
report_intake_overview_tooltip_title    입소 개요
report_intake_overview_tooltip          다음에 받을 죄수의 숫자와 지원금을 확인할 수 있습니다. 입소할 죄수의 수와 등급은 위의 슬라이더와 버튼으로 조정할 수 있습니다. 지원금은 각 등급의 죄수 숫자에 영향을 받습니다.

valuation_categoryprison                교도소 가치
valuation_construction                  벽돌과 시멘트
valuation_objects                       설비와 장비
valuation_stock                         재고와 자재
valuation_staff                         직원
valuation_startupgrant                  시작 보조금
valuation_capacity                      죄수 수용능력
valuation_cash                          현금
valuation_debt                          은행 대출
valuation_categoryperformance           안전 및 보안
valuation_bonustimewithoutincident      [보너스] 무사고 시간
valuation_finedeath                     [패널티] 지난 24시간 동안 사망
valuation_fineescape                    [패널티] 지난 24시간 동안 탈옥
valuation_total                         총액
valuation_sell                          판매
valuation_sellprison                    교도소 매각
valuation_sell_tooltip                  교도소를 매각하여 수익금을 회수할 수 있고 훨씬 많은 은행 잔고를 가지고 새로 교도소를 운영할 수 있습니다.\n\n이 교도소를 계속 운영 할 수 있지만 한 교도소는 한 번만 팔 수 있습니다. 모든 판매 수익금은 새 교도소로 이전됩니다.
valuation_sold                          이 교도소는 *X 에 매각되었습니다.
valuation_donotown                      소유하지 않은 교도소는 팔 수 없습니다
valuation_sellsome                      지분 팔기
valuation_buysome                       지분 사기
valuation_shares                        지분 사고팔기
valuation_shares_tooltip                교도소 지분을 최대 50%까지 외부 투자자에게 판매할 수 있습니다. 판매 대금은 즉시 현금으로 받게 됩니다. 나중에 교도소를 매각할 때는 보유한 지분에 따라 매각 대금을 나눠받게 됩니다.\n\n예를 들어 지분을 30% 판매한 경우, 최종 교도소 매각 대금의 70%만 받게 됩니다. 언제라도 판매한 지분을 다시 매입할 수 있습니다. 하지만 매입 비용은 판매했던 가격보다 더 높을 수 있습니다.
valuation_ownership                     당신은 교도소의 *X%를 소유하고 있습니다.
valuation_saleprice                     판매 가격: *X
valuation_title                          =[평가액]=
valuation_totalprisonvalue              전체 교도소 가치: *X
valuation_subcashreserves               현금준비금 제외: *X
valuation_tenpercentprice               10% 지분 가격: *X
valuation_profit                        수익금: *X
valuation_tap_to_authorise              승인하려면 클릭하세요.

salecondition_title                     판매 조건
salecondition_cannotsell                아래 조건이 충족되기 전에는 교도소 또는 지분을 판매 할 수 없습니다.
salecondition_minimumvalue              최소 가치 $50,000
salecondition_cashflow                  현금유출입 흑자
salecondition_accountant                회계사 보유
salecondition_minprisoners              최소 죄수 20명
salecondition_recentdeaths              최근 사망자 없음
salecondition_recentescapes             최근 탈옥자 없음
salecondition_passed                    [통과] 
salecondition_failed                    [실패] 

policy_title                            사고
policy_search                            - 수색 -
policy_prisoner                         죄수
policy_cell                             감방
policy_punishment                       처벌
policy_quantity                         시간
policy_punishmenttime                   *X 시간
policy_mealcost                         $*X / 하루
policy_totalmealcost                    (총 $*X / 하루)

job_construct                           *X 건설
job_installobject                       *X 설치
job_installobjectinroom                 *Y 에 *X 설치
job_moveobject                          *X 이동
job_moveobjecttoroom                    *X를 *Y로 이동
job_loadobjectinto                      *X를 *Y에 적재
job_storeobject                         *X를 *Y에 보관
job_dismantleobject                     *X 철거
job_dumpobject                          *X 버림
job_repairobject                        *X 수리
job_operateequipment                    *X 작동
job_escortprisoner                      죄수를 *X로 호송
job_punishprisoner                      죄수 처리 중
job_searchobject                        *X 수색
job_searchentity                        죄수 수색
job_searchingentity						죄수 수색 중
job_searchcell                          감방 수색
job_searchcellblock                     감방동 수색
job_improvecellindoor                   실내 구역 청소
job_improvecelloutdoor                  실외 정원 관리
job_opendoor                            잠긴 문 열기
job_giveuniform                         죄수복 보급
job_failurecount                        *X회 실패
job_feedprisoner                        죄수 급식제공
job_healprisoner                        죄수 치료
job_delivermail                         우편물 전달
       
finances_title                          재정
finances_income                         수입
finances_expenses                       지출
finances_total                          총액
finances_profit                         순이익
finances_timewithoutincident            (*X 일)
finances_dailyincome                    *X / 하루

finances_category_federalgrant          정부 보조금
finances_category_minsecprisoners       저위험 죄수 보조금
finances_category_medsecprisoners       일반 죄수 보조금
finances_category_maxsecprisoners       고위험 죄수 보조금
finances_category_prisoners             죄수 보조금
finances_category_workmen               인부 임금
finances_category_guards                교도관 임금
finances_category_admin                 관리자 임금
finances_category_staff                 직원 임금
finances_category_food                  음식
finances_category_electricity           전기
finances_category_workshops             작업장
finances_category_loaninterest          대출 이자
finances_category_reformprogs           교정 프로그램
finances_category_noincident            무사고일
finances_category_exports               출하(어제)
finances_category_corptax               세금
finances_category_prisonerwages         죄수 임금(어제)
finances_category_shoprevenue           판매점 수익(어제)

reports_foodtitle                       급식 정책
meal_quantity                           음식의 양
meal_variety                            식단 다양성
meal_cost                               죄수 1인당 비용

reports_paroletitle                     가석방 기준
parole_title                            가석방 비율
parole_info                             가석방 컷오프: *P%
parole_desc                             죄수의 재범율이 이 수치를 넘지 않으면 가석방 청문회를 거쳐 출소하게 됩니다.
parole_fine                             재범 벌금
parole_reward                           조기 출소 보상

victory_title                           증명서

victory_PrisonValue                     교도소 가치
victory_Income                          일일 수익금
victory_Prisoners                       수용능력
victory_PrisonersReleased               출소 재소자
victory_prisonersdied                   수감 중 사망자
victory_prisonersescaped                탈옥한 죄수
victory_Bankrupt                        파산
victory_Riot                            통제불가\n폭동
