
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Новая игра
codex_timelapse_resolution				Разрешение
codex_timelapse_fps						Частота кадров
codex_timelapse_interval				Продолжительность записи
codex_timelapse_quality					Качество
codex_timelapse_unsupported				Эта функция недоступна на вашем компьютере.
codex_timelapse_savesettings			Сохранить настройки

codex_timelapse_cam_zoom                С приближением
codex_timelapse_cam_fitmap              Вся карта
codex_timelapse_cam_fitheight           По высоте карты
codex_timelapse_cam_fitwidth            По ширине карты
codex_timelapse_fps_value               *X FPS
codex_timelapse_quality_high            Высокий
codex_timelapse_quality_med             Средний
codex_timelapse_quality_low             Низкий
codex_timelapse_interval_value          *X мин.

codex_performance_running				Запущена проверка производительности
codex_performance_time					Осталось: *Tс
codex_performance_current				Текущее время построения кадра: *Tмс: *Tмс
codex_performance_min					Минимальное время построения кадра: *Tмс
codex_performance_avg					Среднее время построения кадра: *Tмс
codex_performance_max					Максимальное время построения кадра: *Tмс
codex_performance_numframes				Количество кадров: *T

codex_last_modified						Последние изменения: *T
codex_sortbydesc						Сортировка по дате
codex_sortname							Имя
codex_sortdate							Дата
codex_apply								Применить
codex_select                            Выбрать

codex_mods								Моды
codex_mod_activetitle					Активные моды
codex_mod_inactivetitle					Доступные моды
codex_mod_deactivate					Отключить все моды
codex_mod_wiki							Найти другие моды (Wiki)
codex_mod_openmodsfolder				Открыть папку с модами
codex_mod_moresteammods					Найти другие моды (Мастерская Steam)
codex_mod_findsteamtranslations         Найти другие переводы (Мастерская Steam)
codex_authortitle                       Автор
codex_versiontitle                      Версия
codex_datetitle                         Дата
codex_urltitle                          Ссылка
codex_typetitle							Тип
codex_mod_graphicsandsound				Графика и звук
codex_mod_translation					Перевод
codex_mod_scenario						Сценарий
codex_mod_content						Контент
codex_mod_load_scenario					Играть сценарий
codex_publishmod						Опубликовать мод

codex_mod_update						Обновить мод
codex_mod_published_good				Мод опубликован
codex_mod_published_good_msg			Ваш мод успешно опубликован.
codex_mod_published_bad					Не удалось опубликовать мод 
codex_mod_published_bad_msg				Ошибка при публикации вашего мода.
codex_mod_modsupdated					Мод обновлен
codex_mod_modsupdated_msg				Некоторые активные моды обновлены. Нажмите ОК, чтобы принять изменения. Игра сохранится автоматически.
codex_mod_translationcaption            Это перевод на другой язык?

codex_language                          Язык
codex_language_englishdefault           Английский (по умолчанию)
codex_language_default                  Язык по умолчанию
codex_language_download                 Загрузить
codex_language_failed_download          Не удалось загрузить перевод.
codex_language_failed_download_msg      Выбранный перевод не удалось загрузить.
codex_language_searching_workshop       Поиск в Мастерской Steam
codex_language_community                Эти переводы созданы и поддерживаются сообществом. Спасибо!!!

codex_save_confirm                      Уверены, что хотите записать текущую тюрьму поверх *X?
codex_researtchapter_confirm            Уверены, что хотите начать главу заново? Несохраненная игра будет потеряна.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message					Хотите сохранить эти настройки графики?  Отмена через 
graphicschange_time						 секунд.
graphicschange_accept					Принять
graphicschange_revert					Отменить

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title                    Отладчик (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title                   Ошибка при загрузке модов
modnotification_info                    Эти моды использовались во время сохранения текущей тюрьмы. Мы рекомендуем скачать и активировать их до загрузки этого сохранения.
modnotification_playnow                 Играть сейчас
modnotification_active                  Активен
modnotification_inactive                Неактивен
modnotification_new                     Новый
modnotification_unknown                 Неизвестно
modnotification_popup_title             Несоответствие модов
modnotification_popup_active            В настоящее время этот мод активен. Щелкните, чтобы отключить его.
modnotification_popup_inactive          В настоящее время этот мод неактивен. Щелкните, чтобы включить его.
modnotification_popup_new_url           Это новый мод. Щелкните, чтобы перейти на страницу мода в веб-браузере.
modnotification_popup_new_steam         Это новый мод из Steam. Нажмите, чтобы подписаться и скачать мод.
modnotification_popup_unknown           Нам не удалось определить, откуда этот мод. Вы можете найти и самостоятельно установить его.

# =============================================================================
# Biography
# =============================================================================

biography_search                        Остановить и обыскать
biography_selected                      ВЫБРАНО
biography_prisoner_name                 *S, *F
biography_prisoner_number               Заключенный №*X
biography_prisoner_age                  Возраст: *X
biography_prisoner_traits               Особые черты:
biography_prisoner_convicted            Осужден за *C (признал себя *P)
biography_prisoner_sentenced            Приговорен к *X годам заключения
biography_parole_now                    Может подавать ходатайство об УДО
biography_parole_later                  Может подавать ходатайство об УДО через *X лет
biography_prisoner_served               Отсидел *X лет
biography_prisoner_priors               Приводы:


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age							Возраст:
rapsheet_category						Категория:
rapsheet_traits							Особые черты:
rapsheet_conviction_text				*C - *Y лет
rapsheet_found_text						(Признал себя *P)
rapsheet_convictions					Судимости
rapsheet_misconductstitle				Последние нарушения
rapsheet_biography                      Биография
rapsheet_guilty							Виновным
rapsheet_notguilty						Невиновным
rapsheet_served							Отсидел
rapsheet_served_time					Отсидел (лет): *Y
rapsheet_time							из *Y
rapsheet_bio							Приговорен к *Y годам лишения свободы за *A.
rapsheet_bio_med						Приговорен к *Y годам лишения свободы за *A и *B.
rapsheet_bio_long						Приговорен к *Y годам лишения свободы за многочисленные преступления, включая *A, *B и *C.
rapsheet_category_minsec				Общий режим
rapsheet_category_normal				Средний режим
rapsheet_category_maxsec				Строгий режим
rapsheet_category_protected             Режим защитной изоляции
rapsheet_category_supermax              Сверхстрогий режим
rapsheet_category_deathrow              Смертник
rapsheet_tab_biography                  Биография
rapsheet_tab_experience                 Опыт
rapsheet_tab_grading                    Оценка
rapsheet_tab_character                  Характер
rapsheet_punish                         Наказать
rapsheet_recruit                        Завербовать информатора

rapsheet_timeinside                     *X дней в вашей тюрьме
rapsheet_timeinside_hours               *X часов в вашей тюрьме
rapsheet_mood                           Настроение
rapsheet_activity                       Времяпровождение
rapsheet_condition                      Состояние
rapsheet_program                        Программа
rapsheet_passchance                     Вероятность успеха
rapsheet_reformhistory                  Участие в программах реформы

rapsheet_reform_success                 Выполнено
rapsheet_reform_successcount            Прошел обучение *X раз
rapsheet_reform_failed                  Не выполнено
rapsheet_reform_failcount               Провалил обучение *X раз

rapsheet_grading_punishment             Наказание
rapsheet_grading_health                 Здоровье
rapsheet_grading_security               Охрана
rapsheet_grading_reform                 Реформа
rapsheet_grading_points                 *X очков: 
rapsheet_grading_penalties              *X штрафов: 

rapsheet_scheduleexecution              Назначить наказание


punish_lockdown_6                       В камеру на 6 часов
punish_lockdown_12                      В камеру на 12 часов
punish_lockdown_24                      В камеру на 24 часа
punish_solitary_6                       В карцер на 6 часов
punish_solitary_12                      В карцер на 12 часов
punish_solitary_24                      В карцер на 24 часа
punish_solitary_perm                    В карцер (бессрочно)
punish_lockdown_perm                    В камеру (бессрочно)
punish_solitary                         Карцер 
punish_lockdown                         Блокировка дверей
punish_none                             Отсутствует
punish_timer                            *X час. *Y мин.
punish_timer_minutes                    *X мин.
punish_active                           АКТИВНО
punish_permanent                        (бессрочно)
punish_end                              Прекратить исполнение наказания

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none                  Отсутствует
misconduct_reporttype_complaint             Недовольство
misconduct_reporttype_destruction           Погром
misconduct_reporttype_escapeattempt         Попытка побега
misconduct_reporttype_injuredprisoner       Нападение на заключенного
misconduct_reporttype_injuredstaff          Нападение на персонал
misconduct_reporttype_seriousinjury         Побои
misconduct_reporttype_murder                Убийство
misconduct_reporttype_contrabandweapons     Найдено оружие
misconduct_reporttype_contrabandtools       Найдены инструменты
misconduct_reporttype_contrabandnarcotics   Найдены наркотики
misconduct_reporttype_contrabandluxuries    Найдены предметы роскоши
misconduct_reporttype_intoxicated           Интоксикация
misconduct_title                             =[Нарушение дисциплины]=

misconduct_report_addiction                 Зависимость от *X
misconduct_report_recoving                  Идет лечение зависимости от *X
misconduct_report_alcoholic                 Алкоголик
misconduct_report_recovingalcoholic         Лечится от алкоголизма


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required                       Требуется *X для подготовки этого отчета.
research_requireunlock                  Необходимо изучить "*X", чтобы открыть этот отчет
research_approved                       ОДОБРЕНО
research_cost                           Стоимость: *X
research_costperitem                     + *X за каждый комплект.
research_timetounlock                   Время исследования: *X часов
research_movementpenalty                Уменьшает подвижность на *X%
research_protectionbonus                Увеличивает защиту на *X%
research_tap_to_authorise               ЩЕЛКНИТЕ ДЛЯ ПРОДОЛЖЕНИЯ

research_none                           Отсутствует
research_warden                         Начальник тюрьмы
research_maintainance                   Техническое обслуживание
research_security                       Охрана
research_legal                          Адвокат
research_mentalhealth                   Психолог
research_finance                        Финансы
research_landexpansion                  Расширение
research_cctv                           Наблюдение
research_riotguards                     ОМОН
research_health                         Здоровье
research_cleaning                       Уборка
research_groundskeeping                 Садоводство
research_clone                          Клонирование
research_deployment                     Расстановка
research_patrols                        Патрули
research_dogs                           Сторожевые псы
research_prisonlabour                   Трудоустройство заключенных
research_education                      Образование
research_contraband                     Разведка
research_policy                         Тюремные правила
research_armoury                        Оружейная комната
research_bodyarmour                     Бронежилеты
research_tazers                         Шокеры
research_tazersforeveryone              Шокеры для всех
research_bankloans                      Займы
research_lowertaxes1                    Налоговые льготы
research_lowertaxes2                    Офшоры
research_remoteaccess                   Удаленный доступ
research_extragrant                     Дополнительный грант
research_advancedmanagement             Микроменеджмент
research_deathrow                       Смертник
research_permanentpunishment            Бессрочное наказание
research_removemincellsize              Маленькие камеры
research_reduceexecutionliability       Уменьшение ответственности за казнь
research_legalprep                      Правовая подготовка
research_legaldefense                   Правовая защита

researchtooltip_warden                  Открывает Начальника тюрьмы и всю систему Бюрократии. Его можно нанять в панели Персонала.\n\nКак и всем сотрудникам администрации, начальнику тюрьмы требуется кабинет для работы.
researchtooltip_security                Открывает Начальника охраны. Его можно нанять в панели Персонала. Начальник охраны открывает доступ к экрану Расстановка, а также сообщает о текущем уровне опасности в тюрьме, часто предугадывая потенциальные проблемы.\n\nКак и всем сотрудникам администрации, ему требуется кабинет для работы.
researchtooltip_maintenance             Открывает Прораба. Его можно нанять в панели Персонала.\n\nКак и всем сотрудникам администрации, прорабу требуется кабинет для работы.
researchtooltip_legal                   Открывает Адвоката, которого можно нанять в панели Персонала. Дает доступ к ряду исследований для большей свободы в управлении тюрьмой.\n\nКак и всем сотрудникам администрации, адвокату требуется кабинет для работы.
researchtooltip_deployment              Позволяет назначать Охранников на посты в определенных секторах тюрьмы.
researchtooltip_patrols                 Позволяет прокладывать маршруты патрулирования в особо важных зонах тюрьмы (например, вдоль периметра) и назначать Охранников в патруль.
researchtooltip_dogs                    Открывает Кинологов и Сторожевых псов. Благодаря отличному нюху собаки могут находить контрабанду и скрытые туннели.\n\nКроме того, они с легкостью догонят убегающего Заключенного. 
researchtooltip_cctv                    Открывает Видеокамеры и Пульты наблюдения. С их помощью можно следить за неохраняемыми участками тюрьмы.\n\nТакже открывает Систему прослушки телефонов, которая позволит черпать важные сведения из телефонных звонков заключенных.
researchtooltip_remoteaccess            Открывает высокотехнологичное оборудование для удаленного доступа и автоматизации дверей. Теперь можно отпирать двери с помощью Системы управления дверьми (нужен Охранник) или Таймера двери в установленное время.
researchtooltip_riotguards              (В НАСТОЯЩЕЕ ВРЕМЯ НЕ ИСПОЛЬЗУЕТСЯ)\nОткрывает ОМОН. Эти парни хорошо вооружены и лучше справляются с чрезвычайными ситуациями.
researchtooltip_maintainance            Открывает Прораба. Дает доступ к новым исследованиям (Трудоустройство заключенных и пр.) и персоналу (Садовник и др.)\n\nКак и всем сотрудникам администрации, прорабу требуется кабинет для работы.
researchtooltip_clone                   Открывает инструмент клонирования на главной панели. С его помощью можно быстро скопировать участки тюрьмы, например камеры. Выберите зону для копирования, зажав правую кнопку мыши, а затем щелкните левой кнопкой мыши, чтобы создать копию.
researchtooltip_groundskeeping          Открывает Садовника. Он будет ухаживать за растениями и деревьями.
researchtooltip_cleaning                Открывает Уборщика. Он поддерживает чистоту во внутренних помещениях тюрьмы, а также помогает в тюремной прачечной.
researchtooltip_health                  Открывает Доктора, а также Лазарет и Морг. Доктор лечат всех раненых сотрудников и заключенных, доставленных в Лазарет.
researchtooltip_MentalHealth            Открывает Психолога. Он позволит отслеживать душевное состояние Заключенных.\n\nКак и всем сотрудникам администрации, психологу требуется кабинет для работы.
researchtooltip_finance                 Открывает Бухгалтера, который будет заниматься финансовой отчетностью.\n\nТакже позволяет тратить больше денег, чем предусмотрено дневным бюджетом, при условии что у вас есть средства в запасе.\n\nКак и всем сотрудникам администрации, бухгалтеру требуется кабинет для работы.
researchtooltip_landexpansion           Позволяет приобретать соседние участки земли, тем самым расширяя изначальную территорию тюрьмы. 
researchtooltip_prisonlabour            Позволяет назначать заключенных на тюремные работы (приготовление пищи, уборка и прочее). Тем самым вы экономите средства на зарплате персонала и увеличиваете доход, а заключенные получают новые полезные навыки.\n\nТакже открывает Мастерскую и Прачечную.
researchtooltip_education               Открывает возможность запуска образовательной программы для ваших заключенных. Учителей приглашают из-за пределов тюрьмы.
researchtooltip_contraband              Обучение Охранников для лучшего противодействия контрабандистам. Открывает Отчет о спросе и предложении, экран с данными о контрабанде (показывает все возможные источники на территории тюрьмы), а также позволяет отследить весь путь движения запрещенных предметов до тайника/места хищения.\n\nТакже дает возможность вербовать Тайных информаторов среди заключенных.\n\nКроме того, открывает экран информации о бандах.
researchtooltip_policy                  Открывает вкладку Правила на экране Отчеты. Здесь можно регулировать степень наказания за нарушение дисциплины, а также автоматически проводить обыск провинившегося заключенного и его камеры.\n\nПомимо этого, позволят вносить изменения в питание заключенных (количество и разнообразие пищи).
researchtooltip_armoury                 Открывает Оружейную комнату и позволяет нанимать Вооруженных охранников.
researchtooltip_bodyarmour              Оснащает всех Охранников, Вооруженных охранников и Кинологов бронежилетами. Они снижают урон во время драки, однако замедляют скорость передвижения охраны.\n\nОхранники могут получить бронежилет в Оружейной комнате. За каждый комплект взимается отдельная плата.
researchtooltip_tazers                  Позволяет Вооруженным охранникам пользоваться Шокерами. Это мощное однозарядное оружие способно временно нейтрализовать почти любую цель. Между каждым выстрелом Шокеру необходима зарядка (1 час). \n\nВооруженные охранники могут получить шокер в Оружейной комнате. За каждый комплект взимается отдельная плата.
researchtooltip_tazersforeveryone       Расширенная программа позволит обычным Охранникам применять Шокеры для самозащиты.\n\nОхранники могут получить шокер в Оружейной комнате. За каждый комплект взимается отдельная плата.
researchtooltip_bankloans               Позволяет брать крупные суммы в кредит у банка в обмен на ежедневную выплату процентов. Своевременная выплата займа повышает кредитный рейтинг, что в будущем откроет путь к более крупным ссудам.
researchtooltip_lowertaxes1             Открывает возможность использовать налоговые льготы для снижения эффективной ставки корпоративного налога до 15%.\n\nВы сэкономите $1 500 с каждых $10 000 ежедневной прибыли.
researchtooltip_lowertaxes2             Используя налоговые лазейки, ваш бухгалтер переводит все счета заграницу, где можно рассчитывать на более щадящие условия налогообложения. Эффективная ставка корпоративного налога упадет до 1%.\n\nВы сэкономите $3 000 с каждых $10 000 ежедневной прибыли.
researchtooltip_extragrant              Позволяет одновременно принимать три гранта вместо двух.
researchtooltip_advancedmanagement      Дает инструменты для более полного контроля над всеми нюансами управления тюрьмой.\n\nОткрывает раздел Логистики для контроля над питанием, где вы можете назначить связки Кухня — Столовая и распределить заключенных по столовым. Аналогичным образом можно выбрать связку Прачечная — Тюремный блок.\n\nТакже открывает Расписание расстановки, которое позволит распределять охранников по зонам в выбранное время дня.\n\nОткрывает Расписание программ реформы, где можно вносить правки в ежедневный распорядок программ.
researchtooltip_permanentpunishment     Иногда одних тюремных стен недостаточно. Ваш адвокат может подать необходимые документы, которые позволят бессрочно запирать заключенных в камере. 
researchtooltip_removemincellsize       Размер тюремных камер должен соответствовать установленным стандартам. Но только представьте, сколько камер можно было бы построить, не будь этих правил! Это исследование отменяет ограничения на минимальный размер стандартной камеры.
researchtooltip_reduceexecutionliability Ваш адвокат лоббирует принятие поправок для облегчения процедуры отправки заключенных на смертную казнь. Они существенно сокращают количество апелляций, на которые может рассчитывать осужденный до отправки на электрический стул, а также уменьшает вашу ответственность в случае ошибки.
researchtooltip_legalprep               Время от времени в любой тюрьме возникают проблемы, и некоторые из них влекут за собой весьма неприятные юридические последствия. Ваш адвокат начнет готовить бумаги, чтобы в случае чего отвести от вас огонь. Займитесь изучением заранее.
researchtooltip_legaldefense            Вы попали в очень неприятный переплет, который может стоить вам карьеры. Если справиться самостоятельно нельзя, адвокат поможет решить проблему. Это исследование аннулирует все текущие предупреждения. 

research_legaldefense_adviser1          Похоже, адвокат успел прикрыть тебе зад своими бумагами. Значит, я не могу тебя уволить. На этот раз.
research_legaldefense_adviser2          Быстро приведи тюрьму в порядок, и чтобы я больше не слышал о подобных проблемах. Твои бумажки не смогут защищать тебя вечно.

research_missingadministrator           ТРЕБУЕТСЯ:



# =============================================================================
# Room Requirements
# =============================================================================

roomrequirement_required                ТРЕБУЕТСЯ:
roomrequirement_recommended             Рекомендуется: 
roomrequirement_minimumsize             Минимальный размер *W x *H
roomrequirement_minimumsize_short	Размер *W x *H
roomrequirement_indoor                  В помещении
roomrequirement_outdoor                 На улице
roomrequirement_solidground             Твердая поверхность
roomrequirement_secure                  Безопасное (не менее одной двери)
roomrequirement_secure_short		Безопасное
roomrequirement_enclosed                Замкнутое пространство со стенами и дверями
roomrequirement_enclosed_short		Замкнутое
requirement_entrance                    Нужна дверь
roomrequirement_title                    =[Требования к помещению]=
roomrequirement_passed                  [ВЫПОЛНЕНО]
roomrequirement_failed                  [НЕ ВЫПОЛНЕНО]
roomrequirement_adjacentobject          Примыкает к комнате:

# =============================================================================
# Unlocks
# =============================================================================

unlock_title                            ОТКРЫТО

unlock_special_electricity              Система электроснабжения
unlock_special_food                     Приготовление еды
unlock_special_officersafety            Безопасность службы охраны
unlock_special_misbehavior              Нарушение порядка
unlock_special_accounting               Бухгалтерия
unlock_special_gangs                    Банды

unlock_electricity_caption              Позволяет строить генераторы и прокладывать кабели для подключения необходимых электроприборов.


# =============================================================================
# Advisers
# =============================================================================

click_to_continue                       Щелкните для продолжения...
incoming_call                           Входящий звонок...

adviser_name_unknown                    Неизвестно
adviser_name_ceo                        Директор
adviser_name_warden                     Начальник тюрьмы
adviser_name_governer                   Губернатор
adviser_name_chief                      Начальник охраны
adviser_name_doctor                     Доктор
adviser_name_kingpin                    Авторитет
adviser_name_edwardshooter              Эдвард
adviser_name_edwardsinner               Эдвард
adviser_name_edwardinmate               Эдвард
adviser_name_edwardswife                Жена Эдварда, Сьюзан
adviser_name_priest                     Священник
adviser_name_newsreader                 Новости CNDC 
adviser_name_mayor 						Мэр Кэлвин Хэллер


# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff                            Персонал
report_prisoners                        Заключенные
report_jobs                             Работы
report_needs                            Нужды
report_threats                          Угрозы
report_regime                           Режим
report_policy                           Правила
report_grants                           Гранты
report_finance                          Финансы
report_valuation                        Оценка
report_contraband                       Контрабанда
report_programs                         Программы
report_schedule                         Планировщик
report_intake                           Прибытие

report_grants_bankloan                  Займы
report_grants_bankloan_text             Вы можете взять крупный заем в банке. Ежедневная сумма погашения кредита устанавливается банком. Ее необходимо платить из ежедневной прибыли.\n\nЕсли выплаты по кредиту происходят регулярно, ваш кредитный рейтинг будет расти, и банк позволит вам брать более крупные суммы. Однако в случае невыплаты кредитный рейтинг обнуляется, и при новом обращении банк откажется выдавать нужную ссуду.\n\nОбратите внимание, что кредит нельзя закрыть, ежедневно оплачивая только начисленные проценты.
report_grants_max1                      Вы можете одновременно принять только один грант.\nНаймите бухгалтера, чтобы увеличить лимит.
report_grants_max2                      Вы можете одновременно принять не более двух грантов.\nНаймите бухгалтера, чтобы увеличить лимит.
report_grants_max3                      Вы можете одновременно принять не более трех грантов.
report_grants_bankloan_amount           Текущий заем: *X
report_grants_bankloan_interest         Выплата по процентам: *X в день
report_grants_bankloan_max              Максимальный размер займа: *X
report_grants_creditrating              Ваш кредитный рейтинг: *X
report_grants_inprogress_tt             (В процессе)
report_grants_completed_tt              (ЗАВЕРШЕН)
report_grants_locked_tt                 (ЗАБЛОКИРОВАН)
report_grants_advancepayment            *X$ Авансовый платеж
report_grants_completionbonus           *X$ Премиальный бонус
report_grants_objectives                [Задачи]
report_grants_prereqs                   [Необходимые условия]
report_grants_completed                 ЗАВЕРШЕНО
report_grants_locked                    Заблокировано
report_grants_inprogress                В процессе
report_grants_hidden                    (еще *X скрыто)
report_grants_taptoaccept               ЩЕЛКНИТЕ, ЧТОБЫ ПРИНЯТЬ
report_grants_cancelfee                 Стоимость отмены: *X

report_staff_title                      Всего сотрудников: *X
report_prisoners_title                  Всего заключенных: *X
report_staff_group_builders             Рабочие
report_staff_group_guards               Охранники
report_staff_group_staff                Персонал
report_staff_group_administrators       Администрация
report_staff_group_prisoners            Заключенные
report_staff_group_prisoners_high       Опасные
report_staff_group_prisoners_normal     Нормальные 
report_staff_group_prisoners_low        Спокойные
report_staff_group_prisoners_protected  Режим защитной изоляции
report_staff_group_prisoners_supermax   Сверхстрогий режим
report_staff_group_prisoners_deathrow   Смертник

report_staff_fire                       УВОЛИТЬ

report_intake_title                     Прибытие
report_intake_catheader_cat             Категория
report_intake_catheader_pay             Оплата
report_intake_catheader_available       Доступно
report_intake_catheader_amount          Соотношение
report_intake_next_header               Следующее прибытие: *X чел.
report_intake_cat_minsec                Общий режим
report_intake_cat_normal                Средний режим
report_intake_cat_maxsec                Строгий режим
report_intake_cat_deathrow              Смертник
report_intake_slider_minsec             Выберите соотношение прибывающих для содержания в зоне общего режима
report_intake_slider_normal             Выберите соотношение прибывающих для содержания в зоне среднего режима
report_intake_slider_maxsec             Выберите соотношение прибывающих для содержания в зоне строгого режима
report_intake_slider_deathrow           Выберите соотношение прибывающих для содержания в зоне для смертников
report_intake_closed                    ЗАКРЫТО
report_intake_locked                    НЕДОСТУПНО
report_intakemaxperdaydesc              Прибудет в день
report_intakemaxperdaydesc_tooltip      Общее количество заключенных, которых привезут в следующий раз.
report_intakemaxperdaydecr              <<
report_intakemaxperdayincr              >>
report_intakemaxperdaynone              Отсутствует
report_intakemaxperdayall               Все
reports_intakedelivernow                Доставить сейчас
report_intakepayment                    Оплата
report_intakeall                        ВСЕ
report_intake_list_tooltip_title        Категории прибывающих
report_intake_list_tooltip              Список всех категорий, доступных в вашей тюрьме.\n\nВ каждой категории указано число доступных заключенных. Со временем число будет расти в зависимости от соотношения ползунков.\n\nВы можете настроить ползунки, чтобы отрегулировать соотношение заключенных в следующей партии.
report_intake_list_tooltip_dr           \n\nДля смертников требуются специальные камеры. Только после этого их могут привезти в вашу тюрьму. На доставку смертников требуется значительно больше времени, чем на обычных заключенных, поэтому не стоит рассчитывать на прирост их числа. Эти заключенные — редкость.
report_intake_buttons_tooltip_title     Следующее прибытие
report_intake_buttons_tooltip           В этой части экрана можно увеличить или уменьшить количество заключенных, которые прибудут в следующий раз.\n\nВыберите "0", если вы не хотите получать заключенных или "Все", чтобы в тюрьму привезли всех доступных заключенных.\n\nЧисло заключенных в каждой категории можно настроить с помощью ползунков в верхней части этого экрана.
