
campaigncutscene_tooltip 				(Cliquer pour déclencher le chapitre suivant de l'histoire)
adviser_riot_assault5					Je l'ai fait pour l'argent. Mais LUI l'a fait pour rester élu. Plus vous passez de temps en prison, et plus il reçoit de votes.
adviser_riot_assault6					De qui tu parles ?
adviser_riot_assault7					Le maire Heller. C'était son plan. Moi, je graissais juste les rouages.
adviser_riot_assault7b 					Ce dossier constituait la preuve qui pouvait briser sa carrière.
adviser_riot_assault8					C'est pas vrai...
adviser_riot_assault9 					Mais qu'est-ce que...
adviser_riot_assault9b					Ils arrivent, attention !
adviser_riot_assault10					JE VOUS AVAIS PRÉVENUS, BORDEL !

# Riot Objectives and help text

adviser_name_negotiator 				Le négociateur

adviser_riot_negotiator1 				C'est devenu hors contrôle ici. Plus personne ne commande quoi que ce soit.
adviser_riot_negotiator2 				On a perdu plein d'hommes, et les gardiens restants ne suffisaient pas. On a dû se replier jusqu'au périmètre de sécurité.
adviser_riot_negotiator3 				Décidez quoi faire, et stoppez l'émeute avant que ça n'empire encore.
adviser_riot_negotiator4 				Les policiers antiémeutes devraient arriver d'ici quelques minutes.

adviser_riot_firstreinforcements1 		La première équipe d'intervention est arrivée.
adviser_riot_firstreinforcements2 	 	Ce sont des gardiens antiémeutes, ils sont beaucoup mieux protégés. Commencez à recapturer les ailes perdues avec ces types.
adviser_riot_firstreinforcements3 		Des urgentistes sont aussi arrivés d'un hôpital d'état proche.
adviser_riot_firstreinforcements4 		Je suggère que vous les utilisiez pour soigner les gardiens antiémeutes à mesure qu'ils reprennent la prison.

objective_Riot_StopTheRiot 				Stopper l'émeute
objective_Riot_StopTheRiot_description  Personne ne contrôle quoi que ce soit. Vous devez décider quoi faire.

adviser_riot_helleradvice1				J'imagine que c'est à l'adjoint du PDG que je parle.
adviser_riot_helleradvice2 				Je réalise que c'est un moment très délicat et que nos actions à tous seront particulièrement observées. Soyez certain que vous disposez de mon complet soutien et de toutes les ressources disponibles.
adviser_riot_deployguards1				On a pris un point d'appui et regagné une partie de la prison. Et les pertes humaines sont jusqu'alors totalement justifiables.
adviser_riot_deployguards2				Mais avant de continuer et de recapturer le reste de la prison, vous feriez mieux de sécuriser les ailes reprises.
adviser_riot_deployguards3				Engagez des gardiens et affectez-les aux secteurs recapturés à partir de l'écran de déploiement. Ils s'assureront que les ailes reprises le restent.
adviser_riot_deployguards4 				Quand vous vous en serez occupé, allez recapturer les zones restantes et éliminez ces monstres. On ne peut pas réinsérer ces animaux. Ni négocier avec eux.
adviser_riot_deployguards5 				Je travaille de mon côté à l'autorisation d'une équipe d'intervention armée. Elle mettra très vite un terme à tout ça.

adviser_riot_infirmary1 				Il y a des blessés partout dans la prison, et il y en aura d'autres encore, c'est sûr. On ne peut pas les laisser mourir d'hémorragie.
adviser_riot_infirmary2 				Construisez une infirmerie quelque part sur le site, et engagez des docteurs pour soigner les blessés.
adviser_riot_infirmary3 				On a vu pas mal de corps, aussi. Par simple dignité, nous devons leur construire une morgue et commencer à les y amener.
adviser_riot_infirmary4					Vous allez devoir engager des ouvriers pour les travaux de construction. Assurez bien leur protection.

objective_Riot_ResecureWings 			Engager des gardiens et les affecter aux zones recapturées
objective_riot_medicalneeds				(OPTIONNEL) S'occuper des besoins médicaux de votre prison
objective_Riot_Infirmary				(OPTIONNEL) Construire une infirmerie et soigner les blessés
objective_Riot_Morgue 					(OPTIONNEL) Construire une morgue et y amener les morts
objective_Riot_SecureGenPop				Recapturer l'aile générale (centrale)
objective_Riot_SecureSpecialWing		Recapturer l'aile spéciale (ouest)
objective_Riot_SecureMaxSec				Recapturer l'aile à haute sécurité (sud)
objective_riot_putoutfires				Maîtriser l'incendie

adviser_riot_secondreinforcements1		Des gardiens antiémeutes supplémentaires sont arrivés.

adviser_riot_armedreinforcements1		Le maire a appelé un commissariat proche. Des policiers armés sont arrivés.
adviser_riot_armedreinforcements2		Attention avec ces types. Si vous les laissez faire, les choses peuvent facilement tourner au bain de sang.
adviser_riot_armedreinforcements3		D'un autre côté, les prisonniers préfèreront peut-être se rendre quand ils les verront arriver.

adviser_riot_reinforcementsunlocked1 	Le plus gros des renforts est maintenant arrivé.
adviser_riot_reinforcementsunlocked2 	Vous pouvez désormais appeler autant de policiers antiémeutes et d'urgentistes que vous voulez à partir de la barre d'outils Urgences.

adviser_riot_cleanup1                   L'établissement est sous contrôle, et les émeutiers ont été éliminés. Les choses auraient pu beaucoup plus mal tourner.
adviser_riot_cleanup2                   Une grosse opération de nettoyage nous attend. J'aimerais beaucoup que vous m'aidiez, si vous avez le temps.
adviser_riot_cleanup2b 					Il n'y a pas d'équipe de construction fixe ici. Commencez donc par engager de nouveaux ouvriers pour réparer l'endroit.
adviser_riot_cleanup3                   J'ai toujours pensé que la sécurité était beaucoup trop relâchée ici. On leur a laissé trop de libertés, et trop longtemps. Mais aujourd'hui, c'est terminé.
adviser_riot_cleanup4                   Construisez-nous une nouvelle armurerie. Déployez ensuite des gardiens armés à des endroits stratégiques tout autour de la prison. La prochaine fois que les prisonniers voudront nous causer des ennuis, ils y réfléchiront à deux fois.
adviser_riot_cleanup5                   Je débloque également les fonds pour fournir des gilets tactiques à tous nos gardiens. Nos hommes doivent pouvoir se défendre seuls.
adviser_riot_cleanup6                   Ces prisonniers ont besoin de discipline. D'ordre. Je suggèrerais de leur faire nettoyer tout le bordel qu'ils ont mis.
adviser_riot_cleanup7                   Instaurons un programme de travail punitif pour nos prisonniers. Affectez-les au nettoyage de la prison et à la buanderie.
adviser_riot_cleanup7b                  Vous pouvez affecter les prisonniers au travail à partir de la barre d'outils, dans Logistique. Passez le curseur sur l'objectif en évidence pour afficher comment faire.
adviser_riot_cleanup8                   Il y a d'autres choses à faire également. De nombreux prisonniers ont besoin d'une bonne leçon. Construisez une section d'isolement dans une nouvelle aile.
adviser_riot_cleanup8b                  Nos gardiens s'occuperont de mettre les détenus en isolement si nécessaire. L'isolement permet aux prisonniers de réfléchir à ce qu'ils ont fait, et leur rappelle qui commande ici.
adviser_riot_cleanup9                   Et n'oublions pas les membres du personnel. Eux aussi ont été mis à rude épreuve. Ils sont épuisés.
adviser_riot_cleanup9b 					Construisez-leur une salle du personnel pour leur permettre de récupérer.
adviser_riot_cleanup10                  Il faut en plus rester dans les limites du budget. Vérifiez bien que notre solde et que notre flux de trésorerie restent dans le vert.
adviser_riot_cleanup10b 				Il est beaucoup moins cher de faire travailler les prisonniers que de faire appel à des contractuels, ayez donc recours autant que possible au travail carcéral pour le nettoyage, la buanderie ou autres.
adviser_riot_cleanup11                  Il y a beaucoup à faire. Nous apprécions vraiment votre aide.
adviser_riot_cleanup12                  Quand vous penserez en avoir assez fait et que vous voudrez continuer, cliquez sur le polaroïd du portail principal.

adviser_riot_cleanup13 					Excellent travail. Je pense que la sécurité de l'établissement a bien meilleure allure à présent.

objective_riot_solitary 				(OPTIONNEL) Construire une aile d'isolement et commencer à punir les émeutiers
objective_riot_armoury 					(OPTIONNEL) Instaurer de nouveaux protocoles de sécurité
objective_riot_armoury_research			Déverrouiller l'armurerie dans Administration
objective_riot_armoury_build 			Construire une armurerie (dans un endroit sûr)
objective_riot_armoury_deploy			Déployer des gardiens armés dans l'aile à haute sécurité
objective_riot_armoury_armour 			Déverrouiller le gilet tactique pour tout le personnel de sécurité
objective_riot_armoury_tazers 			Déverrouiller les tasers pour vos gardiens armés
objective_riot_staffroom 				(OPTIONNEL) Construire une salle du personnel
objective_riot_balancebooks 			(OPTIONNEL) Équilibrer les comptes
objective_riot_balancebooks_balance 	Disposer d'un solde bancaire positif
objective_riot_balancebooks_cashflow 	Disposer d'un flux de trésorerie positif
objective_riot_prisonerwork				(OPTIONNEL) Instaurer un programme de travail punitif

objective_riot_cleaningcupboard			Construire une salle de nettoyage
objective_riot_laundry					Construire une buanderie
objective_riot_inmatesincleaning 		Affecter des détenus au nettoyage
objective_riot_inmatesinlaundry			Affecter des détenus à la buanderie
objective_riot_cleanprison 				Nettoyer la prison
objective_riot_providelaundry			Fournir du linge propre

objective_riot_armoury_research_description		L'icône d'administration est juste au-dessus de la liste des tâches. Cliquez pour commencer à travailler sur l'armurerie. Votre chef de la sécurité s'occupera de la paperasse.
objective_riot_armoury_deploy_description       Pour déployer des gardiens armés, allez dans Déploiement puis dans « Patrouilles armées ». Cliquez puis faites glisser pour définir les trajets, puis cliquez à nouveau sur les patrouilles pour y affecter des gardiens.
objective_riot_armoury_guardtazers_description  Regardez dans Rapports / Programmes, vous verrez « Entraînement des gardiens au taser ».\n\nVos gardiens devront suivre une formation pour utiliser des tasers. Vous devrez construire une salle de classe pour dispenser cette formation.
objective_riot_prisonerwork_description         Pour affecter des prisonniers au travail, allez dans Logistique puis dans « Travail carcéral ». Cliquez pour ajouter des postes à toute pièce en vert.\n\nVous devez également spécifier les horaires de travail des prisonniers. Allez dans Rapports / Régime, et ajoutez les heures de « travail » de la journée. Les détenus travailleront s'il se trouve des tâches à effectuer pendant ces horaires.

objective_Riot_PlayerExitsMap			Cliquez sur le polaroïd au-dehors du portail principal lorsque vous aurez terminé.


# =============================================================================
# Conviction
# =============================================================================

campaigncutscene_convictionheist        Attaque
campaigncutscene_convictionmorgan       Morgan
campaigncutscene_convictionvisitation   Visite
campaigncutscene_convictionsuicide      Suicide

campaignchapter_conviction              Condamnation
campaignchapter_conviction_description  L'un des détenus est suicidaire. Il est en surveillance préventive. Henry Morgan, le complice de Benedict. Il n'a tiré que treize mois sur une peine de cinq ans. Aidez-nous à nous occuper de ces hommes.

adviser_name_benedictarmed              Benedict
adviser_name_morgan                     Henry Morgan
adviser_name_morganarmed				Henry Morgan
adviser_name_morganhappy                Henry Morgan
adviser_name_senator                    Sénateur Walter Hurst
adviser_name_detective                  Commissaire
adviser_name_kerry 						Amy Morgan
adviser_name_hurst 						Docteur Walter Hurst
adviser_name_keane 						Agent Keane

adviser_conviction_heist1               Chope le pognon, gamin !
adviser_conviction_heist2               Lâchez vos armes immédiatement !
adviser_conviction_heist2b				Oh merde !
adviser_conviction_heist3               Tire, bon sang !
adviser_conviction_heist4               T'attends quoi bordel ? Mais tire, lopette !
adviser_conviction_heist6               Espèces de fils de putes !
adviser_conviction_heist7               Tirez pas ! Tirez pas !
adviser_conviction_heist8               MAINS EN L'AIR CONNARDS !
adviser_conviction_heist9               Fais exactement ce que je fais, pigé ?
adviser_conviction_heist10              Merde, merde, MERDE !
adviser_conviction_heist11              Tirez pas ! TIREZ PAS !

conviction_intro_1                      Après la tragédie de la prison d'état d'Alchemico, nous sommes sous étroite surveillance politique.
conviction_intro_2                      En attendant qu'on trouve un remplaçant au poste de PDG, j'aimerais que vous preniez les reines.
conviction_intro_3                      Il y a eu toute une série de suicides récemment dans cet établissement, et ce n'est pas dur de voir pourquoi. Mais nous devons d'abord régler un problème plus immédiat.
conviction_intro_4                      La direction a décidé de nous envoyer un important groupe de détenus. Les premiers arrivent demain et nous n'avons nulle part où les loger.
conviction_intro_5                      Nous devons construire un tout nouveau bloc de cellules. Assez grand pour accueillir la nouvelle admission.
conviction_intro_5b 					J'ai indiqué ici le plan possible du prochain bloc de cellules. Il devrait nous offrir assez de cellules pour héberger les nouveaux prisonniers. Les douches sont également indiquées.
conviction_intro_5c 					À vous de voir si vous voulez suivre ces plans ou si vous voulez construire quelque chose de complètement différent.
conviction_intro_6                      Mon travail consiste à m'assurer du bien-être de ces hommes. Construisez d'abord ce nouveau bloc de cellules, et nous verrons ensuite comment y parvenir.

unused_conviction_intro_4                      L'un des détenus est suicidaire. Il est en surveillance préventive. Henry Morgan, le complice de Benedict. Treize mois de tirés sur une peine de cinq ans.
unused_conviction_intro_7						Je veux aller lui parler. On ne peut pas se permettre un nouveau suicide.

conviction_workintro1                   On a suffisamment maltraité ces hommes. C'est fini à présent.
conviction_workintro2                   Le PDG précédent ne croyait pas à la réhabilitation. Mais ce que je pense moi, c'est qu'il faut rendre à ces hommes l'espoir d'un avenir.
conviction_workintro3                   Nous devons leur fournir ce qui leur faudra à leur libération. Une éducation et des compétences de base.
conviction_workintro4                   Commençons par un programme d'apprentissage. Formez ces hommes à de vrais métiers. Ils pourront ainsi se tourner vers l'avenir.

Ces hommes n'ont plus rien d'humain. Nous devons leur redonner le sens des valeurs.
conviction_hurst1 						Le manque d'engagement ici est tout simplement répugnant. Ces hommes sont totalement démunis de la moindre parcelle d'humanité.
conviction_hurst2 						On leur accorde à peine le moindre respect ou la moindre compassion.
conviction_hurst3 						Ce n'est pas ce que ces hommes méritent.
conviction_hurst4 						C'est vrai capitaine. On ne traite pas ainsi des êtres humains.
conviction_hurst4b 						Comment pourraient-ils se conformer à nos règles ? C'est normal qu'ils agissent mal.
conviction_hurst4c						Nous devons aider ces hommes. Il nous faut des salles de classe et des programmes de réhabilitation. Un atelier aussi, pour qu'ils puissent retirer de la fierté de ce qu'ils font.
conviction_hurst6 						Vous ne m'avez pas compris docteur. Ces hommes ne sont pas humains. Voyez par vous-même.
conviction_hurst6b 						Détenu Morgan ! Debout !
conviction_hurst7 						Debout, Morgan. Y'a de la visite.
conviction_hurst8 						La réhabilitation, hein ? On aurait bien meilleur compte d'enseigner le banjo à des singes.

conviction_hurst10 						Comment tu t'appelles, mon gars ?
conviction_hurst10b                     On t'a posé une question.
conviction_hurst11 						Henry, monsieur.
conviction_hurst12 						Il doit faire froid ici, Henry.
conviction_hurst13 						Les lits sont pleins de poux, monsieur. Ils me bouffent tout cru. La chemise bloque les rats. J'en ai jamais vu d'aussi gros.
conviction_hurst14 						Faites venir Walter.
conviction_hurst15 						Comment dormez-vous ?
conviction_hurst16 						Je dors pas. La seule chose que je fais ici, c'est réfléchir. Y'a plein de temps pour réfléchir.
conviction_hurst16b                     Et à quoi réfléchissez-vous ?
conviction_hurst16c                     À mourir principalement. Et à ma petite fille.
conviction_hurst17 						Ce sera dur pour elle aussi, Henry. Il va falloir être fort.
conviction_hurst18 						J'ai jamais quitté la taule de toute sa vie. Elle sait même pas que j'existe.
conviction_hurst19 						Il n'est jamais trop tard pour changer de vie, Henry.
conviction_hurst19b 					J'essaierai de revenir vous voir un jour.
conviction_hurst20 						Oui monsieur. Merci monsieur.
conviction_hurst21 						On peut s'occuper de ces rats ? Ce n'est pas le tiers-monde, ici.
conviction_hurst22 						Je vais faire amener de la mort-aux-rats.

conviction_visitationintro_1            Je suis parvenu à convaincre le chef de faire une exception pour la famille de Morgan.

conviction_visitation_0					Bonjour monsieur. Amy Morgan. Je suis là pour voir Henry Morgan.
conviction_visitation_1					Derrière la ligne.
conviction_visitation_2 				Oh pardon. Je suis venue voir Henry. Henry Morgan. C'est mon mari.
conviction_visitation_3 				Je ne le répèterai pas. Derrière la ligne. Tout de suite.
conviction_visitation_4 				Oui monsieur. Pardon monsieur.
conviction_visitation_5 				OK. Avancez. On n'a pas toute la journée.
conviction_visitation_6					Nom.
conviction_visitation_7					Amy Morgan, monsieur. Je suis là pour voir Henry Morgan. Et voici sa petite fille.
conviction_visitation_8					C'est ce que vous lui racontez en tous cas, pas vrai ? Allez, passez.
conviction_visitation_8a                Amy !
conviction_visitation_9					J'ai bien peur qu'il y ait eu une erreur. Morgan a perdu ses droits de visite.
conviction_visitation_9b 				Quoi ?
conviction_visitation_9c 				Je suis navrée. On a découvert de l'alcool ce matin dans sa cellule. Je ne peux rien y faire.
conviction_visitation_10				Ça m'a pris deux heures pour arriver ici. Ma fille pleure. Vous pourriez faire un effort.
conviction_visitation_11				C'est ce que je viens de faire. Je reviens tout juste du jogging. Et mon docteur m'a demandé de ne pas trop forcer. Pas plus d'efforts pour la journée.
conviction_visitation_12				Donnez-lui ceci s'il vous plaît.
conviction_visitation_13                OK. Il ne pourra pas recevoir de visites pendant un bon bout de temps. Un message ?
conviction_visitation_14                Non. Pas de message.

conviction_visitation_angrymorgan0		Non !
conviction_visitation_angrymorgan1		Attendez !
conviction_visitation_angrymorgan2		Vous ne pouvez pas faire ça !
conviction_visitation_angrymorgan3		Laissez-moi lui parler !
conviction_visitation_angrymorgan4		Espèces de salauds !

conviction_helpinmates_1                C'est terrible.
conviction_helpinmates_2                C'est si difficile de trouver de vrais moyens d'aider ces hommes.
conviction_helpinmates_3                Il va falloir s'occuper d'un bon parloir je crois. Les familles font la queue à l'entrée et on n'arrive clairement pas à gérer le nombre de visiteurs.
conviction_helpinmates_4                Concevez un tout nouveau parloir. Je crois que nous en verrons les avantages malgré ce qui est arrivé à Morgan. Et ce n'est pas le seul détenu ici qui ait de la famille.
conviction_helpinmates_5                J'ai mené ma petite enquête et je suis arrivé à la surprenante conclusion que la plupart de ces hommes savent à peine lire ou compter. Il faut y remédier.
conviction_helpinmates_6                Ouvrez un ensemble de salles de classe et invitons des professeurs à leur enseigner les bases. Sans éducation, ces détenus sont condamnés à une vie de crime.
conviction_helpinmates_7                Et ne nous laissons pas déborder par l'arrivée de nouveaux prisonniers. Continuez à bien améliorer notre capacité d'accueil et offrez une cellule décente à chaque prisonnier.

conviction_outro1                       Je crois que nous avons vraiment fait progresser les choses. Nous avons donné un objectif à ces détenus, et un espoir d'avenir.
conviction_outro2                       Vous pouvez rester et voir le premier groupe de détenus suivre les programmes de formation et d'éducation si vous le souhaitez.
conviction_outro3                       Mais je pense que nous pouvons nous en sortir seuls à présent. Cliquez sur le polaroïd de la cellule de Morgan quand vous serez prêt à partir.

conviction_secondvisit_1                J'espérais vous voir à l'une de mes séances.
conviction_secondvisit_2                J'y arrive pas. Je peux plus rester dans ce trou à rats.
conviction_secondvisit_3                Vivez simplement les choses au jour le jour.
conviction_secondvisit_4                Je veux dire dans cet endroit. Là-dedans. Et là-dehors. Ils veulent pas me laisser voir ma famille. J'ai fait une connerie, monsieur, et ils vont rien faire du tout.
conviction_secondvisit_5                Ça va aller, Henry. Je suis avec vous.
conviction_secondvisit_6                C'est marrant. Il disait exactement la même chose.
conviction_secondvisit_7                Qui, Henry ? Vous pouvez me le dire.
conviction_secondvisit_8                Il veillait sur moi.
conviction_secondvisit_9                Depuis qu'on était mômes.
conviction_secondvisit_10               Flippe surtout pas, Henry. Quoi qu'il arrive.
conviction_secondvisit_11               Je suis avec toi.
conviction_secondvisit_11b 				Avec moi ?
conviction_secondvisit_12               Il n'est plus là du tout.
conviction_secondvisit_13               Je vais passer un accord avec vous. Venez dans mon prochain groupe et je verrai si je peux assouplir vos droits de visite.
conviction_secondvisit_14               Vous feriez ça pour moi, monsieur ?
conviction_secondvisit_15               Ce ne serait pas que pour vous, Henry.

conviction_suicide_1 					Pardon monsieur, mais c'est important que vous le sachiez. Il y a eu un nouveau suicide.
conviction_suicide_2					Un prisonnier a semble-t-il avalé de la mort-aux-rats.
conviction_suicide_3					Le docteur Hurst est en route pour confirmer.
conviction_suicide_4					N'est-elle pas la plus jolie chose que vous ayez jamais vue ?
conviction_suicide_5					Peut-être, oui.
conviction_suicide_6					Il n'est jamais trop tard pour changer de vie, monsieur.

objective_conviction_expandcapacity50			S'occuper de la nouvelle admission de prisonniers
objective_conviction_expandcapacity50_description	Vous pouvez voir un agencement possible de nouveau bloc de cellules en passant en mode Planification à partir de la barre d'outils principale.
objective_conviction_expandcapacity_cells	 	Construire des cellules pour 40 détenus
objective_conviction_expandcapacity_shower		Construire une zone de douches
objective_conviction_expandcapacity_yard		Construire une cour
objective_conviction_expandcapacity_intake		Attendre le moment de la prochaine admission

objective_conviction_workprogram 				Offrir une formation au travail
objective_conviction_unlocklabour				Déverrouiller Travail carcéral dans Administration
objective_conviction_work_trainkitchen			(OPTIONNEL) Former 5 détenus à Salubrité et hygiène culinaire
objective_conviction_work_kitchen				Faire travailler des détenus dans la cuisine
objective_conviction_work_workshop				Construire un atelier
objective_conviction_work_trainworkshop			(OPTIONNEL) Former 10 détenus à Sûreté et sécurité à l'atelier
objective_conviction_work_assignworkshop		Faire travailler des détenus à l'atelier
objective_conviction_work_produceplates			(OPTIONNEL) Produire 100 plaques d'immatriculation
objective_conviction_work_exportszone			Installer une zone d'exportations près de la route
objective_conviction_work_setintake             Régler le niveau d'admission de prisonniers sur 10 

objective_conviction_unlocklabour_description	Vous pouvez trouver l'écran Administration en cliquant sur l'icône au-dessus de cette liste.
objective_conviction_work_kitchen_description	 To assign prisoners to the kitchen, go to 'Logistics' then 'Prison Labour'.\n\nNb. Your prisoners must have passed the 'Kitchen Safety and Hygiene' training course before they can work in the kitchen.				
objective_conviction_work_assignworkshop_description 	Pour affecter des prisonniers à l'atelier, allez dans Logistique, puis dans Travail carcéral.\n\nVos prisonniers doivent avoir réussi le programme Sûreté et sécurité à l'atelier avant de pouvoir y travailler.
objective_conviction_work_trainkitchen_description 		Pour offrir des programmes de formation et de réhabilitation, allez dans Rapports (en bas à droite), puis dans Programmes. Les prisonniers y assisteront pendant leurs heures de travail.\n\nRemarque : vous devrez affecter deux heures de travail de leur emploi du temps, ou les prisonniers n'auront pas le temps d'assister aux programmes de formation.
objective_conviction_work_trainworkshop_description 	Pour offrir des programmes de formation et de réhabilitation, allez dans Rapports (en bas à droite), puis dans Programmes. Les prisonniers y assisteront pendant leurs heures de travail.\n\nRemarque : vous devrez affecter deux heures de travail de leur emploi du temps, ou les prisonniers n'auront pas le temps d'assister aux programmes de formation.
objective_conviction_work_setintake_description         Pour éviter que votre prison ne devienne surpeuplée, allez dans Rapports (en bas à droite), puis dans Admission, et servez-vous du bouton << pour abaisser le niveau d'admission à 10.

objective_conviction_visitation				Préparer un meilleur service de visites
objective_conviction_visitationroom	Construire un nouveau parloir
objective_conviction_visitationcount		Permettre 20 visites aux détenus
objective_conviction_telephones	 			Ajouter des cabines téléphoniques à toutes les cours
objective_conviction_mailroom				Construire une salle du courrier
objective_conviction_mailroomwork			Faire travailler des prisonniers à la salle du courrier

objective_conviction_mailroomwork_description           Pour affecter des prisonniers à la salle du courrier, allez dans Logistique, puis dans Travail carcéral.

objective_conviction_education				Commencer à former vos prisonniers
objective_conviction_unlockeducation		Déverrouiller Éducation dans Administration
objective_conviction_education_classroom	Construire une salle de classe
objective_conviction_education_class 		Offrir le programme Formation scolaire pour débutant
objective_conviction_education_learn		(OPTIONNEL) Disposer de 5 prisonniers ayant réussi le programme Formation scolaire pour débutant
objective_conviction_education_library		Construire une bibliothèque
objective_conviction_education_librarywork	Faire travailler des prisonniers à la bibliothèque
objective_conviction_education_chapel		Construire une chapelle
objective_conviction_education_spiritual	Offrir le programme Guidance spirituelle

objective_conviction_expandcapacity100			Agrandir la capacité de la prison
objective_conviction_expandcapacity_cells100	Agrandir la capacité à 80 cellules
objective_conviction_expandcapacity_cells200	(OPTIONNEL) Agrandir la capacité à 120 cellules

objective_Conviction_PlayerExitsMap         Cliquez sur le polaroïd dans la cellule de Morgan lorsque vous aurez terminé.

 
# =============================================================================
# Epilogue
# =============================================================================

campaignchapter_epilogue                Tremplins
campaigncutscene_epilogueintro          Deuxième visite
campaigncutscene_epilogueoutro          Épilogue

campaignchapter_epilogue_description    Une prison historique va être démolie pour faire la place à une nouvelle plus moderne. Servez-vous de tout ce que vous avez appris pour construire l'établissement ultime.

adviser_name_reporter 					Reporter

epilogue_newsintro1 					Aujourd'hui sur CNDC News, un rapport spécial sur l'état de nos prisons.
epilogue_newsintro2 					Cela fait maintenant deux ans que le célèbre « Siège d'Alchemico » a fait tant de morts, dont celle du PDG Charles Wallace.
epilogue_newsintro4 					Des experts renommés nous rejoignent aujourd'hui et nous leur demandons si quoi que ce soit a changé depuis ces tragiques événements, et si oui, quoi.
epilogue_newsintro5 					Mais nous visitons tout d'abord en direct l'une des plus anciennes prisons de l'état toujours opérationnelles, récemment programmée à la démolition.
epilogue_newsintro6						En direct et en exclusivité sur CNDC news.

epilogue_reporter1						Merci Sarah. Cette prison a hébergé certains des criminels les plus dangereux de tout le pays.
epilogue_reporter2 						Mais ses murs sont à présents démolis et l'endroit s'apprête à accueillir un établissement plus moderne.
epilogue_reporter3 						Vous pouvez voir derrière moi que les ouvriers sont déjà là et que le travail de démolition a commencé.
epilogue_reporter4 						Le maire de la ville, Calvin Heller, me rejoint à présent. Merci M. Heller de prendre le temps de venir nous parler aujourd'hui.
epilogue_reporter5 						Tout le plaisir est pour moi.

epilogue_reporter6 						Vous avez été par le passé un fervent supporteur d'une approche carcérale plus dure et plus rigoureuse.
epilogue_reporter6b 					Pourquoi démolir un établissement ayant représenté si longtemps une approche punitive ?
epilogue_reporter7 						Les bâtiments tout autant que la gestion qui en était faite avaient fait leur temps.
epilogue_reporter8 						Nous avons pris la décision de les remplacer par un tout nouvel établissement. Un établissement à l'approche plus moderne.
epilogue_reporter9						Cette prison a fait l'actualité il y a quelques années comme l'un des tout derniers lieux d'exécution de tout l'état.
epilogue_reporter10 					De nombreux militants veulent depuis longtemps abolir la peine de mort ici. Répondrez-vous à leur volonté ou reconstruirez-vous l'infrastructure d'exécution ?
epilogue_reporter12 					Nous en discutons encore. C'est une décision qui ne sera pas prise à la légère.

epilogue_reporterend1 					Merci beaucoup M. Heller. À vous les studios.
epilogue_newstransition1 				Ici CNDC news, avec un reportage en direct sur notre système carcéral.
epilogue_newstransition2 				Tout de suite après la pause, le docteur Walter Hurst, un spécialiste en psychologie et en réhabilitation des prisonniers, nous rejoindra.

epilogue_parole1 						Toujours rien ? Ça fait combien de temps ?
epilogue_parole2						J'ai perdu le compte. Aucun appel. Aucune lettre.
epilogue_parole3 						Je suis navré Morgan. Ça doit faire mal. Mais vous avez une véritable chance. Ne la gâchez pas.
epilogue_parole4 						Henry. Bonne chance.
epilogue_parole5 						N'essayez pas de simplement leur dire ce que vous croyez qu'ils veulent entendre.
epilogue_parole6 						Je dois y aller. Je suis à l'antenne dans une minute.
epilogue_parole7                        Monsieur le maire, quelle est votre opinion ?
epilogue_parole10 						Ça a été rapide.
epilogue_parole11 						Alors ?
epilogue_parole12                       ...

epilogue_outro_1 						Merci de suivre cette édition spéciale de CNDC news, avec le maire de la ville, Calvin Heller.
epilogue_outro_2 						Le docteur Walter Hurst nous rejoint à présent. On l'a souvent accusé de dilapider de grosses sommes d'argent en réformes pénitentiaires.
epilogue_outro_2b 						Pensez-vous avoir atteint vos objectifs, Dr Hurst ?
epilogue_outro_3						Si j'ai atteint mes objectifs ? Non. Pas globalement.
epilogue_outro_4						Mais je pense que chacun peut s'améliorer. Et que nous devons offrir cette chance à chacun.
epilogue_outro_4b 						Je peux dire avec la conviction la plus absolue que j'ai constaté une véritable amélioration des espoirs et des attitudes des détenus ici.
epilogue_outro_5						L'incarcération doit être dissuasive. Il ne s'agit pas d'une opportunité de changer ou de s'améliorer.
epilogue_outro_6 						Les punir et les déshumaniser pendant leur incarcération ne sert qu'à encourager la délinquance.

epilogue_outro_7						Nous donnons de véritables compétences à ces hommes. Mais plus important encore, nous leur donnons l'espoir.
epilogue_outro_7b  						Nous les aidons à réintégrer la société à leur libération. Et à y contribuer.
epilogue_outro_8						Les innocents ne profitent pas de formations gratuites. Ou d'éducation gratuite. Ni d'un emploi garanti.
epilogue_outro_8b 						Nous négligeons les victimes des crimes. Et récompensons leurs auteurs.
epilogue_outro_8c 						Il est incroyable de dépenser des sommes d'argent si vastes pour que quelques criminels se sentent simplement mieux dans leur peau.
epilogue_outro_9						Nous pouvons vraiment changer les choses, même si nous devons le faire au cas par cas.
epilogue_outro_10						Ces hommes n'ont pas gagné leurs libertés.
epilogue_outro_11						Vous aurez beau dire cent fois à un chat de laisser les oiseaux de votre jardin tranquilles, il reviendra. Il reviendra toujours.
epilogue_outro_12 						C'est dans sa nature.

epilogue_sandbox_1                      Je vous félicite pour votre nomination au poste de PDG. C'est une incroyable occasion. Un nouveau départ.
