
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nouvelle
codex_performance_numframes				Nombre d'images : *T

codex_last_modified						Dernière modification : *T
codex_sortbydesc						Trier par date
codex_sortname							Nom
codex_sortdate							Date
codex_apply								Appliquer
codex_select                            Sélectionner

codex_mods								Mods
codex_mod_activetitle					Mods actifs
codex_mod_inactivetitle					Mods disponibles
codex_mod_deactivate					Désactiver tous les mods
codex_mod_wiki							Trouver davantage de mods (Wiki)
codex_mod_openmodsfolder				Ouvrir le répertoire de mods
codex_mod_moresteammods					Trouver davantage de mods (Steam Workshop)
codex_mod_findsteamtranslations         Trouver davantage de traductions (Steam Workshop)
codex_authortitle                       Auteur
codex_versiontitle                      Version
codex_datetitle                         Date
codex_urltitle                          Adresse internet
codex_typetitle							Type
codex_mod_graphicsandsound				Graphismes et sons
codex_mod_translation					Traduction
codex_mod_scenario						Scénario
codex_mod_content						Contenu
codex_mod_load_scenario					Jouer scénario
codex_publishmod						Publier ce mod

codex_mod_update						Mettre à jour ce mod
codex_mod_published_good				Mod publié
codex_mod_published_good_msg			Votre mod a bien été publié.
codex_mod_published_bad					Échec de la publication du mod
codex_mod_published_bad_msg				Votre mod n'a pas réussi à être publié.
codex_mod_modsupdated					Mods mis à jour
codex_mod_modsupdated_msg				Certains de vos mods actifs ont été mis à jour. Cliquez sur OK pour appliquer les nouvelles modifications. Votre partie va être automatiquement sauvegardée.
codex_mod_translationcaption            Est-ce une traduction dans une autre langue ?

codex_language                          Langue
codex_language_englishdefault           Anglais (par défaut)
codex_language_default                  Langue par défaut
codex_language_download                 Télécharger
codex_language_failed_download          Échec du téléchargement de la traduction
codex_language_failed_download_msg      La traduction sélectionnée n'a pas pu être téléchargée.
codex_language_searching_workshop       Recherche sur le Steam Workshop
codex_language_community                Ces packs de traductions sont créés et entretenus par la communauté. Merci !

codex_save_confirm                      Voulez-vous vraiment écraser *X avec la prison actuelle ?
codex_researtchapter_confirm            Voulez-vous vraiment recommencer le chapitre en cours ? Toute progression non sauvegardée sera perdue.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message					Souhaitez-vous conserver ces options graphiques ? Ces modifications seront annulées dans
graphicschange_time						secondes.
graphicschange_accept					Accepter
graphicschange_revert					Annuler

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title                    Débuggeur de scripts (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title                   Différences de mods découvertes
modnotification_info                    Ces mods étaient actifs lorsque la prison actuelle a été sauvegardée. Nous vous recommandons fortement de les télécharger et de les activer avant de jouer cette prison.
modnotification_playnow                 Jouer maintenant
modnotification_active                  Actif
modnotification_inactive                Inactif
modnotification_new                     Nouveau
modnotification_unknown                 Inconnu
modnotification_popup_title             Différence de mod
modnotification_popup_active            Ce mod est actuellement actif. Cliquez pour le désactiver.
modnotification_popup_inactive          Ce mod est actuellement inactif. Cliquez pour l'activer.
modnotification_popup_new_url           C'est un nouveau mod. Cliquez pour ouvrir son lien dans un navigateur internet.
modnotification_popup_new_steam         C'est un nouveau mod sur Steam. Cliquez pour souscrire et pour télécharger le mod dès à présent.
modnotification_popup_unknown           Nous n'avons pas pu déterminer d'où venait ce mod. Veuillez trouver et installer ce mod par vous-même.

# =============================================================================
# Biography
# =============================================================================

biography_search                        Arrêter et rechercher
biography_selected                      SÉLECTIONNÉ
biography_prisoner_name                 *S, *F
biography_prisoner_number               Prisonnier n°*X
biography_prisoner_age                  Âge : *X
biography_prisoner_traits               Traits :
biography_prisoner_convicted            Incarcéré pour *C (a plaidé *P)
biography_prisoner_sentenced            Condamné à *X ans de prison
biography_parole_now                    Actuellement admissible à la libération conditionnelle
biography_parole_later                  Admissible à la libération conditionnelle après *X ans
biography_prisoner_served               A purgé *X ans
biography_prisoner_priors               Antécédents : 


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age							Âge :
rapsheet_category						Catégorie :
rapsheet_traits							Traits connus :
rapsheet_conviction_text				*C - *Y ans
rapsheet_found_text						(A plaidé *P)
rapsheet_convictions					Condamnations
rapsheet_misconductstitle				Mauvaises conduites récentes
rapsheet_biography                      Biographie
rapsheet_guilty							coupable
rapsheet_notguilty						non coupable
rapsheet_served							Purgée
rapsheet_served_time					A purgé *Y ans
rapsheet_time							*Y ans
rapsheet_bio							Condamné à *Y ans pour *A.
rapsheet_bio_med						Condamné à *Y ans pour crimes multiples, dont *A et *B.
rapsheet_bio_long						Condamné à *Y ans pour crimes multiples, dont *A, *B et *C.
rapsheet_category_minsec				Basse sécurité
rapsheet_category_normal				Moyenne sécurité
rapsheet_category_maxsec				Haute sécurité
rapsheet_category_protected             Surveillance préventive
rapsheet_category_supermax              Très haute sécurité
rapsheet_category_deathrow              Couloir de la mort
rapsheet_tab_biography                  Biographie
rapsheet_tab_experience                 Parcours
rapsheet_tab_grading                    Évaluation
rapsheet_tab_character                  Traits connus
rapsheet_punish                         Sanctionner
rapsheet_recruit                        Recruter en tant qu'informateur

rapsheet_timeinside                     *X jours dans votre prison
rapsheet_timeinside_hours               *X heures dans votre prison
rapsheet_mood                           Humeur
rapsheet_activity                       Activité
rapsheet_condition                      Condition
rapsheet_program                        Programme
rapsheet_passchance                     Chances de réussite
rapsheet_reformhistory                  Programmes de réhabilitation

rapsheet_reform_success                 Réussite
rapsheet_reform_successcount            Réussi *X fois
rapsheet_reform_failed                  Échec
rapsheet_reform_failcount               Raté *X fois

rapsheet_grading_punishment             Répression
rapsheet_grading_health                 Santé
rapsheet_grading_security               Sécurité
rapsheet_grading_reform                 Réhabilitation
rapsheet_grading_points                 *X points : 
rapsheet_grading_penalties              *X pénalités : 

rapsheet_scheduleexecution              Programmer l'exécution


punish_lockdown_6                       Confinement (6hrs)
punish_lockdown_12                      Confinement (12hrs)
punish_lockdown_24                      Confinement (24hrs)
punish_solitary_6                       Isolement (6hrs)
punish_solitary_12                      Isolement (12hrs)
punish_solitary_24                      Isolement (24hrs)
punish_solitary_perm                    Isolement (permanent)
punish_lockdown_perm                    Confinement (permanent)
punish_solitary                         Isolement
punish_lockdown                         Verrouillage
punish_none                             Aucun
punish_timer                            *Xh *Ym
punish_timer_minutes                    *Xm
punish_active                           EN COURS
punish_permanent                        (Permanent)
punish_end                              Mettre un terme à la sanction

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none                  Aucun
misconduct_reporttype_complaint             Plaintes
misconduct_reporttype_destruction           Destruction
misconduct_reporttype_escapeattempt         Tentative d'évasion
misconduct_reporttype_injuredprisoner       Attaque d'un détenu
misconduct_reporttype_injuredstaff          Attaque du personnel
misconduct_reporttype_seriousinjury         Infliction blessure grave
misconduct_reporttype_murder                Meurtre
misconduct_reporttype_contrabandweapons     Possession d'armes
misconduct_reporttype_contrabandtools       Vol d'outils
misconduct_reporttype_contrabandnarcotics   Vol de médicaments
misconduct_reporttype_contrabandluxuries    Poss. de biens de valeur
misconduct_reporttype_intoxicated           Ivre ou défoncé
misconduct_title                            =[Mauvaise conduite]=

misconduct_report_addiction                 Accro à : *X
misconduct_report_recoving                  Soigne sa dépendance à : *X
misconduct_report_alcoholic                 Alcoolique
misconduct_report_recovingalcoholic         Soigne son alcoolisme


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required                       *X nécessaire pour préparer ce rapport.
research_requireunlock                  Rechercher « *X » pour déverrouiller.
research_approved                       APPROUVÉ
research_cost                           Coût : *X
research_costperitem                    + *X par unité.
research_timetounlock                   Temps de recherche : *X heures
research_movementpenalty                Pénalité de vitesse : *X%
research_protectionbonus                Protection : *X%
research_tap_to_authorise               CLIQUER POUR AUTORISER

research_none                           Aucun
research_warden                         Directeur
research_maintainance                   Entretien
research_security                       Sécurité
research_legal                          Juridique
research_mentalhealth                   Psychologie
research_finance                        Finances
research_landexpansion                  Expansion
research_cctv                           Vidéosurveillance
research_riotguards                     Gardiens antiémeutes
research_health                         Santé
research_cleaning                       Entretien intérieur
research_groundskeeping                 Entretien extérieur
research_clone                          Dupliquer
research_deployment                     Déploiement
research_patrols                        Patrouilles
research_dogs                           Chiens
research_prisonlabour                   Travail carcéral
research_education                      Éducation
research_contraband                     Renseignements
research_policy                         Règlement intérieur
research_armoury                        Armurerie
research_bodyarmour                     Gilet tactique
research_tazers                         Tasers
research_tazersforeveryone              Tasers pour tous
research_bankloans                      Emprunt bancaire
research_lowertaxes1                    Dégrèvements d'impôts
research_lowertaxes2                    Paradis fiscal
research_remoteaccess                   Accès à distance
research_extragrant                     Subvention supplémentaire
research_advancedmanagement             Microgestion
research_deathrow                       Couloir de la mort
research_permanentpunishment            Sanctions fixes
research_removemincellsize              Petites cellules
research_reduceexecutionliability       Réduction de responsabilité
research_legalprep                      Préparation juridique
research_legaldefense                   Défense juridique

researchtooltip_warden                  Déverrouille le directeur, ainsi que le système d'administration complet. Engagez-le à partir de la barre d'outils Personnel.\n\nComme pour tous les autres administrateurs, il lui faut un bureau pour travailler.
researchtooltip_security                Déverrouille le chef de la sécurité, qui peut être engagé à partir de la barre d'outils Personnel. Le chef vous donne accès à l'écran de déploiement, et vous fournira également un rapport en temps réel du niveau de danger de votre prison. Ce rapport augurera souvent des problèmes futurs.\n\nComme pour tous les autres administrateurs, il lui faut un bureau pour travailler.
researchtooltip_maintenance             Déverrouille le contremaître. Engagez-le à partir de la barre d'outils Personnel.\n\nComme pour tous les autres administrateurs, il lui faut un bureau pour travailler.
researchtooltip_legal                   Déverrouille l'avocat, qui peut être engagé à partir de la barre d'outils Personnel. Il vous donne accès à différentes recherches qui vous permettront d'avoir un meilleur contrôle de votre prison.\n\nComme pour tous les autres administrateurs, il lui faut un bureau pour travailler.
researchtooltip_deployment              Vous permet de poster des gardiens de manière permanente dans les différents secteurs de votre prison.
researchtooltip_patrols                 Vous permet d'établir des patrouilles autour de zones importantes de votre prison (comme par exemple son périmètre) et d'affecter des gardiens à ces patrouilles.
researchtooltip_dogs                    Déverrouille le maître-chien et le chien de garde. Les chiens servent à flairer la contrebande odorante dans la prison et à détecter les tunnels des prisonniers.\n\nLes chiens sont également très rapides, ce qui leur permet de rattraper facilement les détenus.
researchtooltip_cctv                    Déverrouille les caméras de vidéosurveillance et les moniteurs de sécurité. Servez-vous-en pour surveiller les secteurs non gardés de votre prison.\n\nDéverrouille également le système d'écoute téléphonique, qui vous permet d'écouter les appels des prisonniers et d'acquérir de précieux renseignements.
researchtooltip_remoteaccess            Déverrouille de l'équipement de pointe pour le contrôle et l'automatisation des portes à distance. Les portes peuvent être ouvertes à distance à l'aide d'un système de contrôle (opéré par un gardien), ou ouvertes par une minuterie à certaines heures de la journée.
researchtooltip_riotguards              (NE SERT ACTUELLEMENT À RIEN)\nDéverrouille le gardien antiémeute. Ce gardien est davantage protégé et plus apte à gérer les situations violentes.
researchtooltip_maintainance            Déverrouille le contremaître. Il vous donne accès à des recherches supplémentaires comme le travail carcéral, et même à de nouveaux membres du personnel comme le jardinier.\n\nComme pour tous les autres administrateurs, il lui faut un bureau pour travailler.
researchtooltip_clone                   Déverrouille l'outil de duplication sur la barre d'outils principale. Servez-vous de cet outil pour dupliquer rapidement des zones identiques de votre prison, comme par exemple des cellules. Pour l'utiliser, sélectionnez une zone à dupliquer en faisant glisser à partir d'un clic droit, puis effectuez un clic gauche pour placer la copie.
researchtooltip_groundskeeping          Déverrouille le jardinier. Il entretiendra les espaces naturels de votre prison.
researchtooltip_cleaning                Déverrouille le concierge. Il nettoiera les espaces intérieurs de votre prison et aidera aussi à la buanderie.
researchtooltip_health                  Déverrouille le médecin, ainsi que l'infirmerie et la morgue. Tout prisonnier ou membre du personnel blessé sera emmené à l'infirmerie où les médecins le remettront sur pied.
researchtooltip_MentalHealth            Déverrouille le psychologue, qui vous donnera à tout moment de précieuses informations sur l'état psychologique de vos prisonniers.\n\nComme pour tous les autres administrateurs, il lui faut un bureau pour travailler.
researchtooltip_finance                 Déverrouille la comptable, qui vous donne accès au rapport financier de votre prison.\n\nVous pouvez aussi avec lui dépenser chaque jour plus d'argent que vos revenus, tant que vous disposez des fonds nécessaires.\n\nComme pour tous les autres administrateurs, il lui faut un bureau pour travailler.
researchtooltip_landexpansion           Vous permet d'acheter des parcelles de terrain voisines et donc d'agrandir votre prison au-delà de ses limites initiales.
researchtooltip_prisonlabour            Vous permet à la fois de mettre vos détenus au travail dans la prison (cuisine, nettoyage etc.), d'effectuer des économies sur les salaires, de remporter de l'argent et d'enseigner de nouvelles compétences à vos prisonniers.\n\nDéverrouille également l'atelier et la buanderie.
researchtooltip_education               Déverrouille la possibilité d'organiser des programmes de réhabilitation à l'aide de formateurs externes.
researchtooltip_contraband              Forme vos gardiens à mieux détecter et à mieux intercepter les articles de contrebande. Déverrouille le rapport d'offre et de demande de contrebande, la vue Contrebande (qui affiche tous les endroits possibles où des articles de contrebande peuvent être volés), et indique où la contrebande a été volée ou introduite.\n\nDéverrouille également la possibilité de recruter des prisonniers en tant qu'informateurs secrets.\n\nDéverrouille finalement des renseignements sur les gangs.
researchtooltip_policy                  Déverrouille le rapport de conduite, qui vous permet d'alléger ou d'alourdir les sanctions pour tous les types de mauvaises conduites, ainsi que de lancer automatiquement des fouilles sur le prisonnier et sa cellule en cas de problème.\n\nVous permet également de déterminer la politique nutritionnelle de votre établissement en modifiant la taille et la variété des repas servis.
researchtooltip_armoury                 Déverrouille l'armurerie et vous permet de déployer des gardes armés dans votre prison.
researchtooltip_bodyarmour              Équipe tous vos gardiens, gardiens armés et maîtres-chiens de gilets tactiques. Il aide à absorber les dommages reçus en cours de combat, mais vos hommes se déplaceront moins vite.\n\nLes gardiens doivent passer par l'armurerie pour s'en munir, et vous devrez acheter chaque gilet ainsi équipé.
researchtooltip_tazers                  Permet à vos gardiens armés d'être équipés de tasers, de puissantes armes électriques qui rendront instantanément inconscientes la plupart de leurs cibles. Un taser ne peut être utilisé qu'une seule fois et il lui faut une heure complète pour se recharger.\n\nLes gardiens armés doivent passer par l'armurerie pour s'en munir, et vous devrez acheter chaque taser ainsi équipé.
researchtooltip_tazersforeveryone       Élargit le programme des tasers pour que vos gardiens normaux puissent aussi s'en servir pour se défendre.\n\nIls doivent passer par l'armurerie pour s'en munir, et vous devrez acheter chaque taser ainsi équipé.
researchtooltip_bankloans               Vous permet d'emprunter de grosses sommes d'argent à la banque, en échange d'un remboursement quotidien des intérêts. Rembourser votre emprunt améliorera votre cote de crédit et vous permettra d'emprunter plus tard des sommes plus importantes.
researchtooltip_lowertaxes1             Tire parti des incitations fiscales du gouvernement et réduit votre taux d'imposition effectif à seulement 15%.\n\nVous économiserez $1 500 d'impôts sur un revenu quotidien de $10 000.
researchtooltip_lowertaxes2             Votre comptable étire les règles au maximum et déplace tous vos comptes officiels et toutes vos modalités administratives dans un autre pays où les taxes sont beaucoup moins importantes. Votre taux d'imposition effectif tombera à environ 1%.\n\nVous économiserez un total de $3 000 d'impôts sur un revenu quotidien de $10 000.
researchtooltip_extragrant              Vous permet d'accepter jusqu'à trois subventions en même temps au lieu de deux.
researchtooltip_advancedmanagement      Vous fournit les outils vous permettant la microgestion de certains aspects de votre prison.\n\nDéverrouille Circuit nourriture, qui vous permet de déterminer quelles cuisines desservent quelles cantines, ainsi que les cantines dans lesquelles mangent vos détenus. De même, Circuit linge vous laisse choisir quelles buanderies desservent quels blocs de cellules.\n\nDéverrouille également le planificateur de déploiements, qui vous permet de déterminer vos déploiements de gardes selon l'heure de la journée.\n\nDéverrouille finalement le planificateur de réhabilitation, qui vous permet de définir personnellement les programmes quotidiens.
researchtooltip_permanentpunishment     Être enfermé dans une prison ne suffit parfois pas. Votre avocat peut alors intenter une action pour vous permettre de confiner des prisonniers dans leurs cellules de manière permanente.
researchtooltip_removemincellsize       Les cellules de votre prison doivent faire une certaine taille pour répondre aux exigences légales. Mais imaginez le nombre de cellules dont vous pourriez disposer si ce n'était pas le cas. Cette recherche supprime les exigences de taille minimale pour les cellules standards.
researchtooltip_reduceexecutionliability Votre avocat réduit l'importance nécessaire des condamnations pour que les procédures d'exécution puissent commencer. Diminue de fait le nombre d'appels dont peut bénéficier un prisonnier avant que vous puissiez programmer son exécution sans risquer de poursuites.
researchtooltip_legalprep               Chaque prison rencontre parfois des problèmes, et certains d'entre eux peuvent avoir des conséquences juridiques assez importantes. Votre avocat fera en sorte que vous ne soyez pas directement visé si quelque chose venait à mal tourner, mais il doit s'en occuper à l'avance.
researchtooltip_legaldefense            Vous vous trouvez dans l'embarras. Quelque chose s'est très mal passé et vous avez été mis à demeure. Si vous ne pensez pas être capable de gérer seul la situation, votre avocat peut vous sortir du pétrin. Accomplir cette recherche supprimera tout avertissement qui pourrait normalement vous coûter votre poste.

research_legaldefense_adviser1          Votre avocat a fait le nécessaire pour vous protéger des conséquences de ce beau merdier, on dirait. Je ne vais donc pas pouvoir vous renvoyer. Du moins cette fois-ci.
research_legaldefense_adviser2          Mettez vite votre prison en ordre, et faites en sorte qu'elle le reste. Cette astuce ne marchera pas deux fois, et vous ne serez pas éternellement invulnérable.

research_missingadministrator           REQUIS :



# =============================================================================
# Room Requirements
# =============================================================================

roomrequirement_required                REQUIS :
roomrequirement_recommended             Recommandé : 
roomrequirement_minimumsize             Taille minimale *W x *H
roomrequirement_minimumsize_short	Taille *W x *H
roomrequirement_indoor                  Intérieur
roomrequirement_outdoor                 Extérieur
roomrequirement_solidground             Terre ferme
roomrequirement_secure                  Sécurisé (derrière au moins une porte)
roomrequirement_secure_short		Sécurisé
roomrequirement_enclosed                Enclos (entouré par des murs et par des portes)
roomrequirement_enclosed_short		Enclos
requirement_entrance                    Nécessite une entrée
roomrequirement_title                   =[Conditions de la pièce]=
roomrequirement_passed                  [RÉUSSITE] 
roomrequirement_failed                  [ÉCHEC] 
roomrequirement_adjacentobject          Adjacent à la pièce :

# =============================================================================
# Unlocks
# =============================================================================

unlock_title                            DÉVERROUILLÉ

unlock_special_electricity              Systèmes électriques
unlock_special_food                     Préparation des plats
unlock_special_officersafety            Sécurité des agents
unlock_special_misbehavior              Mauvaise conduite
unlock_special_accounting               Comptabilité
unlock_special_gangs                    Gangs

unlock_electricity_caption              Permet la construction de postes électriques et de câbles électriques pour alimenter en électricité tous les dispositifs en ayant besoin.


# =============================================================================
# Advisers
# =============================================================================

click_to_continue                       Cliquer pour continuer...
incoming_call                           Appel entrant...

adviser_name_unknown                    Inconnu
adviser_name_ceo                        Le PDG
adviser_name_warden                     Le directeur
adviser_name_governer                   Le gouverneur
adviser_name_chief                      Le chef de la sécurité
adviser_name_doctor                     Le médecin
adviser_name_kingpin                    Le gangster
adviser_name_edwardshooter              Edward
adviser_name_edwardsinner               Edward
adviser_name_edwardinmate               Edward
adviser_name_edwardswife                Susan, la femme d'Edward
adviser_name_priest                     Le prêtre
adviser_name_newsreader                 CNDC News
adviser_name_mayor 						Maire Calvin Heller


# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff                            Personnel
report_prisoners                        Prisonniers
report_jobs                             Tâches
report_needs                            Besoins
report_threats                          Menaces
report_regime                           Régime
report_policy                           Règlement
report_grants                           Subventions
report_finance                          Finances
report_valuation                        Estimation
report_contraband                       Contrebande
report_programs                         Programmes
report_schedule                         Planificateur
report_intake                           Admission

report_grants_bankloan                  Emprunt bancaire
report_grants_bankloan_text             Vous pouvez emprunter une grosse somme d'argent à la banque. En échange, la banque vous facturera chaque jour des intérêts que vous devrez payer de votre flux.\n\nVotre cote de crédit s'améliorera à mesure que vous effectuerez des paiements réguliers, et la banque vous permettra de plus gros emprunts. Si vous manquez cependant des paiements, votre cote diminuera et la banque refusera de vous prêter davantage d'argent lorsque vous en aurez besoin.\n\nRemarque : le paiement seul des intérêts ne permettra jamais de rembourser l'emprunt.
report_grants_max1                      Une seule subvention possible à la fois.\nLimite modifiable par la comptable.
report_grants_max2                      Deux subventions possibles à la fois.\nLimite modifiable par la comptable.
report_grants_max3                      Maximum de trois subventions à la fois atteint.
report_grants_bankloan_amount           Emprunt bancaire actuel : *X
report_grants_bankloan_interest         Intérêt : *X par jour
report_grants_bankloan_max              Emprunt maximum : *X
report_grants_creditrating              Votre cote de crédit : *X
report_grants_inprogress_tt             (EN COURS)
report_grants_completed_tt              (TERMINÉE)
report_grants_locked_tt                 (VERROUILLÉE)
report_grants_advancepayment            Acompte pour *X
report_grants_completionbonus           Prime d'achèvement pour *X
report_grants_objectives                [Objectifs]
report_grants_prereqs                   [Conditions]
report_grants_completed                 TERMINÉE
report_grants_locked                    Verrouillée
report_grants_inprogress                En cours
report_grants_hidden                    (*X de plus cachées)
report_grants_taptoaccept               CLIQUER POUR ACCEPTER
report_grants_cancelfee                 Coût d'annulation : *X

report_staff_title                      Effectif total : *X
report_prisoners_title                  Prisonniers totaux : *X
report_staff_group_builders             Ouvriers
report_staff_group_guards               Gardiens
report_staff_group_staff                Personnel
report_staff_group_administrators       Administrateurs
report_staff_group_prisoners            Prisonniers
report_staff_group_prisoners_high       À rique élevé
report_staff_group_prisoners_normal     À risque normal
report_staff_group_prisoners_low        À risque faible
report_staff_group_prisoners_protected  Surveillance préventive
report_staff_group_prisoners_supermax   Très haute sécurité
report_staff_group_prisoners_deathrow   Couloir de la mort

report_staff_fire                       RENVOYER

report_intake_title                     Admission
report_intake_catheader_cat             Catégorie
report_intake_catheader_pay             Paiement
report_intake_catheader_available       Disponibles
report_intake_catheader_amount          Taux
report_intake_next_header               Prochaine admission : *X
report_intake_cat_minsec                Basse sécurité
report_intake_cat_normal                Moyenne sécurité
report_intake_cat_maxsec                Haute sécurité
report_intake_cat_deathrow              Couloir de la mort
report_intake_slider_minsec             Ajuster le taux d'admission des prisonniers de basse sécurité
report_intake_slider_normal             Ajuster le taux d'admission des prisonniers de moyenne sécurité
report_intake_slider_maxsec             Ajuster le taux d'admission des prisonniers de haute sécurité
report_intake_slider_deathrow           Ajuster le taux d'admission des prisonniers condamnés à mort
report_intake_closed                    FERMÉ
report_intake_locked                    VERROUILLÉ
report_intakemaxperdaydesc              Admission quotidienne
report_intakemaxperdaydesc_tooltip      Le nombre total de prisonniers que vous voulez accueillir lors de la prochaine admission
report_intakemaxperdaydecr              <<
report_intakemaxperdayincr              >>
report_intakemaxperdaynone              Aucune
report_intakemaxperdayall               Toute
reports_intakedelivernow                Accueillir maintenant
report_intakepayment                    Paiement
report_intakeall                        TOUS
report_intake_list_tooltip_title        Catégories d'admissions
report_intake_list_tooltip              Une liste de toutes les catégories de prisonniers que vous pouvez recevoir dans votre prison.\n\nVous y trouverez le nombre total de prisonniers pouvant être admis dans chaque catégorie. Ce nombre évoluera au fil du temps selon les taux des curseurs.\n\nVous pouvez ajuster les curseurs pour modifier les taux de prisonniers de chaque catégorie que vous accueillerez à la prochaine admission.
report_intake_list_tooltip_dr           \n\nIl faut des cellules spécialement conçues pour les condamnés à mort avant qu'ils puissent être transférés dans votre prison. Les admissions de condamnés à mort sont beaucoup moins fréquentes que les autres, et leur nombre n'augmentera pas toujours. Ces détenus restent rares.
report_intake_buttons_tooltip_title     Admission suivante
report_intake_buttons_tooltip           Vous pouvez dans cette section augmenter ou diminuer le nombre de prisonniers que vous souhaitez recevoir à la prochaine admission.\n\nSélectionner « Aucune » fermera votre prison aux nouveaux prisonniers et sélectionner « Toute » accueillera le nombre maximal de prisonniers possible.\n\nServez-vous des curseurs ci-dessus pour déterminer le nombre de prisonniers de chaque catégorie.
report_intake_overview_tooltip_title    Aperçu de l'admission
report_intake_overview_tooltip          Vous pouvez voir qui arrivera lors de la prochaine admission, et le paiement que vous recevrez. Le nombre et la catégorie des prisonniers peuvent être modifiés à l'aide des boutons et des curseurs ci-dessus. Le paiement dépend directement du nombre de prisonniers dans chaque catégorie.

valuation_categoryprison                Valeur de la prison
valuation_construction                  Briques et mortier
valuation_objects                       Aménagements intérieurs
valuation_stock                         Stocks et matériaux
valuation_staff                         Personnel
valuation_startupgrant                  Subvention initiale
valuation_capacity                      Capacité d'admission
valuation_cash                          Trésorerie
valuation_debt                          Emprunts bancaires
valuation_categoryperformance           Sûreté et sécurité
valuation_bonustimewithoutincident      [Bonus] Temps sans incident
valuation_finedeath                     [Pénalité] Décès ces dernières 24h
valuation_fineescape                    [Pénalité] Évasions ces dernières 24h
valuation_total                         TOTAL
valuation_sell                          VENDRE
valuation_sellprison                    VENDRE LA PRISON
valuation_sell_tooltip                  Vendre votre prison vous permettra d'en dégager les bénéfices et d'en commencer une nouvelle avec un solde bancaire bien supérieur.\n\nVous pourrez toujours diriger cette prison, mais vous ne pouvez la vendre qu'une seule fois. Tous les bénéfices tirés d'une vente seront directement transférés vers votre nouveau site.
valuation_sold                          Cette prison a été vendue pour : *X
valuation_donotown                      Vous ne pouvez pas vendre cette prison car vous ne la possédez pas.
valuation_sellsome                      Vendre des parts
valuation_buysome                       Acheter des parts
valuation_shares                        Acheter et vendre des parts
valuation_shares_tooltip                Vous pouvez vendre jusqu'à 50% de votre prison à des investisseurs externes sous forme de parts. Vous serez immédiatement payé en liquide. En échange de leur investissement, vos actionnaires percevront leur part du prix de vente total de la prison quand vous la vendrez.\n\nSi vous vendez 30% des parts de votre prison par exemple, vous ne recevrez que 70% du prix de vente final. Vous pouvez racheter à tout moment les parts précédemment vendues, bien que leur coût puisse être plus élevé que leur prix de vente initial.
valuation_ownership                     Vous détenez *X% de votre prison
valuation_saleprice                     Prix de vente : *X
valuation_title                          =[ESTIMATION]=
valuation_totalprisonvalue              Valeur totale de la prison : *X
valuation_subcashreserves               Moins la trésorerie : *X
valuation_tenpercentprice               Prix pour 10% : *X
valuation_profit                        Votre bénéfice : *X
valuation_tap_to_authorise              CLIQUER POUR AUTORISER

salecondition_title                     CONDITIONS DE VENTE
salecondition_cannotsell                Vous ne pouvez ni vendre votre prison ni échanger de parts tant que les conditions suivantes ne sont pas remplies.
salecondition_minimumvalue              Valeur minimale de $50 000
salecondition_cashflow                  Flux de trésorerie positif
salecondition_accountant                Comptable présente
salecondition_minprisoners              Au moins 20 prisonniers
salecondition_recentdeaths              Aucun décès récent
salecondition_recentescapes             Aucune évasion récente
salecondition_passed                    [RÉUSSITE] 
salecondition_failed                    [ÉCHEC] 

policy_title                            INCIDENT
policy_search                            - FOUILLER -
policy_prisoner                         LUI
policy_cell                             CELLULE
policy_punishment                       SANCTION
policy_quantity                         DURÉE
policy_punishmenttime                   *X hr
policy_mealcost                         $*X / jour
policy_totalmealcost                    (TOTAL : $*X / jour)

job_construct                           Construire *X
job_installobject                       Installer *X
job_installobjectinroom                 Installer *X dans *Y
job_moveobject                          Déplacer *X
job_moveobjecttoroom                    Déplacer *X vers *Y
job_loadobjectinto                      Charger *X dans *Y
job_storeobject                         Entreposer *X dans *Y
job_dismantleobject                     Démonter *X
job_dumpobject                          Jeter *X
job_repairobject                        Réparer *X
job_operateequipment                    Opérer *X
job_escortprisoner                      Escorter prisonnier vers *X
job_punishprisoner                      Sanctionner prisonnier
job_searchobject                        Fouiller *X
job_searchentity                        Fouiller prisonnier
job_searchingentity						Fouille le prisonnier
job_searchcell                          Fouiller cellule
job_searchcellblock                     Fouiller bloc de cellules
job_improvecellindoor                   Nettoyer espaces intérieurs
job_improvecelloutdoor                  Entretenir espaces extérieurs
job_opendoor                            Ouvrir porte verrouillée
job_giveuniform                         Donner tenue à prisonnier
job_failurecount                        Raté *X fois
job_feedprisoner                        Nourrir prisonnier
job_healprisoner                        Soigner prisonnier
job_delivermail                         Livrer courrier
       
finances_title                          Finances
finances_income                         Recettes
finances_expenses                       Dépenses
finances_total                          Total
finances_profit                         Net
finances_timewithoutincident            (*X jours)
finances_dailyincome                    *X / jour

finances_category_federalgrant          Dotations fédérales
