
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nytt
codex_in_prison							Fängslad
codex_useravatar                        Det här är jag
codex_tooltip_useravatar                Markera denna intern som din egen representant. Om du någon gång hamnar i fängelse själv kommer denna intern att representera dig.
codex_tooltip_flagbio                   Rapportera denna biografi som stötande.

codex_workshop_current					Nuvarande fängelse
codex_workshop_publish					Publicera detta fängelse
codex_workshop_update					Uppdatera
codex_workshop_play						Spela
codex_workshop_downloading				Laddar ner
codex_workshop_download_failed			Hämtningen misslyckades
codex_workshop_publishing				Publicerar…
codex_workshop_new						NYTT
codex_workshop_title					Titel
codex_workshop_desc						Beskrivning
codex_workshop_view_in_workshop			Visa i Steam Workshop
codex_workshop_heading_pubed			Dina publicerade fängelser
codex_workshop_heading_subed			Nedladdade fängelser
codex_workshop_published_by				Publicerat av *P
codex_workshop_published_by_you			Publicerat av dig
codex_workshop_published_good			Fängelset publicerades
codex_workshop_published_good_msg		Ditt fängelse har publicerats.
codex_workshop_published_bad			Misslyckades med att publicera fängelset
codex_workshop_published_bad_msg		Ditt fängelse kunde inte publiceras.
codex_workshop_published_bad_msg_new	Ditt nya fängelse kunde inte publiceras. Försök igen.
codex_workshop_busy						Det händer redan saker med Steam. Vänta på att det blir färdigt och försök sedan igen.
codex_workshop_file_exists				Du har redan publicerat ett fängelse med detta namn. Välj ett annat namn.
codex_workshop_generic_fail				Det gick inte att publicera ditt fängelse. Försök igen.
codex_workshop_download_bad				Misslyckades med att ladda ner detta fängelse
codex_workshop_pa_workshop				Öppna Prison Architect Workshop
codex_workshop_agreement				När du skickar in detta godkänner du [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]villkoren för Steam Workshop[/url].

codex_options_timelapse					Timelapse
codex_timelapse_record					Spela in timelapse
codex_timelapse_stop					Stoppa timelapse
codex_timelapse_camera					Kameraläge
codex_timelapse_resolution				Upplösning
codex_timelapse_customresw				Anpassad upplösning (bredd)
codex_timelapse_customresh				Anpassad upplösning (höjd)
codex_timelapse_resolution				Upplösning
codex_timelapse_fps						Uppspelningshastighet
codex_timelapse_interval				Bildintervall
codex_timelapse_quality					Kvalitet
codex_timelapse_unsupported				Denna funktion finns inte tillgänglig på din dator.
codex_timelapse_savesettings			Spara inställningar

codex_timelapse_cam_zoom                Kamerazoom
codex_timelapse_cam_fitmap              Passa in karta
codex_timelapse_cam_fitheight           Passa in karthöjd
codex_timelapse_cam_fitwidth            Passa in kartbredd
codex_timelapse_fps_value               *X FPS
codex_timelapse_quality_high            Hög
codex_timelapse_quality_med             Mellan
codex_timelapse_quality_low             Låg
codex_timelapse_interval_value          *X minuter i spelet

codex_performance_running				Prestandatest körs
codex_performance_time					Tid kvar: *Ts
codex_performance_current				Nuvarande bildrutetid: *Tms
codex_performance_min					Minsta bildrutetid: *Tms
codex_performance_avg					Genomsnittlig bildrutetid: *Tms
codex_performance_max					Högsta bildrutetid: *Tms
codex_performance_numframes				Antal bildrutor: *T

codex_last_modified						Senast ändrad: *T
codex_sortbydesc						Sortera efter datum
codex_sortname							Namn
codex_sortdate							Datum
codex_apply								Verkställ
codex_select                            Välj

codex_mods								Moddar
codex_mod_activetitle					Aktiva moddar
codex_mod_inactivetitle					Tillgängliga moddar
codex_mod_deactivate					Avaktivera alla moddar
codex_mod_wiki							Hitta fler moddar (Wiki)
codex_mod_openmodsfolder				Öppna moddmappen
codex_mod_moresteammods					Hitta fler moddar (Steam Workshop)
codex_mod_findsteamtranslations         Hitta fler översättningar (Steam Workshop)
codex_authortitle                       Utfärdad av
codex_versiontitle                      Version
codex_datetitle                         Datum
codex_urltitle                          URL
codex_typetitle							Typ
codex_mod_graphicsandsound				Grafik och ljud
codex_mod_translation					Översättning
codex_mod_scenario						Scenario
codex_mod_content						Innehåll
codex_mod_load_scenario					Spela scenario
codex_publishmod						Publicera denna mod

codex_mod_update						Uppdatera denna mod
codex_mod_published_good				Modden publicerades
codex_mod_published_good_msg			Din mod har publicerats.
codex_mod_published_bad					Misslyckades med att publicera mod
codex_mod_published_bad_msg				Din mod kunde inte publiceras.
codex_mod_modsupdated					Moddarna har uppdaterats
codex_mod_modsupdated_msg				Vissa av dina aktiva moddar har uppdaterats. Klicka på OK för att tillämpa de nya förändringarna. Spelet kommer att sparas automatiskt.
codex_mod_translationcaption            Är detta en översättning till ett annat språk?

codex_language                          Språk
codex_language_englishdefault           English (Default)
codex_language_default                  Default Language
codex_language_download                 Hämtar…
codex_language_failed_download          Misslyckades med att hämta översättningen
codex_language_failed_download_msg      Den valda översättningen kunde inte hämtas.
codex_language_searching_workshop       Söker i Steam Workshop
codex_language_community                Dessa översättningar skapas och underhålls av er spelare. Tack!

codex_save_confirm                      Är du säker på att du vill skriva över *X med nuvarande fängelse?
codex_researtchapter_confirm            Är du säker på att du vill starta om nuvarande kapitel? Du kommer att förlora det som inte sparats.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message					Vill du behålla dessa grafikinställningar? Förändringarna kommer att återgå om
graphicschange_time						sekunder.
graphicschange_accept					Godkänn
graphicschange_revert					Återgå

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title                    Manusavlusare (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title                   Modskillnader hittade
modnotification_info                    Dessa moddar användes när det nuvarande fängelset sparades. Vi rekommenderar att du laddar ner och aktiverar dem innan du spelar detta fängelse.
modnotification_playnow                 Spela nu
modnotification_active                  Aktiv
modnotification_inactive                Inaktiv
modnotification_new                     Ny
modnotification_unknown                 Okänd
modnotification_popup_title             Modskillnad
modnotification_popup_active            Denna mod är för närvarande aktiv. Klicka för att avaktivera.
modnotification_popup_inactive          Denna mod är för närvarande inaktiv. Klicka för att aktivera.
modnotification_popup_new_url           Detta är en ny mod. Klicka för att öppna länken till den i en webbläsare.
modnotification_popup_new_steam         Detta är en ny mod på Steam. Klicka för att abonnera på och ladda ner modden nu.
modnotification_popup_unknown           Vi kunde inte ta reda på var denna mod kom ifrån. Var vänlig hitta och installera denna mod själv.

# =============================================================================
# Biography
# =============================================================================

biography_search                        Stanna och sök
biography_selected                      VALD
biography_prisoner_name                 *S, *F
biography_prisoner_number               Intern #*X
biography_prisoner_age                  Ålder: *X
biography_prisoner_traits               Karaktärsdrag:
biography_prisoner_convicted            Dömd för *C (förklarade sig *P)
biography_prisoner_sentenced            Dömd till *X år i fängelse
biography_parole_now                    Behörig för villkorlig frigivning nu
biography_parole_later                  Behörig för villkorlig frigivning om *X år
biography_prisoner_served               Tjänat *X år
biography_prisoner_priors               Tidigare brott:


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age							Ålder:
rapsheet_category						Kategori:
rapsheet_traits							Karaktärsdrag:
rapsheet_conviction_text				*C - *Y år
rapsheet_found_text						(Förklarade sig: *P)
rapsheet_convictions					Domar
rapsheet_misconductstitle				Uppträdde olämpligt nyligen
rapsheet_biography                      Biografi
rapsheet_guilty							Skyldig
rapsheet_notguilty						Oskyldig
rapsheet_served							Tjänat
rapsheet_served_time					Tjänat *Y år
rapsheet_time							*Y år
rapsheet_bio							Dömd till *Y år för *A.
rapsheet_bio_med						Dömd till *Y år för flera brott, inklusive *A och *B.
rapsheet_bio_long						Dömd till *Y år för flera brott, inklusive *A, *B och *C.
rapsheet_category_minsec				Minimumsäkerhet
rapsheet_category_normal				Normal säkerhet
rapsheet_category_maxsec				Högsäkerhet
rapsheet_category_protected             Skyddshäkte
rapsheet_category_supermax              Superhög säkerhet
rapsheet_category_deathrow              Dödscell
rapsheet_tab_biography                  Biografi
rapsheet_tab_experience                 Erfarenhet
rapsheet_tab_grading                    Betyg
rapsheet_tab_character                  Karaktär
rapsheet_punish                         Straffa
rapsheet_recruit                        Rekrytera uppgiftslämnare

rapsheet_timeinside                     *X dagar i ditt fängelse
rapsheet_timeinside_hours               *X timmar i ditt fängelse
rapsheet_mood                           Humör
rapsheet_activity                       Aktivitet
rapsheet_condition                      Tillstånd
rapsheet_program                        Program
rapsheet_passchance                     Chans för framgång
rapsheet_reformhistory                  Reformprogrammets historia

rapsheet_reform_success                 Lyckades
rapsheet_reform_successcount            Genomfört *X gånger
rapsheet_reform_failed                  Misslyckades
rapsheet_reform_failcount               Misslyckades *X gånger

rapsheet_grading_punishment             Straff
rapsheet_grading_health                 Hälsa
rapsheet_grading_security               Säkerhet
rapsheet_grading_reform                 Reform
rapsheet_grading_points                 *X poäng:
rapsheet_grading_penalties              *X påföljder:

rapsheet_scheduleexecution              Schemalägg avrättning


punish_lockdown_6                       Låsning (6h)
punish_lockdown_12                      Låsning (12h)
punish_lockdown_24                      Låsning (24h)
punish_solitary_6                       Isoleringscell (6h)
punish_solitary_12                      Isoleringscell (12h)
punish_solitary_24                      Isoleringscell (24h)
punish_solitary_perm                    Isoleringscell (Permanent)
punish_lockdown_perm                    Låsning (Permanent)
punish_solitary                         Isoleringscell
punish_lockdown                         Låsning
punish_none                             Inga påföljder
punish_timer                            *Xh *Ym
punish_timer_minutes                    *Xm
punish_active                           AKTIVT
punish_permanent                        (Permanent)
punish_end                              Avsluta påföljder

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none                  Inget
misconduct_reporttype_complaint             Klagomål
misconduct_reporttype_destruction           Förstörelse
misconduct_reporttype_escapeattempt         Flyktförsök
misconduct_reporttype_injuredprisoner       Attackerade intern
misconduct_reporttype_injuredstaff          Attackerade anställd
misconduct_reporttype_seriousinjury         Allvarlig skada
misconduct_reporttype_murder                Mord
misconduct_reporttype_contrabandweapons     Vapen hittades
misconduct_reporttype_contrabandtools       Verktyg hittades
misconduct_reporttype_contrabandnarcotics   Droger hittades
misconduct_reporttype_contrabandluxuries    Lyxvaror hittades
misconduct_reporttype_intoxicated           Berusning
misconduct_title                            =[Dåligt uppförande]=

misconduct_report_addiction                 Beroende av *X
misconduct_report_recoving                  Återhämtar sig från sitt missbruk av *X
misconduct_report_alcoholic                 Alkoholist
misconduct_report_recovingalcoholic         Återhämtar sig från sin alkoholism


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required                       Du behöver en *X för att förbereda denna rapport.
research_requireunlock                  Du behöver forska fram *X för att låsa upp denna rapport
research_approved                       GENOMFÖRD
research_cost                           Kostnad: *X
research_costperitem                    + *X per föremål.
research_timetounlock                   Tid för att låsa upp: *X timmar
research_movementpenalty                Rörelsestraff: *X%
research_protectionbonus                Skydd: *X%
research_tap_to_authorise               TRYCK FÖR ATT GODKÄNNA

research_none                           Inget
research_warden                         Fängelsedirektör
research_maintainance                   Underhåll
research_security                       Säkerhet
research_legal                          Juridik
research_mentalhealth                   Psykologi
research_finance                        Ekonomi
research_landexpansion                  Landökning
research_cctv                           Övervakning
research_riotguards                     Kravallvakter
research_health                         Hälsa
research_cleaning                       Städning
research_groundskeeping                 Trädgårdsarbete
research_clone                          Klona
research_deployment                     Utplacering
research_patrols                        Patruller
research_dogs                           Hundar
research_prisonlabour                   Fängelsearbete
research_education                      Utbildning
research_contraband                     Information
research_policy                         Regler
research_armoury                        Vapenförråd
research_bodyarmour                     Skyddsvästar
research_tazers                         Elpistoler
research_tazersforeveryone              Elpistoler till alla vakter
research_bankloans                      Banklån
research_lowertaxes1                    Skattelättnader
research_lowertaxes2                    Skatteparadis utomlands
research_remoteaccess                   Fjärråtkomst
research_extragrant                     Extra bidrag
research_advancedmanagement             Mikrohantering
research_deathrow                       Dödscell
research_permanentpunishment            Permanenta påföljder
research_removemincellsize              Små celler
research_reduceexecutionliability       Minska ansvar för avrättningar
research_legalprep                      Juridisk förberelse
research_legaldefense                   Juridiskt försvar

researchtooltip_warden                  Låser upp Fängelsedirektören och hela Byråkrati-systemet. Anställ honom från verktygsraden Personal.\n\nPrecis som alla anställda med administrativa uppgifter behöver han ett kontor.
researchtooltip_security                Låser upp Säkerhetschefen, som kan anställas från verktygsraden Personal. Denna chef ger dig tillgång till utplaceringsskärmen, och ger dig även en rapport i realtid över faronivån i ditt fängelse, vilket ofta kan förvarna om framtida problem.\n\nPrecis som alla anställda med administrativa uppgifter behöver han ett kontor.
researchtooltip_maintenance             Låser upp Arbetsledaren. Anställ honom från verktygsraden Personal.\n\nPrecis som alla anställda med administrativa uppgifter behöver han ett kontor.
researchtooltip_legal                   Låser upp Advokaten, som kan anställas från verktygsraden Personal. Låser upp ett antal forskningsalternativ som ger dig mer kontroll över fängelset.\n\nPrecis som alla anställda med administrativa uppgifter behöver han ett kontor.
researchtooltip_deployment              Låter dig permanent stationera ut Vakter till de olika sektorerna i ditt fängelse.
researchtooltip_patrols                 Låter dig placera ut patrullrutter runt viktiga områden på ditt fängelse (t.ex. murarna) och tilldela vakter att gå rundor utmed dessa.
researchtooltip_dogs                    Låser upp Hundföraren och Vakthunden. De är bra för att sniffa fram luktande smuggelgods i fängelset, och för att upptäcka rymningstunnlar.\n\nHundar är också snabba, vilket gör att de enkelt kan jaga interner.
researchtooltip_cctv                    Låser upp övervakningskameror och säkerhetsmonitorer. Använd dessa för att hålla koll på obemannade delar av fängelset.\n\nLåser även upp Telefonavlyssning, vilket låter dig lyssna av internernas telefonsamtal och få viktiga upplysningar.
researchtooltip_remoteaccess            Låser upp högteknologisk utrustning för fjärrkontroll och automatisering av dörrar. Dörrar kan öppnas på avstånd med ett dörrkontrollsystem (som sköts av en Vakt). De kan också öppnas av en dörrtimer vid särskilda tider på dygnet.
researchtooltip_riotguards              (HAR FÖR NÄRVARANDE INGET SYFTE)\nLåser upp Kravallvakten. De här killarna är beväpnade till tänderna och bra på att ta hand om våldsamma situationer.
researchtooltip_maintainance            Låser upp Arbetsledaren. Han låter dig forska mer på saker som Fängelsearbete, eller efter nya anställda som Trädgårdsmästaren.\n\nPrecis som alla anställda med administrativa uppgifter behöver han ett kontor.
researchtooltip_clone                   Låser upp kloningsverktyget på huvudverktygsraden. Använd detta verktyg för att snabbt kopiera områden i ditt fängelse, till exempel Celler. För att använda detta väljer du en zon som ska kopieras genom att dra med höger musknapp, och sedan klickar du med vänster musknapp för att kopiera.
researchtooltip_groundskeeping          Låser upp Trädgårdsmästaren. Han håller allt rent och snyggt utomhus.
researchtooltip_cleaning                Låser upp Vaktmästaren. Han städar inne på fängelset och kan även hjälpa till med tvätten.
researchtooltip_health                  Låser upp Doktorn, samt även Sjukstugan och Bårhuset. Skadade interner och personal tas till Sjukstugan så lappar doktorerna ihop dem.
researchtooltip_MentalHealth            Låser upp Psykologen, som kan ge dig en värdefull inblick i internernas mentala hälsa.\n\nPrecis som alla anställda med administrativa uppgifter behöver han ett kontor.
researchtooltip_finance                 Låser upp Revisorn, som ger dig tillgång till ekonomirapporten för ditt fängelse.\n\nLåter dig även spendera mer för varje dag än vad din ekonomi vanligtvis skulle tillåta, så länge som du har pengar i reserv.\n\nPrecis som alla anställda med administrativa uppgifter behöver hon ett kontor.
researchtooltip_landexpansion           Låter dig köpa angränsande tomter, och på detta sätt bygga ut fängelset mer.
researchtooltip_prisonlabour            Låter dig sätta internerna i arbete på fängelset (med Matlagning, Städning etc.), vilket sparar in på lönerna, ger dig mer pengar i kassan och lär ut nya saker till internerna på samma gång.\n\nLåser även upp Verkstaden och Tvättstugan.
researchtooltip_education               Låser upp möjligheten att ha reformprogram inom utbildning för dina interner, med lärare utifrån.
researchtooltip_contraband              Träning för dina Vakter att bli bättre på att spåra upp och samla in smuggelgods. Låser upp rapporten Tillgång och Efterfrågan för smuggelgods, överlägget för smuggelgods (du ser då alla möjliga platser där smuggelgods kan finnas i ditt fängelse) och spårar allt hittat smuggelgods tillbaka till varifrån det smugglades eller stals.\n\nLåser även upp möjligheten att rekrytera interner som Konfidentiella uppgiftslämnare.\n\nLåser dessutom upp gänginformationsvyn.
researchtooltip_policy                  Låser upp Regelrapporten, som låter dig öka och minska internernas påföljder för allt dåligt uppförande. Den gör också att dina vakter automatiskt söker igenom internen med dåligt uppförande och hans cell.\n\nMed denna kan du även kontrollera hur mycket och vilken mat som serveras till internerna i näringsreglerna.
researchtooltip_armoury                 Låser upp vapenförrådet, och låter dig placera ut beväpnade vakter runtom i ditt fängelse.
researchtooltip_bodyarmour              Utrustar alla dina Vakter, Beväpnade vakter och Hundförare med skyddsvästar. Detta kan hjälpa till med att absorbera skada under ett slagsmål, men det gör även att vakterna rör sig långsammare.\n\nVakterna måste gå till vapenförrådet för att få denna utrustning, och det kostar pengar för alla skyddsvästar som köps på detta sätt.
researchtooltip_tazers                  Låter dina Beväpnade vakter bära elpistoler, ett kraftfullt vapen med ett skott som gör de flesta som träffas av det medvetslösa omedelbart. Elpistoler kan bara skjutas en gång, och sedan tar det en hel timme innan de har laddats om igen.\n\nBeväpnade vakter måste besöka vapenförrådet för att få denna utrustning, och det kostar pengar för alla elpistoler som köps på detta sätt.
researchtooltip_tazersforeveryone       Utvidgar programmet för elpistoler så att även dina vanliga Vakter kan bära dem som försvar.\n\nDe måste besöka vapenförrådet för att få denna utrustning, och det kostar pengar för alla elpistoler som köps på detta sätt.
researchtooltip_bankloans               Låter dig låna en stor klumpsumma pengar från banken, i utbyte mot att du betalar ränta varje dag. När du betalar av dina lån ökar din kreditvärdighet och du får då låna större summor vid ett senare tillfälle.
researchtooltip_lowertaxes1             Drar nytta av statens skatteincitament och sänker din bolagsskatt till bara 15%.\n\nDu sparar 1500 dollar i skatt för varje 10 000 dollar som du får i daglig vinst.
researchtooltip_lowertaxes2             Din revisor böjer på reglerna så att de nästan går av, och flyttar alla dina officiella konton och företagsöverföringar till ett land utomlands med högst förmånliga skattenivåer. Ditt bolags skattskyldighet sjunker till cirka 1%.\n\nDu sparar totalt 3000 dollar i skatter för varje 10 000 dollar som du får i daglig vinst.
researchtooltip_extragrant              Låter dig acceptera upp till tre bidrag på en gång istället för två.
researchtooltip_advancedmanagement      Ger dig verktyg som behövs för att mikrohantera delar av ditt fängelse så att det fungerar exakt som du vill.\n\nLåser upp Matlogistik, vilket låter dig specificera vilka kök som lagar mat åt vilka matsalar, och vilka matsalar som internerna äter i. På samma sätt låter Tvättlogistiken dig bestämma själv vilka cellblock som sköts av vilka tvättstugor.\n\nLåser även upp Utplaceringsschemaläggaren, som låter dig anpassa dina vakters utplacering vid olika tider på dygnet.\n\nLåser upp Reformprogramsschemaläggaren, som låter dig manuellt ändra det dagliga schemat i olika program.
researchtooltip_permanentpunishment     Ibland räcker det inte med att bara vara inlåst i fängelset. Din advokat kan skicka in de nödvändiga papprena för att du ska kunna låsa in interner i sina celler permanent.
researchtooltip_removemincellsize       Cellerna i ditt fängelse behöver en viss storlek för att följa det som lagen kräver. Men tänk hur många fler celler som du hade kunnat få in om så inte vore fallet! Tar bort de minimala storlekskraven för vanliga celler.
researchtooltip_reduceexecutionliability Din advokat yrkar på en minskning i den styrka som krävs på den fällande domen innan man kan gå vidare med dödsstraff. Detta sänker antalet överklaganden som en intern kan få innan du kan schemalägga deras avrättning utan straffrättsligt ansvar.
researchtooltip_legalprep               Alla fängelser kan få problem då och då, och vissa av dem har stora rättsliga konsekvenser. Din advokat sätter igång med pappersarbetet för att hålla dig utan besvär om något skulle gå fel, men detta behöver göras i förväg.
researchtooltip_legaldefense            Du har hamnat i knipa – nåt har gått väldigt fel och du har varslats för det. Om det verkar som att du inte kommer att kunna klara situationen kan din advokat hjälpa dig att ta dig ur det. Om du forskar dig in i detta tar det bort nuvarande varningar som annars kunde ha tvingat dig att avgå.

research_legaldefense_adviser1          Det verkar som att din advokat har lämnat in pappersarbete som skyddar dig från konsekvenserna av den här röran. Jag antar att det betyder att jag inte kan ge dig sparken. För den här gången.
research_legaldefense_adviser2          Skynda dig att få ordning på fängelset och se till att det håller sig så. Det där tricket kommer inte fungera igen och du kommer inte alltid ha stöd av det.

research_missingadministrator           KRAV:



# =============================================================================
# Room Requirements
# =============================================================================

roomrequirement_required                KRAV:
roomrequirement_recommended             Rekommenderas:
roomrequirement_minimumsize             Minsta storlek *W x *H
roomrequirement_minimumsize_short	Storlek *W x *H
roomrequirement_indoor                  Inomhus
roomrequirement_outdoor                 Utomhus
roomrequirement_solidground             Fast mark
roomrequirement_secure                  Säkert (bakom minst en Dörr)
roomrequirement_secure_short		Säkert
roomrequirement_enclosed                Instängt (omgivet av väggar och dörrar)
roomrequirement_enclosed_short		Instängt
requirement_entrance                    Kräver ingång
roomrequirement_title                   =[Rumskrav]=
roomrequirement_passed                  [GODKÄNT]
roomrequirement_failed                  [EJ GODKÄNT]
roomrequirement_adjacentobject          Bredvid rum:

# =============================================================================
# Unlocks
# =============================================================================

unlock_title                            UPPLÅST

unlock_special_electricity              Elektriska system
unlock_special_food                     Matlagning
unlock_special_officersafety            Säkerhet för högre ställd personal
unlock_special_misbehavior              Dåligt uppförande
unlock_special_accounting               Bokföring
unlock_special_gangs                    Gäng

unlock_electricity_caption              Låter dig bygga elverk och elkablar för elektricitet till allt som kräver detta.


# =============================================================================
# Advisers
# =============================================================================

click_to_continue                       Klicka för att fortsätta…
incoming_call                           Inkommande samtal…

adviser_name_unknown                    Okänd
adviser_name_ceo                        VD:n
adviser_name_warden                     Fängelsedirektören
adviser_name_governer                   Guvernören
adviser_name_chief                      Säkerhetschefen
adviser_name_doctor                     Doktorn
adviser_name_kingpin                    Gangsterbossen
adviser_name_edwardshooter              Edward
adviser_name_edwardsinner               Edward
adviser_name_edwardinmate               Edward
adviser_name_edwardswife                Edwards fru Susan
adviser_name_priest                     Prästen
adviser_name_newsreader                 CNDC News
adviser_name_mayor 						Borgmästare Calvin Heller


# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff                            Personal
report_prisoners                        Interner
report_jobs                             Jobb
report_needs                            Behov
report_threats                          Hot
report_regime                           Regim
report_policy                           Regler
report_grants                           Bidrag
report_finance                          Ekonomi
report_valuation                        Värdering
report_contraband                       Smuggelgods
report_programs                         Program
report_schedule                         Schemaläggare
report_intake                           Intag

report_grants_bankloan                  Banklån
report_grants_bankloan_text             Du kan låna en stor klumpsumma från banken. I gengäld tar banken en räntekostnad varje dag som du måste betala från ditt kassaflöde.\n\nMedan du gör regelbundna inbetalningar kommer din kreditvärdighet att öka, och banken låter dig låna mer. Om du missar betalningar kommer din kreditvärdighet att sänkas och banken lånar inte ut mer när du behöver det.\n\nObservera: Ditt lån blir aldrig avbetalt med endast dagliga avbetalningar på räntan.
report_grants_max1                      Du kan endast acceptera ett bidrag åt gången.\nAnvänd revisorn för att höja antalet bidrag.
report_grants_max2                      Du kan inte få fler än två bidrag åt gången.\nAnvänd revisorn för att höja antalet bidrag.
report_grants_max3                      Du kan inte acceptera fler än tre bidrag åt gången.
report_grants_bankloan_amount           Nuvarande banklån: *X
report_grants_bankloan_interest         Ränta: *X per dag
report_grants_bankloan_max              Maximalt lån: *X
report_grants_creditrating              Din kreditvärdighet: *X
report_grants_inprogress_tt             (PÅGÅR)
report_grants_completed_tt              (KLART)
report_grants_locked_tt                 (LÅST)
report_grants_advancepayment            *X i förskottsbetalning
report_grants_completionbonus           *X i slutförandebonus
report_grants_objectives                [Mål]
report_grants_prereqs                   [Krav]
report_grants_completed                 KLART
report_grants_locked                    Låst
report_grants_inprogress                Pågår
report_grants_hidden                    (*X fler finns gömda)
report_grants_taptoaccept               TRYCK FÖR ATT ACCEPTERA
report_grants_cancelfee                 Avbrottskostnad: *X

report_staff_title                      Totalt antal anställda: *X
report_prisoners_title                  Totalt antal interner: *X
report_staff_group_builders             Arbetare
report_staff_group_guards               Vakter
report_staff_group_staff                Personal
report_staff_group_administrators       Administratörer
report_staff_group_prisoners            Interner
report_staff_group_prisoners_high       Hög risk
report_staff_group_prisoners_normal     Normal risk
report_staff_group_prisoners_low        Låg risk
report_staff_group_prisoners_protected  Skyddshäkte
report_staff_group_prisoners_supermax   SuperMax
report_staff_group_prisoners_deathrow   Dödscell

report_staff_fire                       SPARKA

report_intake_title                     Intag
report_intake_catheader_cat             Kategori
report_intake_catheader_pay             Betalning
report_intake_catheader_available       Tillgänglig
report_intake_catheader_amount          Kvot
report_intake_next_header               Nästa intag: *X
report_intake_cat_minsec                Lågsäkerhet
report_intake_cat_normal                Medelsäkerhet
report_intake_cat_maxsec                Högsäkerhet
report_intake_cat_deathrow              Dödscell
report_intake_slider_minsec             Justera intagningskvoten för Lågsäkerhet
report_intake_slider_normal             Justera intagningskvoten för Medelsäkerhet
report_intake_slider_maxsec             Justera intagningskvoten för Högsäkerhet
report_intake_slider_deathrow           Justera intagningskvoten för Dödsceller
report_intake_closed                    STÄNGT
report_intake_locked                    LÅST
report_intakemaxperdaydesc              Dagligt intag
report_intakemaxperdaydesc_tooltip      Det totala antalet interner som du vill ha in vid nästa intag
report_intakemaxperdaydecr              <<
report_intakemaxperdayincr              >>
report_intakemaxperdaynone              Inga
report_intakemaxperdayall               Alla
reports_intakedelivernow                Leverera nu
report_intakepayment                    Betalning
report_intakeall                        ALLA
report_intake_list_tooltip_title        Intagskategorier
report_intake_list_tooltip              En lista över alla kategorier som du kan få levererade till fängelset.\n\nStorleken som visas är antalet interner som finns tillgängliga för leverans i varje kategori. Detta antal växer med tiden beroende på dina kvoter.\n\nDu kan justera kontrollerna för att ändra kvoterna för vilka kategorier på internerna som du vill ta in i nästa intag.
report_intake_list_tooltip_dr           \n\nInterner som är på väg att få dödsstraff kräver en specifikt designerad Dödscell innan de kan tas in på ditt fängelse. Intaget för Dödsceller är också mycket långsammare än det vanliga intaget, och det är inte alltid som du får fler fångar som ska in i Dödscell. Dessa interner finns det inte många av.
report_intake_buttons_tooltip_title     Nästa intag
report_intake_buttons_tooltip           Du kan öka eller minska antalet interner som du vill ha in i nästa intag med denna sektion.\n\nOm du väljer Inga stänger det fängelset för nya interner, och om du väljer Alla tar det in alla tillgängliga interner.\n\nAntalet interner för varje kategori kan ändras med kontrollerna ovan.
report_intake_overview_tooltip_title    Översikt på intaget
report_intake_overview_tooltip          Här kan du se din nästa internleverans, och den betalning du kommer få. Antalet interner som levereras och deras kategori kan ändras med kontrollerna och knapparna ovan. Betalningen baseras på antalet interner i varje kategori.

valuation_categoryprison                Fängelsets värde
valuation_construction                  Tegel och murbruk
valuation_objects                       Inventarier
valuation_stock                         Förråd och material
valuation_staff                         Personal
valuation_startupgrant                  Startbidrag
valuation_capacity                      Internkapacitet
valuation_cash                          Pengar
valuation_debt                          Banklån
valuation_categoryperformance           Trygghet och säkerhet
valuation_bonustimewithoutincident      [Bonus] Tid utan incidenter
valuation_finedeath                     [Straff] Dödsfall under de senaste 24h
valuation_fineescape                    [Straff] Rymningar under de senaste 24h
valuation_total                         TOTALT
valuation_sell                          SÄLJ
valuation_sellprison                    SÄLJ FÄNGELSE
valuation_sell_tooltip                  Om du säljer ditt fängelse kan du ta dina vinster från detta fängelse och starta ett nytt med ett mycket högre saldo på banken.\n\nDu kommer fortfarande kunna driva detta fängelse, men du kan bara sälja ett fängelse en gång. Alla vinster från försäljningen förs över till den nya platsen.
valuation_sold                          Detta fängelse såldes för: *X
valuation_donotown                      Du kan inte sälja detta fängelse eftersom du inte äger det.
valuation_sellsome                      Sälj aktier
valuation_buysome                       Köp aktier
valuation_shares                        Köp och sälj aktier
valuation_shares_tooltip                Du kan sälja upp till 50% av ditt fängelse i aktier till utomstående investerare. Du får betalt kontant omedelbart. I gengäld för sina investeringar tar dina aktieägare en bråkdel av det totala försäljningspriset när du säljer fängelset.\n\nT.ex. om du säljer 30% av aktierna i ditt fängelse får du bara 70% av det slutliga försäljningsvärdet. Du kan köpa tillbaka aktier som du förut har sålt när som helst – men kostnaden kan vara högre än vad du fick när du sålde dem.
valuation_ownership                     Du äger *X% av ditt fängelse
valuation_saleprice                     Försäljningspris: *X
valuation_title                         =[VÄRDERING]=
